level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,16,2.0000000000000000000000000,1948,125.159,1.811,0.107,1285,82.544,2.745,0.161,1323,84.976,2.667,0.157,1094,70.259,3.226,0.190
6,16,2.0000000000000000000000000,2253,96.880,2.339,0.138,1705,73.303,3.092,0.182,1770,76.097,2.978,0.175,1454,62.501,3.626,0.213
6,16,2.0000000000000000000000000,2625,105.164,2.155,0.127,2209,88.505,2.561,0.151,1705,68.312,3.317,0.195,2317,92.850,2.441,0.144
6,16,2.0000000000000000000000000,2117,96.574,2.347,0.138,1961,89.482,2.533,0.149,1656,75.549,3.000,0.176,2077,94.780,2.391,0.141
6,16,2.0000000000000000000000000,2015,118.608,1.911,0.112,1375,80.904,2.801,0.165,1598,94.075,2.409,0.142,1375,80.903,2.801,0.165
6,16,2.0000000000000000000000000,3004,115.688,1.959,0.115,1524,58.696,3.861,0.227,2522,97.097,2.334,0.137,1813,69.794,3.247,0.191
6,16,2.0000000000000000000000000,2706,99.879,2.269,0.133,2294,84.666,2.677,0.157,1947,71.862,3.154,0.186,2294,84.666,2.677,0.157
6,16,2.0000000000000000000000000,3411,121.736,1.862,0.110,1802,64.298,3.525,0.207,2300,82.090,2.761,0.162,1949,70.655,3.259,0.192
6,16,2.0000000000000000000000000,3443,131.401,1.725,0.101,2306,87.995,2.575,0.151,1728,65.941,3.437,0.202,2305,87.961,2.576,0.152
6,16,2.0000000000000000000000000,1668,82.892,2.734,0.161,1453,72.209,3.138,0.185,1631,81.051,2.796,0.164,1454,72.240,3.137,0.185
