level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,12,1.0000000000000000000000000,2521,155.992,3.321,0.255,1814,112.212,4.616,0.355,1679,103.848,4.988,0.384,1686,104.336,4.965,0.382
7,12,1.0000000000000000000000000,2905,141.593,3.658,0.281,2149,104.756,4.945,0.380,2095,102.102,5.073,0.390,2029,98.872,5.239,0.403
7,12,1.0000000000000000000000000,2892,179.301,2.889,0.222,2000,124.028,4.176,0.321,1722,106.744,4.853,0.373,1786,110.718,4.679,0.360
7,12,1.0000000000000000000000000,3999,143.371,3.613,0.278,3007,107.799,4.805,0.370,2651,95.045,5.450,0.419,2948,105.685,4.901,0.377
7,12,1.0000000000000000000000000,4458,162.946,3.179,0.245,3088,112.860,4.590,0.353,2693,98.416,5.263,0.405,2908,106.289,4.873,0.375
7,12,1.0000000000000000000000000,2926,142.056,3.646,0.280,2168,105.259,4.921,0.379,2308,112.061,4.622,0.356,2323,112.777,4.593,0.353
7,12,1.0000000000000000000000000,3216,145.699,3.555,0.273,2271,102.880,5.035,0.387,2046,92.719,5.587,0.430,2349,106.452,4.866,0.374
7,12,1.0000000000000000000000000,2779,160.803,3.221,0.248,1791,103.607,5.000,0.385,1689,97.758,5.299,0.408,1760,101.846,5.110,0.393
7,12,1.0000000000000000000000000,5134,180.026,2.877,0.221,2778,97.400,5.318,0.409,2708,94.966,5.455,0.420,2913,102.142,5.071,0.390
7,12,1.0000000000000000000000000,2451,130.028,3.984,0.306,1999,106.046,4.885,0.376,1663,88.214,5.872,0.452,1792,103.866,5.450,0.419
