level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,16,2.0000000000000000000000000,801,32.301,1.253,0.074,811,32.705,1.271,0.075,652,26.300,1.539,0.091,750,30.251,1.338,0.079
4,16,2.0000000000000000000000000,598,23.685,1.709,0.101,592,24.011,1.726,0.102,578,22.867,1.770,0.104,592,23.421,1.728,0.102
4,16,2.0000000000000000000000000,870,31.040,1.304,0.077,699,24.952,1.622,0.095,594,21.193,1.910,0.112,925,33.017,1.226,0.072
4,16,2.0000000000000000000000000,853,30.349,1.333,0.078,668,23.764,1.703,0.100,638,22.681,1.784,0.105,762,27.098,1.493,0.088
4,16,2.0000000000000000000000000,608,25.715,1.574,0.093,632,26.713,1.515,0.089,711,30.036,1.347,0.079,653,27.599,1.466,0.086
4,16,2.0000000000000000000000000,517,30.691,1.305,0.077,522,31.341,1.291,0.076,517,31.013,1.305,0.077,510,30.609,1.322,0.078
4,16,2.0000000000000000000000000,801,26.341,1.536,0.090,927,30.471,1.328,0.078,659,21.662,1.868,0.110,877,28.814,1.404,0.083
4,16,2.0000000000000000000000000,803,29.109,1.390,0.082,679,24.618,1.644,0.097,671,24.306,1.665,0.098,639,23.145,1.749,0.103
4,16,2.0000000000000000000000000,837,31.968,1.266,0.074,558,21.331,1.897,0.112,548,20.928,1.934,0.114,643,24.572,1.647,0.097
4,16,2.0000000000000000000000000,425,23.590,1.716,0.101,411,22.815,1.774,0.104,478,26.513,1.526,0.090,530,29.413,1.376,0.081
