level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,16,0.5000000000000000000000000,626,32.800,6.909,0.406,408,21.354,10.613,0.624,393,20.942,11.007,0.647,371,19.429,11.664,0.686
6,16,0.5000000000000000000000000,817,31.767,6.008,0.353,459,21.202,10.689,0.629,453,20.905,10.841,0.638,503,23.200,9.768,0.575
6,16,0.5000000000000000000000000,924,30.564,7.415,0.436,692,22.887,9.902,0.582,605,20.008,11.326,0.666,727,24.033,9.430,0.555
6,16,0.5000000000000000000000000,709,32.341,7.007,0.412,506,23.067,9.824,0.578,442,20.169,11.236,0.661,506,23.067,9.824,0.578
6,16,0.5000000000000000000000000,840,35.109,6.455,0.380,502,21.001,10.791,0.635,568,23.756,9.414,0.554,518,21.652,10.467,0.616
6,16,0.5000000000000000000000000,575,33.103,6.284,0.370,308,19.327,11.726,0.690,391,24.536,9.236,0.543,310,19.441,11.657,0.686
6,16,0.5000000000000000000000000,484,28.470,7.960,0.468,371,21.810,10.391,0.611,366,21.501,10.540,0.620,371,21.810,10.391,0.611
6,16,0.5000000000000000000000000,573,34.885,6.496,0.382,325,19.812,11.439,0.673,303,18.753,12.278,0.722,396,24.112,9.399,0.553
6,16,0.5000000000000000000000000,781,36.072,6.283,0.370,493,22.770,9.953,0.585,432,19.953,11.358,0.668,492,22.736,9.968,0.586
6,16,0.5000000000000000000000000,661,24.796,9.140,0.538,499,18.720,12.106,0.712,547,20.523,11.043,0.650,500,18.764,12.077,0.710
