level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,8,2.0000000000000000000000000,8960,419.515,1.202,0.134,6677,311.553,1.613,0.179,5462,262.665,1.972,0.219,5958,286.523,1.808,0.201
7,8,2.0000000000000000000000000,9556,418.677,1.237,0.137,6457,282.896,1.831,0.203,6150,269.454,1.922,0.214,6343,277.905,1.864,0.207
7,8,2.0000000000000000000000000,11903,500.918,1.034,0.115,7190,302.579,1.712,0.190,6552,275.730,1.879,0.209,7932,333.818,1.552,0.172
7,8,2.0000000000000000000000000,15831,580.738,0.892,0.099,7106,260.657,1.987,0.221,7617,279.426,1.854,0.206,7471,274.079,1.890,0.210
7,8,2.0000000000000000000000000,7380,350.944,1.476,0.164,6363,302.598,1.712,0.190,5966,283.709,1.826,0.203,7594,361.126,1.434,0.159
7,8,2.0000000000000000000000000,13957,485.853,1.066,0.118,9548,332.370,1.559,0.173,7886,274.507,1.887,0.210,7498,261.006,1.985,0.221
7,8,2.0000000000000000000000000,10452,367.201,1.411,0.157,12099,425.048,1.219,0.135,7668,269.392,1.923,0.214,8065,283.320,1.828,0.203
7,8,2.0000000000000000000000000,12943,429.252,1.207,0.134,10680,354.182,1.463,0.163,8115,269.142,1.925,0.214,7788,258.272,2.006,0.223
7,8,2.0000000000000000000000000,9163,378.742,1.368,0.152,6760,279.400,1.854,0.206,5620,232.289,2.230,0.248,5999,247.931,2.089,0.232
7,8,2.0000000000000000000000000,9608,486.219,1.065,0.118,5250,265.656,1.950,0.217,4645,235.047,2.204,0.245,6981,353.250,1.466,0.163
