level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,16,0.5000000000000000000000000,1444,62.388,8.303,0.488,1106,46.491,10.848,0.638,1062,45.883,11.722,0.690,1205,52.051,9.952,0.585
7,16,0.5000000000000000000000000,1562,73.592,7.039,0.414,971,45.724,11.329,0.666,954,44.934,11.528,0.678,989,46.584,11.120,0.654
7,16,0.5000000000000000000000000,1815,72.039,7.191,0.423,1332,52.873,9.797,0.576,1236,49.085,10.553,0.621,1284,50.990,10.159,0.598
7,16,0.5000000000000000000000000,1502,74.075,6.993,0.411,998,49.205,10.527,0.619,867,42.741,12.119,0.713,1004,49.501,10.464,0.616
7,16,0.5000000000000000000000000,1761,62.140,8.336,0.490,1448,51.119,10.133,0.596,1391,49.093,10.551,0.621,1521,53.690,9.648,0.568
7,16,0.5000000000000000000000000,2037,75.018,6.905,0.406,1314,48.380,10.707,0.630,1374,50.597,10.238,0.602,1224,45.065,11.495,0.676
7,16,0.5000000000000000000000000,1696,65.768,7.876,0.463,1211,46.977,11.027,0.649,1209,46.895,11.046,0.650,1104,42.821,12.097,0.712
7,16,0.5000000000000000000000000,1161,69.376,7.466,0.439,765,45.729,11.328,0.666,739,44.171,11.727,0.690,745,44.533,11.632,0.684
7,16,0.5000000000000000000000000,1356,66.797,7.755,0.456,1005,49.489,10.467,0.616,990,48.784,10.611,0.624,952,46.898,11.045,0.650
7,16,0.5000000000000000000000000,1362,66.210,7.824,0.460,913,44.377,11.673,0.687,986,47.924,10.809,0.636,906,44.015,11.769,0.692
