level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,20,1.0000000000000000000000000,460,15.320,2.642,0.126,448,14.927,2.711,0.129,410,13.672,2.960,0.141,430,14.329,2.824,0.134
4,20,1.0000000000000000000000000,286,15.423,2.624,0.125,219,11.843,3.417,0.163,193,10.449,3.873,0.184,250,13.522,2.993,0.143
4,20,1.0000000000000000000000000,509,16.766,2.414,0.115,443,14.565,2.778,0.132,381,12.531,3.229,0.154,433,14.242,2.841,0.135
4,20,1.0000000000000000000000000,438,15.250,2.654,0.126,370,12.899,3.137,0.149,393,13.702,2.953,0.141,426,14.832,2.728,0.130
4,20,1.0000000000000000000000000,387,14.779,2.738,0.130,396,15.092,2.681,0.128,348,13.292,3.044,0.145,393,15.007,2.697,0.128
4,20,1.0000000000000000000000000,390,13.621,3.001,0.143,356,12.423,3.258,0.155,363,12.697,3.187,0.152,367,12.835,3.153,0.150
4,20,1.0000000000000000000000000,228,11.795,3.431,0.163,265,13.743,2.945,0.140,244,12.632,3.204,0.153,233,12.058,3.356,0.160
4,20,1.0000000000000000000000000,321,15.469,2.658,0.127,287,13.842,2.954,0.141,285,13.742,2.945,0.140,290,13.959,2.899,0.138
4,20,1.0000000000000000000000000,210,13.124,3.084,0.147,253,15.818,2.558,0.122,224,13.995,2.946,0.140,250,15.583,2.599,0.124
4,20,1.0000000000000000000000000,297,14.817,2.731,0.130,245,12.224,3.311,0.158,296,14.737,2.746,0.131,334,17.106,2.344,0.112
