level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,8,1.0000000000000000000000000,7610,270.774,1.913,0.213,4221,150.187,3.449,0.383,4132,147.030,3.523,0.391,6331,225.265,2.300,0.256
7,8,1.0000000000000000000000000,10063,339.118,1.527,0.170,4418,148.891,3.479,0.387,4585,154.515,3.352,0.372,4769,160.715,3.223,0.358
7,8,1.0000000000000000000000000,4184,211.787,2.446,0.272,4862,246.143,2.104,0.234,3335,168.848,3.068,0.341,3777,191.183,2.709,0.301
7,8,1.0000000000000000000000000,5074,275.157,1.883,0.209,2582,140.030,3.699,0.411,2601,141.042,3.673,0.408,3319,179.992,2.878,0.320
7,8,1.0000000000000000000000000,4979,236.747,2.188,0.243,3016,143.426,3.612,0.401,3152,149.885,3.456,0.384,3452,164.150,3.156,0.351
7,8,1.0000000000000000000000000,6511,226.639,2.286,0.254,4905,170.747,3.034,0.337,4413,153.622,3.372,0.375,4197,146.115,3.545,0.394
7,8,1.0000000000000000000000000,4367,282.794,1.832,0.204,2597,168.169,3.080,0.342,2504,162.158,3.194,0.355,4011,259.745,1.994,0.222
7,8,1.0000000000000000000000000,7569,251.026,2.064,0.229,5033,166.901,3.104,0.345,4560,151.235,3.425,0.381,4156,137.820,3.759,0.418
7,8,1.0000000000000000000000000,6157,254.471,2.036,0.226,3196,132.082,3.922,0.436,3109,128.512,4.031,0.448,3307,136.704,3.789,0.421
7,8,1.0000000000000000000000000,6214,183.998,2.815,0.313,6318,187.074,2.769,0.308,4115,121.848,4.251,0.472,8163,241.700,2.143,0.238
