level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,8,4.0000000000000000000000000,13415,546.028,0.949,0.105,14965,609.089,0.850,0.094,12010,488.843,1.060,0.118,15579,634.097,0.817,0.091
7,8,4.0000000000000000000000000,15298,707.992,0.732,0.081,12993,601.333,0.861,0.096,10993,508.746,1.018,0.113,10726,496.390,1.044,0.116
7,8,4.0000000000000000000000000,16225,721.216,0.718,0.080,11600,515.603,1.005,0.112,10635,472.708,1.096,0.122,12928,574.648,0.901,0.100
7,8,4.0000000000000000000000000,15137,555.267,0.933,0.104,13290,487.539,1.062,0.118,13528,496.241,1.044,0.116,14722,540.054,0.959,0.107
7,8,4.0000000000000000000000000,16458,782.623,0.662,0.074,10743,510.864,1.014,0.113,10449,496.892,1.042,0.116,13951,663.388,0.781,0.087
7,8,4.0000000000000000000000000,13770,479.327,1.081,0.120,17949,624.818,0.829,0.092,13558,471.944,1.098,0.122,14229,495.322,1.046,0.116
7,8,4.0000000000000000000000000,9551,618.523,0.837,0.093,7775,503.539,1.029,0.114,7226,467.948,1.107,0.123,11328,733.622,0.706,0.078
7,8,4.0000000000000000000000000,18850,625.137,0.829,0.092,15654,519.138,0.998,0.111,15257,505.985,1.024,0.114,16063,532.733,0.972,0.108
7,8,4.0000000000000000000000000,17998,743.913,0.696,0.077,11949,493.883,1.049,0.117,10832,447.705,1.157,0.129,17787,735.183,0.705,0.078
7,8,4.0000000000000000000000000,31441,930.901,0.556,0.062,17408,515.409,1.005,0.112,14317,423.911,1.222,0.136,20960,620.593,0.835,0.093
