level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,20,2.0000000000000000000000000,438,18.834,2.149,0.102,651,27.981,1.522,0.072,700,28.296,1.346,0.064,648,27.842,1.454,0.069
4,20,2.0000000000000000000000000,562,29.702,1.363,0.065,435,22.962,1.725,0.082,463,24.451,1.655,0.079,557,30.507,1.375,0.065
4,20,2.0000000000000000000000000,983,32.360,1.251,0.060,868,28.566,1.417,0.067,746,24.562,1.648,0.078,855,28.146,1.438,0.068
4,20,2.0000000000000000000000000,628,22.515,1.797,0.086,702,25.183,1.607,0.077,755,27.084,1.494,0.071,810,29.064,1.392,0.066
4,20,2.0000000000000000000000000,914,32.476,1.246,0.059,830,29.466,1.373,0.065,816,28.985,1.396,0.066,786,27.902,1.450,0.069
4,20,2.0000000000000000000000000,730,27.676,1.462,0.070,545,20.673,1.958,0.093,656,24.877,1.627,0.077,571,21.678,1.867,0.089
4,20,2.0000000000000000000000000,765,28.615,1.414,0.067,721,26.967,1.501,0.071,662,24.772,1.634,0.078,608,22.722,1.781,0.085
4,20,2.0000000000000000000000000,450,26.805,1.510,0.072,383,22.822,1.773,0.084,453,26.952,1.502,0.072,504,29.997,1.349,0.064
4,20,2.0000000000000000000000000,660,25.499,1.587,0.076,757,28.615,1.385,0.066,800,30.911,1.309,0.062,762,29.414,1.376,0.066
4,20,2.0000000000000000000000000,592,28.850,1.403,0.067,486,23.672,1.710,0.081,596,29.063,1.392,0.066,462,22.525,1.741,0.083
