level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,8,0.2500000000000000000000000,1071,64.940,7.766,0.863,1363,84.933,6.099,0.678,934,58.211,8.899,0.989,1242,77.376,6.695,0.744
7,8,0.2500000000000000000000000,1630,71.409,7.254,0.806,1458,63.859,8.112,0.901,1446,63.336,8.179,0.909,1370,60.019,8.631,0.959
7,8,0.2500000000000000000000000,2047,73.016,7.094,0.788,3611,128.826,4.021,0.447,1824,65.093,7.958,0.884,2454,87.553,5.916,0.657
7,8,0.2500000000000000000000000,1680,61.641,8.404,0.934,2071,75.969,6.819,0.758,1591,58.349,8.878,0.986,1476,54.130,9.570,1.063
7,8,0.2500000000000000000000000,1860,88.436,5.857,0.651,1198,56.982,9.091,1.010,1220,58.010,8.929,0.992,1199,57.038,9.082,1.009
7,8,0.2500000000000000000000000,1722,59.950,8.640,0.960,1902,66.196,7.825,0.869,1901,66.158,7.830,0.870,1669,58.092,8.917,0.991
7,8,0.2500000000000000000000000,936,60.592,8.549,0.950,1037,67.191,7.709,0.857,873,56.520,9.165,1.018,895,57.993,8.932,0.992
7,8,0.2500000000000000000000000,2467,79.459,6.519,0.724,1980,63.766,8.123,0.903,1811,58.342,8.879,0.987,1767,56.906,9.103,1.011
7,8,0.2500000000000000000000000,1573,67.299,7.697,0.855,1246,53.296,9.719,1.080,1320,56.454,9.176,1.020,1263,54.043,9.585,1.065
7,8,0.2500000000000000000000000,2091,61.903,8.368,0.930,1786,52.889,9.794,1.088,1725,51.087,10.140,1.127,3036,89.880,5.763,0.640
