level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,20,2.0000000000000000000000000,716,40.036,2.426,0.116,644,37.173,2.698,0.128,738,41.240,2.355,0.112,666,37.237,2.608,0.124
5,20,2.0000000000000000000000000,979,42.441,2.288,0.109,735,31.865,3.048,0.145,1062,46.042,2.110,0.100,996,43.172,2.250,0.107
5,20,2.0000000000000000000000000,786,45.450,2.137,0.102,704,40.694,2.387,0.114,598,34.580,2.809,0.134,704,40.694,2.387,0.114
5,20,2.0000000000000000000000000,574,32.565,2.982,0.142,618,35.027,2.773,0.132,718,40.696,2.387,0.114,618,35.027,2.773,0.132
5,20,2.0000000000000000000000000,596,31.559,3.078,0.147,891,47.121,2.061,0.098,856,45.270,2.145,0.102,681,35.785,2.694,0.128
5,20,2.0000000000000000000000000,780,38.947,2.494,0.119,823,41.090,2.364,0.113,841,42.001,2.312,0.110,823,41.090,2.364,0.113
5,20,2.0000000000000000000000000,1257,50.528,1.922,0.092,835,33.567,2.893,0.138,1121,45.051,2.156,0.103,1034,41.569,2.336,0.111
5,20,2.0000000000000000000000000,1186,47.238,2.056,0.098,914,36.412,2.667,0.127,1184,47.167,2.059,0.098,1190,47.412,2.049,0.098
5,20,2.0000000000000000000000000,1355,53.010,1.832,0.087,1119,43.758,2.220,0.106,1211,47.353,2.051,0.098,1119,43.758,2.220,0.106
5,20,2.0000000000000000000000000,648,39.681,2.448,0.117,584,35.780,2.714,0.129,742,45.425,2.138,0.102,573,35.094,2.768,0.132
