level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,20,0.5000000000000000000000000,228,14.505,6.690,0.319,187,11.918,8.149,0.388,168,10.992,9.070,0.432,187,11.918,8.149,0.388
5,20,0.5000000000000000000000000,383,15.168,6.403,0.305,211,8.342,11.642,0.554,293,11.623,8.356,0.398,282,11.169,8.696,0.414
5,20,0.5000000000000000000000000,338,13.022,7.459,0.355,308,11.875,8.179,0.389,231,8.902,10.910,0.520,276,10.620,9.146,0.436
5,20,0.5000000000000000000000000,183,10.396,9.343,0.445,160,9.082,10.701,0.510,150,8.611,11.421,0.544,160,9.082,10.694,0.509
5,20,0.5000000000000000000000000,327,11.268,8.620,0.410,307,10.569,9.190,0.438,336,11.571,8.394,0.400,353,12.135,8.004,0.381
5,20,0.5000000000000000000000000,414,15.357,6.325,0.301,286,10.604,9.159,0.436,290,10.759,9.028,0.430,215,7.976,12.177,0.580
5,20,0.5000000000000000000000000,229,12.049,8.060,0.384,167,8.775,11.068,0.527,221,11.613,8.364,0.398,167,8.775,11.068,0.527
5,20,0.5000000000000000000000000,230,11.659,8.331,0.397,173,8.804,11.031,0.525,237,12.029,8.074,0.384,188,9.524,10.198,0.486
5,20,0.5000000000000000000000000,199,11.725,8.284,0.394,191,11.280,8.611,0.410,205,12.089,8.034,0.383,191,11.280,8.611,0.410
5,20,0.5000000000000000000000000,289,13.356,7.272,0.346,202,9.351,10.387,0.495,251,11.616,8.361,0.398,199,9.190,10.569,0.503
