level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,12,2.0000000000000000000000000,5142,267.632,1.999,0.154,4576,230.646,2.246,0.173,3967,199.931,2.591,0.199,3944,198.762,2.606,0.200
7,12,2.0000000000000000000000000,4487,232.485,2.228,0.171,3513,181.999,2.846,0.219,3318,171.905,3.013,0.232,3730,193.268,2.680,0.206
7,12,2.0000000000000000000000000,8402,337.192,1.536,0.118,4843,194.362,2.665,0.205,4742,190.297,2.722,0.209,4630,185.812,2.788,0.214
7,12,2.0000000000000000000000000,5360,240.698,2.152,0.166,3974,178.448,2.903,0.223,4210,189.070,2.740,0.211,4897,219.908,2.356,0.181
7,12,2.0000000000000000000000000,6757,317.423,1.632,0.126,4363,204.983,2.527,0.194,3734,175.431,2.953,0.227,4078,191.569,2.704,0.208
7,12,2.0000000000000000000000000,5817,261.440,1.981,0.152,4572,205.483,2.521,0.194,4260,191.474,2.705,0.208,5281,237.330,2.183,0.168
7,12,2.0000000000000000000000000,5552,245.598,2.109,0.162,4059,179.564,2.885,0.222,3714,164.291,3.153,0.243,3933,173.984,2.977,0.229
7,12,2.0000000000000000000000000,4671,270.291,1.916,0.147,3735,216.097,2.397,0.184,2943,170.292,3.042,0.234,3121,180.580,2.869,0.221
7,12,2.0000000000000000000000000,6733,258.405,2.005,0.154,4778,183.370,2.825,0.217,4657,178.731,2.898,0.223,4577,175.638,2.949,0.227
7,12,2.0000000000000000000000000,4850,257.257,2.014,0.155,3594,190.640,2.717,0.209,3251,172.434,3.004,0.231,3064,162.514,3.187,0.245
