level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,20,0.5000000000000000000000000,164,8.312,4.869,0.232,158,8.027,5.042,0.240,125,6.369,6.354,0.303,149,7.573,5.344,0.254
4,20,0.5000000000000000000000000,176,8.284,4.885,0.233,127,5.974,6.774,0.323,120,5.671,7.136,0.340,130,6.124,6.608,0.315
4,20,0.5000000000000000000000000,188,8.872,4.561,0.217,176,8.351,4.885,0.233,138,6.514,6.212,0.296,157,7.419,5.411,0.258
4,20,0.5000000000000000000000000,198,8.141,4.971,0.237,164,6.757,5.989,0.285,150,6.175,6.549,0.312,187,7.716,5.245,0.250
4,20,0.5000000000000000000000000,225,8.009,5.053,0.241,223,7.905,5.119,0.244,195,6.915,5.852,0.279,173,6.129,6.603,0.314
4,20,0.5000000000000000000000000,147,8.443,4.793,0.228,103,5.893,6.868,0.327,115,6.606,6.187,0.295,104,5.970,6.779,0.323
4,20,0.5000000000000000000000000,172,6.415,6.309,0.300,184,6.884,5.879,0.280,175,6.562,6.167,0.294,186,6.972,5.804,0.276
4,20,0.5000000000000000000000000,132,7.788,5.181,0.247,114,6.747,5.998,0.286,121,7.138,5.670,0.270,128,7.531,5.374,0.256
4,20,0.5000000000000000000000000,169,6.788,5.962,0.284,202,8.126,4.980,0.237,181,7.280,5.559,0.265,199,8.018,5.047,0.240
4,20,0.5000000000000000000000000,220,7.912,4.910,0.234,186,6.671,6.066,0.289,166,5.964,6.607,0.315,178,6.413,6.310,0.300
