level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,20,4.0000000000000000000000000,1757,58.864,0.687,0.033,1704,57.106,0.709,0.034,1600,53.622,0.755,0.036,1853,62.091,0.652,0.031
4,20,4.0000000000000000000000000,1103,58.259,0.695,0.033,1046,55.249,0.732,0.035,877,47.316,0.874,0.042,1087,57.444,0.740,0.035
4,20,4.0000000000000000000000000,1032,55.235,0.733,0.035,1089,58.272,0.694,0.033,908,48.592,0.833,0.040,1031,55.184,0.733,0.035
4,20,4.0000000000000000000000000,1502,57.905,0.699,0.033,1349,52.004,0.778,0.037,1397,53.849,0.752,0.036,1492,57.527,0.719,0.034
4,20,4.0000000000000000000000000,1097,57.277,0.707,0.034,883,46.748,0.877,0.042,1103,57.593,0.703,0.033,1054,55.063,0.735,0.035
4,20,4.0000000000000000000000000,1109,54.274,0.746,0.036,832,40.722,0.994,0.047,1007,49.239,0.822,0.039,877,42.896,0.943,0.045
4,20,4.0000000000000000000000000,1498,56.011,0.723,0.034,1428,53.415,0.758,0.036,1312,49.052,0.825,0.039,1221,45.652,0.886,0.042
4,20,4.0000000000000000000000000,1593,59.507,0.680,0.032,1448,54.096,0.748,0.036,1428,53.371,0.758,0.036,1429,53.398,0.758,0.036
4,20,4.0000000000000000000000000,929,59.760,0.677,0.032,963,61.970,0.653,0.031,844,54.288,0.745,0.035,947,60.970,0.664,0.032
4,20,4.0000000000000000000000000,957,56.929,0.692,0.033,774,46.049,0.879,0.042,977,58.107,0.696,0.033,742,44.112,0.917,0.044
