level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
6,16,0.2500000000000000000000000,485,19.361,11.705,0.689,327,13.054,17.361,1.021,332,13.249,17.569,1.033,330,13.178,17.197,1.012
6,16,0.2500000000000000000000000,329,19.028,11.910,0.701,232,13.434,16.869,0.992,225,13.044,17.374,1.022,226,13.090,17.313,1.018
6,16,0.2500000000000000000000000,526,19.370,11.573,0.681,365,13.600,16.663,0.980,350,13.034,17.387,1.023,381,14.191,15.970,0.939
6,16,0.2500000000000000000000000,321,20.927,10.829,0.637,194,12.647,17.919,1.054,188,12.276,18.460,1.086,195,12.715,17.823,1.048
6,16,0.2500000000000000000000000,359,21.123,10.729,0.631,229,13.492,16.797,0.988,237,13.928,16.271,0.957,225,13.227,17.133,1.008
6,16,0.2500000000000000000000000,251,16.294,13.908,0.818,199,12.949,17.501,1.029,198,12.833,17.660,1.039,195,12.649,17.917,1.054
6,16,0.2500000000000000000000000,383,17.890,12.668,0.745,260,12.159,18.639,1.096,253,11.816,19.179,1.128,275,12.846,17.642,1.038
6,16,0.2500000000000000000000000,553,18.721,12.105,0.712,393,13.289,17.053,1.003,375,12.680,17.872,1.051,372,12.591,17.999,1.059
6,16,0.2500000000000000000000000,422,18.972,11.945,0.703,297,13.372,16.948,0.997,282,12.669,17.888,1.052,295,13.250,17.104,1.006
6,16,0.2500000000000000000000000,428,20.834,10.878,0.640,256,12.462,18.185,1.070,258,12.580,18.015,1.060,271,13.203,17.165,1.010
