level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,16,4.0000000000000000000000000,1623,100.401,0.967,0.057,1500,92.795,1.047,0.062,1261,78.006,1.245,0.073,1500,92.787,1.047,0.062
5,16,4.0000000000000000000000000,1757,105.680,0.919,0.054,1215,73.081,1.329,0.078,1265,76.097,1.341,0.079,1482,89.108,1.090,0.064
5,16,4.0000000000000000000000000,2581,93.155,1.043,0.061,2241,80.877,1.201,0.071,1893,68.312,1.422,0.084,2541,90.723,1.059,0.062
5,16,4.0000000000000000000000000,1923,96.036,1.011,0.059,1592,79.471,1.222,0.072,1513,75.549,1.286,0.076,1591,79.463,1.222,0.072
5,16,4.0000000000000000000000000,2672,93.391,1.040,0.061,2195,76.709,1.266,0.074,2692,94.075,1.032,0.061,2195,76.709,1.266,0.074
5,16,4.0000000000000000000000000,2744,98.365,0.987,0.058,2102,75.332,1.289,0.076,2709,97.097,1.000,0.059,2101,75.319,1.290,0.076
5,16,4.0000000000000000000000000,2500,83.783,1.130,0.066,2589,86.772,1.119,0.066,2145,71.862,1.352,0.080,2589,86.770,1.119,0.066
5,16,4.0000000000000000000000000,1160,71.740,1.354,0.080,899,55.596,1.719,0.101,1269,79.795,1.237,0.073,899,55.596,1.747,0.103
5,16,4.0000000000000000000000000,1822,99.933,0.972,0.057,1447,79.398,1.223,0.072,1202,65.941,1.473,0.087,1447,79.396,1.223,0.072
5,16,4.0000000000000000000000000,1348,69.654,1.394,0.082,1169,60.405,1.608,0.095,1569,81.051,1.198,0.070,1772,91.575,1.061,0.062
