level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
4,16,0.5000000000000000000000000,140,8.898,4.548,0.268,130,8.280,4.887,0.287,109,6.952,5.821,0.342,126,7.977,5.073,0.298
4,16,0.5000000000000000000000000,284,10.891,3.716,0.219,200,7.293,5.280,0.311,182,6.429,5.669,0.333,165,6.306,6.417,0.377
4,16,0.5000000000000000000000000,172,9.053,4.422,0.260,149,7.907,5.118,0.301,115,6.144,6.587,0.387,164,8.736,4.633,0.273
4,16,0.5000000000000000000000000,249,8.863,4.566,0.269,182,6.467,6.258,0.368,171,6.072,6.664,0.392,188,6.671,6.067,0.357
4,16,0.5000000000000000000000000,226,9.272,4.365,0.257,152,6.208,6.470,0.381,189,7.764,5.212,0.307,178,7.321,5.527,0.325
4,16,0.5000000000000000000000000,210,7.353,5.504,0.324,223,7.815,5.179,0.305,229,8.026,5.043,0.297,228,7.980,5.071,0.298
4,16,0.5000000000000000000000000,172,8.288,5.009,0.295,176,8.282,4.886,0.287,113,5.282,7.661,0.451,166,7.781,5.201,0.306
4,16,0.5000000000000000000000000,276,9.300,4.352,0.256,205,6.884,5.879,0.346,197,6.621,6.112,0.360,193,6.491,6.234,0.367
4,16,0.5000000000000000000000000,242,8.908,4.636,0.273,158,5.824,6.949,0.409,153,5.629,7.189,0.423,187,6.887,5.876,0.346
4,16,0.5000000000000000000000000,173,9.594,4.238,0.249,113,6.247,6.384,0.376,115,6.372,6.351,0.374,138,7.658,5.286,0.311
