level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
7,12,0.5000000000000000000000000,1393,72.524,7.142,0.549,1370,71.319,7.263,0.559,1089,56.683,9.138,0.703,1246,64.865,7.986,0.614
7,12,0.5000000000000000000000000,2321,83.825,6.180,0.475,1768,63.851,8.113,0.624,1587,57.333,9.035,0.695,1828,66.009,7.847,0.604
7,12,0.5000000000000000000000000,1689,93.971,5.512,0.424,1198,66.680,7.768,0.598,1194,66.465,7.794,0.600,1477,82.197,6.302,0.485
7,12,0.5000000000000000000000000,2170,78.856,6.569,0.505,1607,58.391,8.871,0.682,1535,55.776,9.287,0.714,1695,61.601,8.409,0.647
7,12,0.5000000000000000000000000,1983,90.179,5.744,0.442,1559,70.923,7.304,0.562,1381,62.814,8.246,0.634,1532,69.678,7.434,0.572
7,12,0.5000000000000000000000000,1730,84.020,6.165,0.474,1348,65.451,7.914,0.609,1241,60.250,8.597,0.661,1346,65.376,7.923,0.609
7,12,0.5000000000000000000000000,2372,97.323,5.322,0.409,1386,56.866,9.109,0.701,1457,59.758,8.668,0.667,1491,61.173,8.468,0.651
7,12,0.5000000000000000000000000,1402,86.770,5.970,0.459,1054,65.197,7.945,0.611,946,58.536,8.849,0.681,1042,64.486,8.033,0.618
7,12,0.5000000000000000000000000,2287,87.786,5.901,0.454,1459,55.989,9.252,0.712,1510,57.964,8.937,0.687,1574,60.410,8.575,0.660
7,12,0.5000000000000000000000000,1245,66.053,7.842,0.603,1067,56.604,9.151,0.704,1015,53.864,9.617,0.740,1134,60.176,8.608,0.662
