podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
300,0.2,8,4,0.2,0.1,0.2,2,1269,0.406,1606,0.506,1359,0.415
300,0.2,8,4,0.2,0.1,0.2,4,3168,0.512,3046,0.431,3046,0.492
300,0.2,8,4,0.2,0.1,0.2,8,6190,0.489,6122,0.486,4931,0.403
300,0.2,8,4,0.2,0.1,0.2,16,11870,0.465,12149,0.472,11860,0.438
300,0.2,8,4,0.2,0.1,0.5,2,1681,0.530,1729,0.545,1534,0.466
300,0.2,8,4,0.2,0.1,0.5,4,3313,0.535,3325,0.537,3134,0.506
300,0.2,8,4,0.2,0.1,0.5,8,6237,0.551,6501,0.497,5096,0.389
300,0.2,8,4,0.2,0.1,0.5,16,12398,0.523,12920,0.500,10714,0.421
300,0.2,8,4,0.2,0.1,1.0,2,1806,0.569,1845,0.582,1471,0.464
300,0.2,8,4,0.2,0.1,1.0,4,3554,0.574,3569,0.577,3387,0.547
300,0.2,8,4,0.2,0.1,1.0,8,6944,0.531,6985,0.534,5469,0.418
300,0.2,8,4,0.2,0.1,1.0,16,14284,0.545,13729,0.553,12682,0.484
300,0.2,8,4,0.2,0.1,2.0,2,2076,0.654,2114,0.666,1666,0.525
300,0.2,8,4,0.2,0.1,2.0,4,4036,0.652,4065,0.657,3861,0.624
300,0.2,8,4,0.2,0.1,2.0,8,7963,0.608,7945,0.607,6115,0.467
300,0.2,8,4,0.2,0.1,2.0,16,16183,0.617,15618,0.595,14090,0.537
300,0.2,8,4,0.2,0.1,5.0,2,4723,1.641,2855,0.900,2149,0.689
300,0.2,8,4,0.2,0.1,5.0,4,5486,0.886,5344,0.912,5304,0.862
300,0.2,8,4,0.2,0.1,5.0,8,10903,0.833,11452,0.889,8292,0.665
300,0.2,8,4,0.2,0.1,5.0,16,22202,0.847,21548,0.822,19233,0.733
300,0.2,8,4,0.2,0.2,0.2,2,1680,0.539,1676,0.538,1369,0.439
300,0.2,8,4,0.2,0.2,0.2,4,3255,0.536,3195,0.526,3117,0.513
300,0.2,8,4,0.2,0.2,0.2,8,6434,0.488,6470,0.503,5061,0.394
300,0.2,8,4,0.2,0.2,0.2,16,12558,0.512,12878,0.500,11426,0.444
300,0.2,8,4,0.2,0.2,0.5,2,1760,0.565,1755,0.564,1435,0.461
300,0.2,8,4,0.2,0.2,0.5,4,3393,0.558,3554,0.549,3261,0.536
300,0.2,8,4,0.2,0.2,0.5,8,6682,0.520,6442,0.481,5253,0.409
300,0.2,8,4,0.2,0.2,0.5,16,13384,0.538,13316,0.533,11601,0.479
300,0.2,8,4,0.2,0.2,1.0,2,1904,0.611,1887,0.606,1515,0.486
300,0.2,8,4,0.2,0.2,1.0,4,3501,0.576,3667,0.603,3457,0.569
300,0.2,8,4,0.2,0.2,1.0,8,7163,0.557,7273,0.589,5575,0.434
300,0.2,8,4,0.2,0.2,1.0,16,13913,0.586,14706,0.597,12754,0.511
300,0.2,8,4,0.2,0.2,2.0,2,2173,0.698,2231,0.641,1729,0.555
300,0.2,8,4,0.2,0.2,2.0,4,4150,0.683,4324,0.764,3998,0.658
300,0.2,8,4,0.2,0.2,2.0,8,8112,0.631,8050,0.626,6271,0.488
300,0.2,8,4,0.2,0.2,2.0,16,16666,0.647,16359,0.635,14359,0.571
300,0.2,8,4,0.2,0.2,5.0,2,2909,0.934,2914,0.936,2184,0.701
300,0.2,8,4,0.2,0.2,5.0,4,5662,0.931,5676,0.934,5184,0.803
300,0.2,8,4,0.2,0.2,5.0,8,11074,0.862,11052,0.860,7601,0.591
300,0.2,8,4,0.2,0.2,5.0,16,22896,0.936,27608,1.207,17803,0.695
300,0.2,8,4,0.2,0.5,0.2,2,1809,0.598,1754,0.580,1477,0.488
300,0.2,8,4,0.2,0.5,0.2,4,3455,0.586,3533,0.524,2722,0.469
300,0.2,8,4,0.2,0.5,0.2,8,6891,0.552,6720,0.537,5452,0.437
300,0.2,8,4,0.2,0.5,0.2,16,13479,0.539,13331,0.581,11409,0.456
300,0.2,8,4,0.2,0.5,0.5,2,1889,0.625,1830,0.605,1537,0.508
300,0.2,8,4,0.2,0.5,0.5,4,3612,0.612,3599,0.610,3256,0.552
300,0.2,8,4,0.2,0.5,0.5,8,7147,0.573,7108,0.570,5556,0.445
300,0.2,8,4,0.2,0.5,0.5,16,13532,0.556,14430,0.602,11799,0.472
300,0.2,8,4,0.2,0.5,1.0,2,1923,0.635,2009,0.664,1639,0.542
300,0.2,8,4,0.2,0.5,1.0,4,3857,0.633,3607,0.593,3523,0.597
300,0.2,8,4,0.2,0.5,1.0,8,7547,0.650,7619,0.611,6011,0.482
300,0.2,8,4,0.2,0.5,1.0,16,15274,0.638,14105,0.564,12480,0.499
300,0.2,8,4,0.2,0.5,2.0,2,2231,0.690,2260,0.747,1730,0.561
300,0.2,8,4,0.2,0.5,2.0,4,4290,0.727,4456,0.755,3844,0.651
300,0.2,8,4,0.2,0.5,2.0,8,8515,0.683,8627,0.692,6609,0.530
300,0.2,8,4,0.2,0.5,2.0,16,17557,0.702,16719,0.681,14065,0.563
300,0.2,8,4,0.2,0.5,5.0,2,2947,0.975,3038,1.005,2358,0.780
300,0.2,8,4,0.2,0.5,5.0,4,5841,0.990,5192,0.880,4568,0.684
300,0.2,8,4,0.2,0.5,5.0,8,11419,0.915,9735,0.838,8605,0.690
300,0.2,8,4,0.2,0.5,5.0,16,23507,1.047,19926,0.797,17957,0.718
300,0.2,8,4,0.2,1.0,0.2,2,2144,0.751,2154,0.754,1887,0.607
300,0.2,8,4,0.2,1.0,0.2,4,4139,0.742,4148,0.744,3650,0.655
300,0.2,8,4,0.2,1.0,0.2,8,8352,0.704,8015,0.476,6298,0.560
300,0.2,8,4,0.2,1.0,0.2,16,15958,0.693,16096,0.681,14604,0.618
300,0.2,8,4,0.2,1.0,0.5,2,2227,0.780,2238,0.784,1782,0.624
300,0.2,8,4,0.2,1.0,0.5,4,4354,0.832,4174,0.733,3777,0.677
300,0.2,8,4,0.2,1.0,0.5,8,8490,0.720,8527,0.724,6762,0.574
300,0.2,8,4,0.2,1.0,0.5,16,16483,0.698,16625,0.781,14582,0.672
300,0.2,8,4,0.2,1.0,1.0,2,2366,0.828,2116,0.741,1869,0.654
300,0.2,8,4,0.2,1.0,1.0,4,4558,0.818,4591,0.823,3938,0.706
300,0.2,8,4,0.2,1.0,1.0,8,8922,0.757,8590,0.745,7062,0.599
300,0.2,8,4,0.2,1.0,1.0,16,17617,0.746,17471,0.816,15773,0.668
300,0.2,8,4,0.2,1.0,2.0,2,2633,0.922,2290,0.802,2166,0.889
300,0.2,8,4,0.2,1.0,2.0,4,5063,0.908,5095,0.914,4319,0.775
300,0.2,8,4,0.2,1.0,2.0,8,9925,0.842,9098,0.772,7663,0.650
300,0.2,8,4,0.2,1.0,2.0,16,19456,0.824,18612,0.788,17337,0.734
300,0.2,8,4,0.2,1.0,5.0,2,3450,1.208,2903,1.016,2562,0.897
300,0.2,8,4,0.2,1.0,5.0,4,6789,1.218,5756,1.032,5479,0.983
300,0.2,8,4,0.2,1.0,5.0,8,12886,1.153,11476,0.935,10206,0.866
300,0.2,8,4,0.2,1.0,5.0,16,26750,1.133,22234,0.941,21833,0.924
300,0.2,8,4,0.2,2.0,0.2,2,3388,1.317,3947,1.380,2769,1.076
300,0.2,8,4,0.2,2.0,0.2,4,7747,1.543,8115,1.680,5178,1.120
300,0.2,8,4,0.2,2.0,0.2,8,15439,1.455,15441,1.455,10554,0.994
300,0.2,8,4,0.2,2.0,0.2,16,30568,1.564,24719,1.162,21895,1.029
300,0.2,8,4,0.2,2.0,0.5,2,3288,1.214,3451,1.342,2844,1.106
300,0.2,8,4,0.2,2.0,0.5,4,7872,1.568,6645,1.324,6253,1.246
300,0.2,8,4,0.2,2.0,0.5,8,15674,1.477,15580,1.468,10853,1.023
300,0.2,8,4,0.2,2.0,0.5,16,30036,1.464,25020,1.176,21607,1.112
300,0.2,8,4,0.2,2.0,1.0,2,4141,1.694,3532,1.373,2981,1.159
300,0.2,8,4,0.2,2.0,1.0,4,8263,1.646,6872,1.369,6619,1.318
300,0.2,8,4,0.2,2.0,1.0,8,16246,1.576,13774,1.402,11336,1.068
300,0.2,8,4,0.2,2.0,1.0,16,32536,1.574,25628,1.265,22765,1.130
300,0.2,8,4,0.2,2.0,2.0,2,3792,1.474,3425,1.331,3272,1.272
300,0.2,8,4,0.2,2.0,2.0,4,8807,1.754,7189,1.356,6869,1.368
300,0.2,8,4,0.2,2.0,2.0,8,16903,1.593,16963,1.626,12520,1.203
300,0.2,8,4,0.2,2.0,2.0,16,29687,1.396,28814,1.355,25001,1.176
300,0.2,8,4,0.2,2.0,5.0,2,4498,1.749,4484,1.743,3870,1.504
300,0.2,8,4,0.2,2.0,5.0,4,10182,2.028,7939,1.581,8279,1.649
300,0.2,8,4,0.2,2.0,5.0,8,19619,1.849,19141,1.804,14949,1.409
300,0.2,8,4,0.2,2.0,5.0,16,33957,1.597,31273,1.528,31084,1.568
300,0.2,8,4,0.5,0.1,0.2,2,2353,0.735,2449,0.772,1571,0.495
300,0.2,8,4,0.5,0.1,0.2,4,4710,0.761,4683,0.756,3913,0.632
300,0.2,8,4,0.5,0.1,0.2,8,9139,0.698,9336,0.713,6227,0.476
300,0.2,8,4,0.5,0.1,0.2,16,18671,0.712,18722,0.714,15751,0.604
300,0.2,8,4,0.5,0.1,0.5,2,2619,0.826,2628,0.829,1766,0.557
300,0.2,8,4,0.5,0.1,0.5,4,5071,0.819,5066,0.818,4212,0.680
300,0.2,8,4,0.5,0.1,0.5,8,10025,0.801,10040,0.767,6728,0.514
300,0.2,8,4,0.5,0.1,0.5,16,19726,0.808,19898,0.756,12754,0.528
300,0.2,8,4,0.5,0.1,1.0,2,2958,0.933,2962,0.934,1863,0.587
300,0.2,8,4,0.5,0.1,1.0,4,5656,0.914,5692,0.919,4844,0.782
300,0.2,8,4,0.5,0.1,1.0,8,11191,0.855,11227,0.858,7281,0.556
300,0.2,8,4,0.5,0.1,1.0,16,22793,0.869,22666,0.909,15243,0.599
300,0.2,8,4,0.5,0.1,2.0,2,3507,1.080,3585,1.130,2333,0.736
300,0.2,8,4,0.5,0.1,2.0,4,7001,1.131,6993,1.130,5947,0.961
300,0.2,8,4,0.5,0.1,2.0,8,13823,1.126,13605,1.039,9549,0.788
300,0.2,8,4,0.5,0.1,2.0,16,25805,0.988,26912,1.026,22354,0.848
300,0.2,8,4,0.5,0.1,5.0,2,5658,1.784,5537,1.746,3703,1.167
300,0.2,8,4,0.5,0.1,5.0,4,11189,1.746,10745,1.736,9160,1.480
300,0.2,8,4,0.5,0.1,5.0,8,21135,1.615,20691,1.581,16408,1.254
300,0.2,8,4,0.5,0.1,5.0,16,42482,1.682,42412,1.617,29010,1.106
300,0.2,8,4,0.5,0.2,0.2,2,2451,0.824,2489,0.862,1625,0.522
300,0.2,8,4,0.5,0.2,0.2,4,4763,0.784,4725,0.777,4022,0.662
300,0.2,8,4,0.5,0.2,0.2,8,9566,0.785,9379,0.730,6366,0.495
300,0.2,8,4,0.5,0.2,0.2,16,19264,0.748,18242,0.723,13829,0.537
300,0.2,8,4,0.5,0.2,0.5,2,2713,0.871,2593,0.833,1746,0.561
300,0.2,8,4,0.5,0.2,0.5,4,5123,0.843,5121,0.855,4318,0.710
300,0.2,8,4,0.5,0.2,0.5,8,10057,0.783,9915,0.833,6711,0.565
300,0.2,8,4,0.5,0.2,0.5,16,20212,0.785,19740,0.767,14883,0.578
300,0.2,8,4,0.5,0.2,1.0,2,3041,0.976,2962,0.951,2009,0.645
300,0.2,8,4,0.5,0.2,1.0,4,5709,0.939,4867,0.734,4894,0.805
300,0.2,8,4,0.5,0.2,1.0,8,11323,0.942,11270,0.877,7599,0.591
300,0.2,8,4,0.5,0.2,1.0,16,22706,0.882,21937,0.852,16655,0.647
300,0.2,8,4,0.5,0.2,2.0,2,3162,0.985,2750,0.912,2384,0.765
300,0.2,8,4,0.5,0.2,2.0,4,7126,1.055,7074,1.164,5990,0.985
300,0.2,8,4,0.5,0.2,2.0,8,13835,1.077,14284,1.245,9087,0.707
300,0.2,8,4,0.5,0.2,2.0,16,27980,1.086,27548,1.070,19087,0.760
300,0.2,8,4,0.5,0.2,5.0,2,5724,1.838,5792,1.860,3941,1.265
300,0.2,8,4,0.5,0.2,5.0,4,11033,1.815,10919,1.796,9242,1.520
300,0.2,8,4,0.5,0.2,5.0,8,20459,1.592,20049,1.560,13552,1.124
300,0.2,8,4,0.5,0.2,5.0,16,42303,1.789,41983,1.630,29248,1.136
300,0.2,8,4,0.5,0.5,0.2,2,2641,0.874,2561,0.776,1730,0.572
300,0.2,8,4,0.5,0.5,0.2,4,4907,0.832,4761,0.840,3670,0.622
300,0.2,8,4,0.5,0.5,0.2,8,9916,0.795,9833,0.788,6737,0.540
300,0.2,8,4,0.5,0.5,0.2,16,20290,0.812,19757,0.790,14847,0.642
300,0.2,8,4,0.5,0.5,0.5,2,2840,0.939,2779,0.919,1861,0.616
300,0.2,8,4,0.5,0.5,0.5,4,5251,0.890,4669,0.787,3990,0.719
300,0.2,8,4,0.5,0.5,0.5,8,10569,0.973,10453,0.838,7240,0.580
300,0.2,8,4,0.5,0.5,0.5,16,21055,0.821,18220,0.729,15984,0.674
300,0.2,8,4,0.5,0.5,1.0,2,3156,1.044,2492,0.803,2098,0.694
300,0.2,8,4,0.5,0.5,1.0,4,5825,0.987,6001,1.138,4268,0.779
300,0.2,8,4,0.5,0.5,1.0,8,11744,0.941,9556,0.752,7999,0.641
300,0.2,8,4,0.5,0.5,1.0,16,24168,1.070,21285,0.906,17208,0.688
300,0.2,8,4,0.5,0.5,2.0,2,3682,1.218,3771,1.558,2935,0.908
300,0.2,8,4,0.5,0.5,2.0,4,7400,1.156,7296,1.301,5260,0.891
300,0.2,8,4,0.5,0.5,2.0,8,13822,1.309,12205,0.945,9129,0.758
300,0.2,8,4,0.5,0.5,2.0,16,29531,1.181,23851,0.971,20069,0.868
300,0.2,8,4,0.5,0.5,5.0,2,5488,2.249,5811,2.019,3818,1.290
300,0.2,8,4,0.5,0.5,5.0,4,10837,1.836,9057,1.535,8279,1.403
300,0.2,8,4,0.5,0.5,5.0,8,21266,1.821,21066,1.689,13969,1.120
300,0.2,8,4,0.5,0.5,5.0,16,42110,1.712,36701,1.524,30054,1.202
300,0.2,8,4,0.5,1.0,0.2,2,2887,0.921,2841,0.949,2001,0.701
300,0.2,8,4,0.5,1.0,0.2,4,5641,1.012,5636,1.011,4339,0.778
300,0.2,8,4,0.5,1.0,0.2,8,11338,0.980,11335,0.996,7803,0.711
300,0.2,8,4,0.5,1.0,0.2,16,21521,0.911,22379,0.998,15623,0.666
300,0.2,8,4,0.5,1.0,0.5,2,3168,1.109,2589,0.825,2149,0.752
300,0.2,8,4,0.5,1.0,0.5,4,9748,2.125,6080,1.091,4649,0.834
300,0.2,8,4,0.5,1.0,0.5,8,11588,1.087,12378,1.053,8117,0.689
