podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
100,0.2,4,4,0.2,0.1,0.2,2,1670,1.026,1580,1.052,1465,0.976
100,0.2,4,4,0.2,0.1,0.2,4,3037,0.867,3160,0.967,2790,0.797
100,0.2,4,4,0.2,0.1,0.2,8,5800,0.979,5842,0.939,5241,0.845
100,0.2,4,4,0.2,0.1,0.2,16,11346,0.916,11417,0.876,5845,0.478
100,0.2,4,4,0.2,0.1,0.5,2,1634,1.088,1728,0.938,1503,1.001
100,0.2,4,4,0.2,0.1,0.5,4,3151,0.900,3181,0.908,2872,0.820
100,0.2,4,4,0.2,0.1,0.5,8,6074,1.026,6101,0.857,5450,0.920
100,0.2,4,4,0.2,0.1,0.5,16,11974,0.958,12012,1.034,10815,0.830
100,0.2,4,4,0.2,0.1,1.0,2,1760,1.172,1814,1.118,1586,1.057
100,0.2,4,4,0.2,0.1,1.0,4,3353,1.099,3426,0.978,2936,0.910
100,0.2,4,4,0.2,0.1,1.0,8,6546,1.105,6718,1.134,5697,0.895
100,0.2,4,4,0.2,0.1,1.0,16,13150,1.009,13072,1.006,11343,0.880
100,0.2,4,4,0.2,0.1,2.0,2,2068,1.278,2066,1.376,1764,1.175
100,0.2,4,4,0.2,0.1,2.0,4,3891,1.111,3922,1.120,3218,1.105
100,0.2,4,4,0.2,0.1,2.0,8,7633,1.289,8027,1.355,6516,1.100
100,0.2,4,4,0.2,0.1,2.0,16,14431,1.182,14559,1.155,12397,0.952
100,0.2,4,4,0.2,0.1,5.0,2,2867,1.747,2633,1.754,2291,1.526
100,0.2,4,4,0.2,0.1,5.0,4,5177,1.478,5030,1.436,3816,1.161
100,0.2,4,4,0.2,0.1,5.0,8,11041,1.830,10820,1.827,7596,1.201
100,0.2,4,4,0.2,0.1,5.0,16,19449,1.493,19398,1.605,15442,1.185
100,0.2,4,4,0.2,0.2,0.2,2,1813,1.294,1592,1.012,1527,1.104
100,0.2,4,4,0.2,0.2,0.2,4,3148,1.036,3091,0.899,2832,0.824
100,0.2,4,4,0.2,0.2,0.2,8,6000,1.032,5937,1.021,5409,0.913
100,0.2,4,4,0.2,0.2,0.2,16,11913,0.931,11844,0.964,10508,0.855
100,0.2,4,4,0.2,0.2,0.5,2,1691,1.147,1824,1.257,1522,1.033
100,0.2,4,4,0.2,0.2,0.5,4,3268,0.950,3261,0.948,2925,0.850
100,0.2,4,4,0.2,0.2,0.5,8,6310,1.085,6283,1.080,5583,0.960
100,0.2,4,4,0.2,0.2,0.5,16,13005,1.075,12561,0.982,12831,1.057
100,0.2,4,4,0.2,0.2,1.0,2,1800,1.221,1783,1.209,1710,1.144
100,0.2,4,4,0.2,0.2,1.0,4,3462,1.007,3483,1.013,3082,0.896
100,0.2,4,4,0.2,0.2,1.0,8,6738,1.159,6557,1.123,5907,1.016
100,0.2,4,4,0.2,0.2,1.0,16,13578,1.037,13392,1.142,11564,0.904
100,0.2,4,4,0.2,0.2,2.0,2,2088,1.416,2039,1.383,1821,1.235
100,0.2,4,4,0.2,0.2,2.0,4,3981,1.158,4104,1.193,3230,1.020
100,0.2,4,4,0.2,0.2,2.0,8,7900,1.359,8172,1.405,6795,1.159
100,0.2,4,4,0.2,0.2,2.0,16,15396,1.204,15755,1.232,12600,0.985
100,0.2,4,4,0.2,0.2,5.0,2,2748,1.652,2715,1.841,2184,1.262
100,0.2,4,4,0.2,0.2,5.0,4,5658,1.645,5785,1.682,4143,1.205
100,0.2,4,4,0.2,0.2,5.0,8,10631,1.732,10394,1.877,8336,1.434
100,0.2,4,4,0.2,0.2,5.0,16,20762,1.717,22522,1.761,15750,1.231
100,0.2,4,4,0.2,0.5,0.2,2,1774,1.192,1756,1.235,1528,1.068
100,0.2,4,4,0.2,0.5,0.2,4,3399,1.018,3399,1.018,3031,0.965
100,0.2,4,4,0.2,0.5,0.2,8,6465,1.145,6231,1.104,5522,0.978
100,0.2,4,4,0.2,0.5,0.2,16,12730,1.025,12917,1.088,10953,0.882
100,0.2,4,4,0.2,0.5,0.5,2,1836,1.283,1903,1.253,1571,1.097
100,0.2,4,4,0.2,0.5,0.5,4,3638,1.369,3498,1.048,3010,0.938
100,0.2,4,4,0.2,0.5,0.5,8,6782,1.201,6603,1.170,5800,0.940
100,0.2,4,4,0.2,0.5,0.5,16,13362,1.076,12688,1.059,11270,0.908
100,0.2,4,4,0.2,0.5,1.0,2,1970,1.376,1957,1.368,1583,1.195
100,0.2,4,4,0.2,0.5,1.0,4,3752,1.124,3759,1.126,3139,0.940
100,0.2,4,4,0.2,0.5,1.0,8,7165,1.304,7097,1.257,6000,1.063
100,0.2,4,4,0.2,0.5,1.0,16,14397,1.241,14026,1.130,11850,1.004
100,0.2,4,4,0.2,0.5,2.0,2,2200,1.538,2175,1.519,1774,1.240
100,0.2,4,4,0.2,0.5,2.0,4,3924,1.561,4263,1.277,3414,1.023
100,0.2,4,4,0.2,0.5,2.0,8,8336,1.379,8202,1.453,6614,1.172
100,0.2,4,4,0.2,0.5,2.0,16,16280,1.311,16299,1.313,13071,1.108
100,0.2,4,4,0.2,0.5,5.0,2,3053,2.133,3022,2.112,2206,1.587
100,0.2,4,4,0.2,0.5,5.0,4,5492,1.645,5598,1.677,4234,1.268
100,0.2,4,4,0.2,0.5,5.0,8,12074,2.139,11940,2.115,8306,1.471
100,0.2,4,4,0.2,0.5,5.0,16,21770,1.753,23802,1.927,15170,1.301
100,0.2,4,4,0.2,1.0,0.2,2,2065,1.527,2018,1.493,1769,1.308
100,0.2,4,4,0.2,1.0,0.2,4,4022,1.512,3892,1.453,3371,1.069
100,0.2,4,4,0.2,1.0,0.2,8,7587,1.423,7451,1.397,6361,1.077
100,0.2,4,4,0.2,1.0,0.2,16,12303,1.206,14544,1.289,12320,1.050
100,0.2,4,4,0.2,1.0,0.5,2,2144,1.586,2100,1.553,1818,1.345
100,0.2,4,4,0.2,1.0,0.5,4,4130,1.310,4087,1.296,3467,1.099
100,0.2,4,4,0.2,1.0,0.5,8,7810,1.396,7765,1.456,6445,1.209
100,0.2,4,4,0.2,1.0,0.5,16,15639,1.333,15806,1.450,12642,1.078
100,0.2,4,4,0.2,1.0,1.0,2,2424,2.049,2210,1.635,1903,1.407
100,0.2,4,4,0.2,1.0,1.0,4,4347,1.378,1724,0.711,3624,1.149
100,0.2,4,4,0.2,1.0,1.0,8,8440,1.583,8148,1.461,6825,1.280
100,0.2,4,4,0.2,1.0,1.0,16,16709,1.424,16004,1.469,13000,1.145
100,0.2,4,4,0.2,1.0,2.0,2,2446,1.809,2685,1.916,2188,1.386
100,0.2,4,4,0.2,1.0,2.0,4,4786,1.517,5035,1.676,3854,1.222
100,0.2,4,4,0.2,1.0,2.0,8,9053,1.609,9255,1.735,7412,1.390
100,0.2,4,4,0.2,1.0,2.0,16,20181,1.961,17985,1.533,13685,1.160
100,0.2,4,4,0.2,1.0,5.0,2,3173,2.347,3301,2.441,2464,1.744
100,0.2,4,4,0.2,1.0,5.0,4,6354,2.015,6642,2.106,4858,1.540
100,0.2,4,4,0.2,1.0,5.0,8,10297,2.015,13401,2.513,9264,1.737
100,0.2,4,4,0.2,1.0,5.0,16,24951,2.127,23937,2.064,17275,1.473
100,0.2,4,4,0.2,2.0,0.2,2,3168,2.602,3918,3.572,2351,1.931
100,0.2,4,4,0.2,2.0,0.2,4,5838,2.409,6883,2.423,3148,1.528
100,0.2,4,4,0.2,2.0,0.2,8,11640,2.424,12769,2.659,8876,1.848
100,0.2,4,4,0.2,2.0,0.2,16,22958,2.184,25355,2.400,17613,1.642
100,0.2,4,4,0.2,2.0,0.5,2,3248,2.668,3696,3.035,2439,2.003
100,0.2,4,4,0.2,2.0,0.5,4,6284,2.695,7058,2.485,4818,1.697
