podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
900,0.2,6,4,0.2,0.1,0.2,2,11391,5.433,10920,4.762,10336,4.829
900,0.2,6,4,0.2,0.1,0.2,4,21141,3.770,21039,3.752,19067,3.400
900,0.2,6,4,0.2,0.1,0.2,8,41971,4.534,41755,4.511,38034,4.109
900,0.2,6,4,0.2,0.1,0.2,16,81724,4.397,81236,4.370,74638,4.015
900,0.2,6,4,0.2,0.1,0.5,2,11792,5.509,11765,5.496,10616,4.959
900,0.2,6,4,0.2,0.1,0.5,4,22362,3.987,22405,3.995,19698,3.512
900,0.2,6,4,0.2,0.1,0.5,8,44550,4.765,44298,4.786,39196,4.235
900,0.2,6,4,0.2,0.1,0.5,16,86663,4.662,86156,4.635,76794,4.131
900,0.2,6,4,0.2,0.1,1.0,2,12824,5.991,12757,5.997,11226,5.245
900,0.2,6,4,0.2,0.1,1.0,4,24490,4.367,24626,4.391,20887,3.724
900,0.2,6,4,0.2,0.1,1.0,8,48170,5.395,48685,5.260,41415,4.474
900,0.2,6,4,0.2,0.1,1.0,16,94975,5.110,95522,5.148,81547,4.278
900,0.2,6,4,0.2,0.1,2.0,2,14888,6.955,14905,6.963,12435,4.975
900,0.2,6,4,0.2,0.1,2.0,4,28660,6.444,28986,5.169,23531,4.196
900,0.2,6,4,0.2,0.1,2.0,8,56764,6.122,57213,6.181,46428,5.016
900,0.2,6,4,0.2,0.1,2.0,16,112511,5.923,111113,5.978,90122,4.849
900,0.2,6,4,0.2,0.1,5.0,2,21078,9.847,20550,7.812,16547,7.730
900,0.2,6,4,0.2,0.1,5.0,4,41512,7.402,42015,7.492,31399,5.599
900,0.2,6,4,0.2,0.1,5.0,8,82010,8.860,82648,8.929,61504,6.645
900,0.2,6,4,0.2,0.1,5.0,16,161472,8.687,161745,8.702,118837,6.393
900,0.2,6,4,0.2,0.2,0.2,2,11394,4.977,11250,5.352,10490,4.991
900,0.2,6,4,0.2,0.2,0.2,4,21343,3.876,21068,3.826,19467,3.535
900,0.2,6,4,0.2,0.2,0.2,8,42361,4.661,42066,4.897,38301,4.574
900,0.2,6,4,0.2,0.2,0.2,16,82467,4.518,81715,4.477,75208,4.121
900,0.2,6,4,0.2,0.2,0.5,2,11997,5.708,11870,5.648,10788,5.133
900,0.2,6,4,0.2,0.2,0.5,4,22550,4.095,22327,4.054,20023,3.636
900,0.2,6,4,0.2,0.2,0.5,8,44852,4.935,44567,4.904,39841,4.383
900,0.2,6,4,0.2,0.2,0.5,16,87309,4.784,86514,4.740,77534,4.248
900,0.2,6,4,0.2,0.2,1.0,2,12853,5.252,12898,6.136,11340,5.395
900,0.2,6,4,0.2,0.2,1.0,4,24525,4.454,24387,4.429,21240,3.857
900,0.2,6,4,0.2,0.2,1.0,8,49035,5.395,48846,5.374,41819,4.745
900,0.2,6,4,0.2,0.2,1.0,16,95001,5.205,94736,5.191,81551,4.468
900,0.2,6,4,0.2,0.2,2.0,2,15080,7.175,14954,7.115,12595,5.993
900,0.2,6,4,0.2,0.2,2.0,4,29224,6.673,29103,5.893,23569,4.280
900,0.2,6,4,0.2,0.2,2.0,8,57378,6.313,57350,6.310,47134,5.186
900,0.2,6,4,0.2,0.2,2.0,16,112486,5.852,110961,6.080,92977,4.993
900,0.2,6,4,0.2,0.2,5.0,2,21347,10.156,21200,10.086,16369,7.788
900,0.2,6,4,0.2,0.2,5.0,4,41483,8.769,41091,7.462,31086,5.645
900,0.2,6,4,0.2,0.2,5.0,8,82618,9.090,82473,9.074,61987,6.820
900,0.2,6,4,0.2,0.2,5.0,16,158584,8.689,161544,8.851,118552,6.495
900,0.2,6,4,0.2,0.5,0.2,2,12038,5.900,11824,5.086,11114,5.447
900,0.2,6,4,0.2,0.5,0.2,4,22304,4.172,21905,4.098,20313,3.800
900,0.2,6,4,0.2,0.5,0.2,8,43829,4.968,43088,5.059,40279,4.485
900,0.2,6,4,0.2,0.5,0.2,16,85245,4.811,85045,4.800,77855,4.394
900,0.2,6,4,0.2,0.5,0.5,2,12661,6.205,12497,6.125,11391,5.583
900,0.2,6,4,0.2,0.5,0.5,4,23848,4.905,23144,4.330,21042,3.936
900,0.2,6,4,0.2,0.5,0.5,8,46330,5.251,45775,5.188,41531,4.707
900,0.2,6,4,0.2,0.5,0.5,16,90120,5.086,90047,5.082,80601,4.549
900,0.2,6,4,0.2,0.5,1.0,2,13692,6.710,13524,6.628,11974,5.869
900,0.2,6,4,0.2,0.5,1.0,4,25623,6.635,25136,4.702,22155,4.145
900,0.2,6,4,0.2,0.5,1.0,8,50507,5.724,49542,5.525,43886,4.974
900,0.2,6,4,0.2,0.5,1.0,16,98187,5.542,98444,5.556,85709,4.730
900,0.2,6,4,0.2,0.5,2.0,2,15708,7.699,15610,7.650,13259,6.498
900,0.2,6,4,0.2,0.5,2.0,4,29688,5.554,29285,5.478,24667,4.614
900,0.2,6,4,0.2,0.5,2.0,8,58782,6.662,58841,6.669,48828,5.534
900,0.2,6,4,0.2,0.5,2.0,16,113867,6.427,115141,6.499,94642,5.342
900,0.2,6,4,0.2,0.5,5.0,2,21773,10.671,22149,8.589,17184,8.422
900,0.2,6,4,0.2,0.5,5.0,4,42693,9.267,41571,7.776,32374,6.056
900,0.2,6,4,0.2,0.5,5.0,8,83581,9.473,84634,9.592,63826,7.234
900,0.2,6,4,0.2,0.5,5.0,16,161801,9.132,163227,9.213,123315,6.960
900,0.2,6,4,0.2,1.0,0.2,2,13886,7.204,13654,7.083,13406,6.955
900,0.2,6,4,0.2,1.0,0.2,4,25941,6.481,25078,4.966,24938,4.938
900,0.2,6,4,0.2,1.0,0.2,8,50547,6.064,49278,5.689,48683,6.114
900,0.2,6,4,0.2,1.0,0.2,16,98344,5.875,96000,5.735,95844,5.726
900,0.2,6,4,0.2,1.0,0.5,2,14510,7.528,14245,7.390,13703,7.109
900,0.2,6,4,0.2,1.0,0.5,4,27351,7.043,26340,5.216,25524,5.054
900,0.2,6,4,0.2,1.0,0.5,8,53052,6.365,52174,2.946,50580,5.671
900,0.2,6,4,0.2,1.0,0.5,16,103311,6.172,100673,6.014,96906,5.789
900,0.2,6,4,0.2,1.0,1.0,2,15551,8.067,15245,7.909,14221,7.377
900,0.2,6,4,0.2,1.0,1.0,4,29209,5.784,28625,6.934,26571,5.261
900,0.2,6,4,0.2,1.0,1.0,8,57227,6.866,55716,6.684,51920,6.229
900,0.2,6,4,0.2,1.0,1.0,16,111588,6.667,108564,6.486,100860,6.026
900,0.2,6,4,0.2,1.0,2.0,2,17949,7.792,17443,9.049,15651,8.119
900,0.2,6,4,0.2,1.0,2.0,4,33462,6.626,32460,6.427,29242,5.790
900,0.2,6,4,0.2,1.0,2.0,8,65397,7.243,63817,7.656,56867,6.822
900,0.2,6,4,0.2,1.0,2.0,16,128143,7.656,124517,7.439,110938,6.628
900,0.2,6,4,0.2,1.0,5.0,2,23668,12.278,23599,12.243,20276,6.993
900,0.2,6,4,0.2,1.0,5.0,4,45365,8.983,45090,8.928,37391,9.695
900,0.2,6,4,0.2,1.0,5.0,8,89736,10.766,88784,10.651,73897,8.865
900,0.2,6,4,0.2,1.0,5.0,16,175638,10.493,175857,10.454,146911,8.943
900,0.2,6,4,0.2,2.0,0.2,2,23269,13.406,24093,13.880,17329,9.984
900,0.2,6,4,0.2,2.0,0.2,4,42471,9.339,44784,11.510,31944,7.024
900,0.2,6,4,0.2,2.0,0.2,8,82792,11.031,85998,11.458,62810,8.368
900,0.2,6,4,0.2,2.0,0.2,16,161683,10.727,167450,11.110,122608,8.135
900,0.2,6,4,0.2,2.0,0.5,2,23909,13.774,24725,14.245,18191,9.235
900,0.2,6,4,0.2,2.0,0.5,4,44700,12.312,45394,9.982,33573,7.382
900,0.2,6,4,0.2,2.0,0.5,8,85389,11.376,88140,11.743,65904,8.780
900,0.2,6,4,0.2,2.0,0.5,16,166868,11.071,171729,11.394,128578,8.531
900,0.2,6,4,0.2,2.0,1.0,2,24975,14.389,25448,14.661,19546,11.261
900,0.2,6,4,0.2,2.0,1.0,4,45998,10.115,47520,10.450,36312,7.985
900,0.2,6,4,0.2,2.0,1.0,8,89715,11.953,91415,12.179,70817,9.435
900,0.2,6,4,0.2,2.0,1.0,16,175482,12.047,180765,12.406,138006,9.156
900,0.2,6,4,0.2,2.0,2.0,2,27108,15.617,27320,14.262,21875,12.602
900,0.2,6,4,0.2,2.0,2.0,4,50405,11.084,51441,11.312,40750,8.961
900,0.2,6,4,0.2,2.0,2.0,8,98369,13.106,98869,13.172,79387,10.577
900,0.2,6,4,0.2,2.0,2.0,16,192795,12.791,193940,12.867,155706,10.331
900,0.2,6,4,0.2,2.0,5.0,2,33447,19.269,33250,19.156,28248,16.274
900,0.2,6,4,0.2,2.0,5.0,4,63628,13.992,63104,13.876,53038,11.663
900,0.2,6,4,0.2,2.0,5.0,8,124487,16.586,122628,16.338,103146,13.001
900,0.2,6,4,0.2,2.0,5.0,16,245216,15.852,240718,15.824,198069,13.141
900,0.2,6,4,0.5,0.1,0.2,2,16544,7.729,16462,7.691,12899,6.026
900,0.2,6,4,0.5,0.1,0.2,4,31803,5.671,31822,5.674,24355,4.343
900,0.2,6,4,0.5,0.1,0.2,8,63974,6.912,62920,6.982,48195,5.207
900,0.2,6,4,0.5,0.1,0.2,16,124791,6.714,123311,6.634,94113,4.733
900,0.2,6,4,0.5,0.1,0.5,2,18091,8.452,18043,8.429,13770,6.433
900,0.2,6,4,0.5,0.1,0.5,4,34994,6.240,35167,6.271,25914,4.621
900,0.2,6,4,0.5,0.1,0.5,8,69989,7.561,70535,7.868,51602,5.575
900,0.2,6,4,0.5,0.1,0.5,16,137259,7.384,135835,7.308,101020,5.435
900,0.2,6,4,0.5,0.1,1.0,2,20671,9.657,21212,8.388,15156,7.080
