podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
100,0.2,8,4,0.2,0.1,0.2,2,624,0.200,633,0.205,561,0.182
100,0.2,8,4,0.2,0.1,0.2,4,972,0.155,1049,0.189,880,0.150
100,0.2,8,4,0.2,0.1,0.2,8,2104,0.164,2156,0.163,2076,0.157
100,0.2,8,4,0.2,0.1,0.2,16,4137,0.162,4116,0.162,4231,0.164
100,0.2,8,4,0.2,0.1,0.5,2,629,0.204,658,0.213,803,0.257
100,0.2,8,4,0.2,0.1,0.5,4,1147,0.207,1239,0.185,946,0.141
100,0.2,8,4,0.2,0.1,0.5,8,2536,0.192,2269,0.172,2145,0.162
100,0.2,8,4,0.2,0.1,0.5,16,4571,0.191,4300,0.169,3986,0.157
100,0.2,8,4,0.2,0.1,1.0,2,647,0.210,558,0.160,497,0.153
100,0.2,8,4,0.2,0.1,1.0,4,1246,0.225,1174,0.212,1132,0.166
100,0.2,8,4,0.2,0.1,1.0,8,2721,0.206,2438,0.184,2346,0.177
100,0.2,8,4,0.2,0.1,1.0,16,4883,0.194,4613,0.181,4221,0.166
100,0.2,8,4,0.2,0.1,2.0,2,727,0.236,707,0.229,691,0.210
100,0.2,8,4,0.2,0.1,2.0,4,1443,0.222,1343,0.242,1216,0.219
100,0.2,8,4,0.2,0.1,2.0,8,3109,0.251,2791,0.211,2630,0.205
100,0.2,8,4,0.2,0.1,2.0,16,5907,0.249,5228,0.205,4735,0.186
100,0.2,8,4,0.2,0.1,5.0,2,1116,0.362,1128,0.420,911,0.248
100,0.2,8,4,0.2,0.1,5.0,4,2207,0.398,1960,0.340,1648,0.297
100,0.2,8,4,0.2,0.1,5.0,8,4352,0.329,4278,0.344,3169,0.253
100,0.2,8,4,0.2,0.1,5.0,16,4771,0.194,7564,0.308,6265,0.246
100,0.2,8,4,0.2,0.2,0.2,2,614,0.202,576,0.190,545,0.180
100,0.2,8,4,0.2,0.2,0.2,4,1108,0.204,1173,0.179,874,0.161
100,0.2,8,4,0.2,0.2,0.2,8,2221,0.178,2154,0.181,2145,0.165
100,0.2,8,4,0.2,0.2,0.2,16,4248,0.170,4168,0.167,4414,0.188
100,0.2,8,4,0.2,0.2,0.5,2,637,0.210,691,0.245,574,0.189
100,0.2,8,4,0.2,0.2,0.5,4,1265,0.233,1108,0.204,946,0.167
100,0.2,8,4,0.2,0.2,0.5,8,2633,0.203,2382,0.188,2219,0.171
100,0.2,8,4,0.2,0.2,0.5,16,4420,0.182,4448,0.178,4250,0.165
100,0.2,8,4,0.2,0.2,1.0,2,677,0.223,644,0.212,610,0.201
100,0.2,8,4,0.2,0.2,1.0,4,1257,0.234,1193,0.219,983,0.181
100,0.2,8,4,0.2,0.2,1.0,8,2730,0.222,2489,0.201,2475,0.195
100,0.2,8,4,0.2,0.2,1.0,16,5190,0.208,5162,0.213,4215,0.169
100,0.2,8,4,0.2,0.2,2.0,2,731,0.281,735,0.243,680,0.224
100,0.2,8,4,0.2,0.2,2.0,4,1561,0.295,1384,0.213,1112,0.204
100,0.2,8,4,0.2,0.2,2.0,8,3236,0.249,2864,0.221,2704,0.208
100,0.2,8,4,0.2,0.2,2.0,16,5877,0.235,5914,0.242,4755,0.190
100,0.2,8,4,0.2,0.2,5.0,2,1076,0.339,1069,0.298,864,0.285
100,0.2,8,4,0.2,0.2,5.0,4,2133,0.357,1969,0.348,1795,0.299
100,0.2,8,4,0.2,0.2,5.0,8,4434,0.341,3931,0.303,3794,0.292
100,0.2,8,4,0.2,0.2,5.0,16,8275,0.350,7655,0.306,6402,0.256
100,0.2,8,4,0.2,0.5,0.2,2,727,0.264,628,0.214,581,0.198
100,0.2,8,4,0.2,0.5,0.2,4,1145,0.219,1146,0.217,948,0.180
100,0.2,8,4,0.2,0.5,0.2,8,2704,0.215,2345,0.186,1964,0.156
100,0.2,8,4,0.2,0.5,0.2,16,4819,0.201,4543,0.187,3517,0.144
100,0.2,8,4,0.2,0.5,0.5,2,683,0.232,650,0.221,610,0.207
100,0.2,8,4,0.2,0.5,0.5,4,1275,0.242,1187,0.215,967,0.183
100,0.2,8,4,0.2,0.5,0.5,8,2826,0.224,2446,0.194,3222,0.269
100,0.2,8,4,0.2,0.5,0.5,16,5128,0.211,4742,0.195,4147,0.171
100,0.2,8,4,0.2,0.5,1.0,2,733,0.249,695,0.236,621,0.211
100,0.2,8,4,0.2,0.5,1.0,4,1479,0.280,1295,0.245,1024,0.194
100,0.2,8,4,0.2,0.5,1.0,8,2939,0.259,2636,0.209,2200,0.175
100,0.2,8,4,0.2,0.5,1.0,16,5242,0.214,5134,0.214,4457,0.186
100,0.2,8,4,0.2,0.5,2.0,2,825,0.280,730,0.230,673,0.210
100,0.2,8,4,0.2,0.5,2.0,4,1562,0.296,1497,0.284,1180,0.195
100,0.2,8,4,0.2,0.5,2.0,8,3433,0.272,3011,0.233,2412,0.191
100,0.2,8,4,0.2,0.5,2.0,16,6169,0.254,5817,0.231,4596,0.189
100,0.2,8,4,0.2,0.5,5.0,2,1159,0.487,1189,0.404,928,0.315
100,0.2,8,4,0.2,0.5,5.0,4,2340,0.443,1680,0.298,1662,0.277
100,0.2,8,4,0.2,0.5,5.0,8,4717,0.374,3863,0.321,3168,0.251
100,0.2,8,4,0.2,0.5,5.0,16,8760,0.387,8600,0.343,6076,0.258
100,0.2,8,4,0.2,1.0,0.2,2,775,0.279,743,0.228,655,0.236
100,0.2,8,4,0.2,1.0,0.2,4,1442,0.289,1417,0.235,1130,0.226
100,0.2,8,4,0.2,1.0,0.2,8,3107,0.263,2802,0.235,2493,0.198
100,0.2,8,4,0.2,1.0,0.2,16,5420,0.236,5337,0.229,4800,0.216
100,0.2,8,4,0.2,1.0,0.5,2,803,0.289,773,0.278,950,0.337
100,0.2,8,4,0.2,1.0,0.5,4,1509,0.303,1426,0.272,1184,0.237
100,0.2,8,4,0.2,1.0,0.5,8,3293,0.277,2796,0.250,2560,0.215
100,0.2,8,4,0.2,1.0,0.5,16,6435,0.275,5575,0.243,4941,0.222
