podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
300,0.2,4,4,0.2,0.1,0.2,2,4793,2.101,4914,3.453,4398,2.903
300,0.2,4,4,0.2,0.1,0.2,4,9056,2.773,9085,2.782,8183,2.506
300,0.2,4,4,0.2,0.1,0.2,8,17368,2.686,17380,2.546,15853,2.322
300,0.2,4,4,0.2,0.1,0.2,16,33816,2.669,33862,2.698,30988,2.469
300,0.2,4,4,0.2,0.1,0.5,2,5140,3.612,5126,3.602,4689,3.295
300,0.2,4,4,0.2,0.1,0.5,4,9502,2.909,9576,3.567,8424,2.579
300,0.2,4,4,0.2,0.1,0.5,8,18290,2.679,18359,2.689,16372,2.398
300,0.2,4,4,0.2,0.1,0.5,16,35415,2.822,35507,2.761,32085,2.556
300,0.2,4,4,0.2,0.1,1.0,2,5508,3.870,5507,4.218,4899,3.442
300,0.2,4,4,0.2,0.1,1.0,4,10278,3.147,10388,3.181,8928,2.733
300,0.2,4,4,0.2,0.1,1.0,8,12251,2.239,19901,3.194,17544,2.765
300,0.2,4,4,0.2,0.1,1.0,16,38314,3.053,39033,3.110,33695,2.633
300,0.2,4,4,0.2,0.1,2.0,2,6300,3.888,6305,4.430,5321,3.739
300,0.2,4,4,0.2,0.1,2.0,4,11831,3.622,12061,3.693,9743,2.983
300,0.2,4,4,0.2,0.1,2.0,8,22431,3.286,22520,3.299,18839,2.759
300,0.2,4,4,0.2,0.1,2.0,16,44075,3.681,44825,3.571,37230,3.069
300,0.2,4,4,0.2,0.1,5.0,2,8356,5.871,8595,6.039,6517,4.579
300,0.2,4,4,0.2,0.1,5.0,4,16473,5.043,17072,5.227,12152,3.721
300,0.2,4,4,0.2,0.1,5.0,8,30632,4.487,31758,4.652,23519,3.445
300,0.2,4,4,0.2,0.1,5.0,16,60332,4.882,60850,5.281,46798,3.797
300,0.2,4,4,0.2,0.2,0.2,2,5251,3.565,5043,3.608,4687,2.832
300,0.2,4,4,0.2,0.2,0.2,4,9441,2.944,9300,3.274,8428,2.628
300,0.2,4,4,0.2,0.2,0.2,8,18185,3.094,18237,2.720,16389,2.445
300,0.2,4,4,0.2,0.2,0.2,16,35576,2.887,34924,2.877,31681,2.571
300,0.2,4,4,0.2,0.2,0.5,2,5347,3.826,4253,2.648,4803,3.437
300,0.2,4,4,0.2,0.2,0.5,4,9868,3.077,9826,3.167,8683,2.707
300,0.2,4,4,0.2,0.2,0.5,8,19275,2.875,19152,2.857,16915,2.523
300,0.2,4,4,0.2,0.2,0.5,16,37568,3.043,36823,2.988,32796,2.661
300,0.2,4,4,0.2,0.2,1.0,2,5685,4.068,5655,4.046,5009,3.584
300,0.2,4,4,0.2,0.2,1.0,4,10510,3.277,10443,3.582,9123,2.845
300,0.2,4,4,0.2,0.2,1.0,8,20799,3.103,20760,3.097,17945,2.572
300,0.2,4,4,0.2,0.2,1.0,16,39743,3.225,39409,3.198,34401,2.791
300,0.2,4,4,0.2,0.2,2.0,2,6451,4.616,6479,4.636,5399,3.863
300,0.2,4,4,0.2,0.2,2.0,4,12019,3.748,12247,3.819,10005,3.704
300,0.2,4,4,0.2,0.2,2.0,8,23793,3.549,23940,3.932,19267,2.874
300,0.2,4,4,0.2,0.2,2.0,16,45984,3.781,46104,3.741,37591,3.035
300,0.2,4,4,0.2,0.2,5.0,2,8432,5.184,8659,6.196,6569,4.700
300,0.2,4,4,0.2,0.2,5.0,4,16516,5.150,17083,5.327,12299,3.835
300,0.2,4,4,0.2,0.2,5.0,8,32433,4.838,32920,4.911,23791,3.549
300,0.2,4,4,0.2,0.2,5.0,16,62246,5.051,67417,5.470,47400,3.895
300,0.2,4,4,0.2,0.5,0.2,2,5571,4.106,5440,3.806,4935,3.638
300,0.2,4,4,0.2,0.5,0.2,4,10026,3.220,9833,3.159,8654,2.997
300,0.2,4,4,0.2,0.5,0.2,8,19596,3.011,19220,3.159,16881,2.594
300,0.2,4,4,0.2,0.5,0.2,16,38086,3.183,37418,3.045,32384,2.707
300,0.2,4,4,0.2,0.5,0.5,2,5741,3.908,5642,4.159,5061,3.730
300,0.2,4,4,0.2,0.5,0.5,4,10664,3.145,10279,3.302,8971,2.882
300,0.2,4,4,0.2,0.5,0.5,8,20523,3.154,20055,3.082,17346,2.666
300,0.2,4,4,0.2,0.5,0.5,16,39575,3.408,38539,3.141,33294,2.783
300,0.2,4,4,0.2,0.5,1.0,2,6145,4.530,6023,4.440,5263,3.879
300,0.2,4,4,0.2,0.5,1.0,4,11211,3.601,11107,3.568,9372,3.010
300,0.2,4,4,0.2,0.5,1.0,8,22098,3.396,21565,3.314,17720,3.162
300,0.2,4,4,0.2,0.5,1.0,16,42683,3.568,41995,3.510,35058,3.018
300,0.2,4,4,0.2,0.5,2.0,2,6812,5.021,6776,4.995,5688,4.193
300,0.2,4,4,0.2,0.5,2.0,4,12621,4.054,12630,4.057,10203,3.655
300,0.2,4,4,0.2,0.5,2.0,8,25130,3.862,24664,3.790,19555,3.268
300,0.2,4,4,0.2,0.5,2.0,16,47682,4.036,47752,3.991,38387,3.172
300,0.2,4,4,0.2,0.5,5.0,2,9114,6.718,9041,6.665,6924,5.104
300,0.2,4,4,0.2,0.5,5.0,4,17085,5.488,17258,5.543,12500,4.015
300,0.2,4,4,0.2,0.5,5.0,8,34588,5.315,34251,5.263,24012,3.690
