podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
100,0.2,6,4,0.2,0.1,0.2,2,1375,0.528,1247,0.488,1119,0.438
100,0.2,6,4,0.2,0.1,0.2,4,2366,0.529,2327,0.486,2122,0.412
100,0.2,6,4,0.2,0.1,0.2,8,4933,0.515,4638,0.442,4226,0.458
100,0.2,6,4,0.2,0.1,0.2,16,8974,0.475,9259,0.492,9076,0.457
100,0.2,6,4,0.2,0.1,0.5,2,1288,0.504,1305,0.511,1139,0.446
100,0.2,6,4,0.2,0.1,0.5,4,2393,0.500,2444,0.511,2184,0.456
100,0.2,6,4,0.2,0.1,0.5,8,4828,0.524,4897,0.531,4399,0.477
100,0.2,6,4,0.2,0.1,0.5,16,9713,0.501,9590,0.511,8028,0.425
100,0.2,6,4,0.2,0.1,1.0,2,1440,0.567,1401,0.549,1261,0.495
100,0.2,6,4,0.2,0.1,1.0,4,2565,0.536,2633,0.550,2264,0.473
100,0.2,6,4,0.2,0.1,1.0,8,5260,0.570,5275,0.573,4577,0.496
100,0.2,6,4,0.2,0.1,1.0,16,10050,0.563,10588,0.566,8491,0.449
100,0.2,6,4,0.2,0.1,2.0,2,1558,0.610,1545,0.724,1326,0.519
100,0.2,6,4,0.2,0.1,2.0,4,3239,0.677,3013,0.630,2618,0.587
100,0.2,6,4,0.2,0.1,2.0,8,6000,0.650,6001,0.651,5101,0.526
100,0.2,6,4,0.2,0.1,2.0,16,11867,0.609,11928,0.630,9671,0.516
100,0.2,6,4,0.2,0.1,5.0,2,2148,0.841,2339,0.871,1720,0.674
100,0.2,6,4,0.2,0.1,5.0,4,4261,0.924,4165,0.870,3232,0.676
100,0.2,6,4,0.2,0.1,5.0,8,8093,0.877,9116,1.005,6494,0.704
100,0.2,6,4,0.2,0.1,5.0,16,16572,0.905,16505,0.874,12072,0.639
100,0.2,6,4,0.2,0.2,0.2,2,1269,0.506,1233,0.492,1181,0.448
100,0.2,6,4,0.2,0.2,0.2,4,2363,0.503,2483,0.489,2344,0.576
100,0.2,6,4,0.2,0.2,0.2,8,4695,0.488,4671,0.516,4386,0.484
100,0.2,6,4,0.2,0.2,0.2,16,9126,0.492,8961,0.476,8050,0.434
100,0.2,6,4,0.2,0.2,0.5,2,1332,0.531,1289,0.514,1333,0.500
100,0.2,6,4,0.2,0.2,0.5,4,2474,0.527,2456,0.523,2414,0.520
100,0.2,6,4,0.2,0.2,0.5,8,4998,0.534,4937,0.543,4241,0.448
100,0.2,6,4,0.2,0.2,0.5,16,9619,0.519,9574,0.516,9462,0.515
100,0.2,6,4,0.2,0.2,1.0,2,1417,0.565,1387,0.553,1240,0.495
100,0.2,6,4,0.2,0.2,1.0,4,2602,0.554,2644,0.563,2345,0.499
100,0.2,6,4,0.2,0.2,1.0,8,5253,0.580,5349,0.591,4736,0.518
100,0.2,6,4,0.2,0.2,1.0,16,10580,0.574,10422,0.592,8685,0.455
100,0.2,6,4,0.2,0.2,2.0,2,1616,0.645,1576,0.629,1257,0.600
100,0.2,6,4,0.2,0.2,2.0,4,2936,0.625,3030,0.645,2594,0.552
100,0.2,6,4,0.2,0.2,2.0,8,5965,0.659,6145,0.617,5233,0.578
100,0.2,6,4,0.2,0.2,2.0,16,12485,0.653,12257,0.661,9826,0.530
100,0.2,6,4,0.2,0.2,5.0,2,2215,0.883,2317,0.874,1692,0.675
100,0.2,6,4,0.2,0.2,5.0,4,3939,0.838,4174,0.888,3410,0.726
100,0.2,6,4,0.2,0.2,5.0,8,8973,0.991,8181,0.903,6773,0.748
100,0.2,6,4,0.2,0.2,5.0,16,15982,0.862,16669,0.899,13213,0.743
100,0.2,6,4,0.2,0.5,0.2,2,1336,0.549,1334,0.605,1222,0.502
100,0.2,6,4,0.2,0.5,0.2,4,2457,0.539,2481,0.559,2237,0.490
100,0.2,6,4,0.2,0.5,0.2,8,4954,0.563,4907,0.606,4449,0.506
100,0.2,6,4,0.2,0.5,0.2,16,9490,0.527,9255,0.522,8736,0.473
100,0.2,6,4,0.2,0.5,0.5,2,1395,0.573,1356,0.557,1269,0.521
100,0.2,6,4,0.2,0.5,0.5,4,2579,0.568,2517,0.552,2441,0.578
100,0.2,6,4,0.2,0.5,0.5,8,5158,0.612,5067,0.576,4773,0.512
100,0.2,6,4,0.2,0.5,0.5,16,9904,0.560,9836,0.546,9164,0.497
100,0.2,6,4,0.2,0.5,1.0,2,1494,0.614,1581,0.681,1333,0.553
100,0.2,6,4,0.2,0.5,1.0,4,2391,0.609,2767,0.607,2630,0.550
100,0.2,6,4,0.2,0.5,1.0,8,5679,0.633,5523,0.628,4892,0.556
100,0.2,6,4,0.2,0.5,1.0,16,10786,0.608,11008,0.599,9271,0.515
100,0.2,6,4,0.2,0.5,2.0,2,1658,0.681,1673,0.688,1398,0.574
100,0.2,6,4,0.2,0.5,2.0,4,3137,0.688,3245,0.702,2678,0.587
100,0.2,6,4,0.2,0.5,2.0,8,6485,0.727,6370,0.724,5370,0.611
100,0.2,6,4,0.2,0.5,2.0,16,12409,0.689,12530,0.693,10183,0.563
100,0.2,6,4,0.2,0.5,5.0,2,2395,0.984,2361,0.991,1763,0.793
100,0.2,6,4,0.2,0.5,5.0,4,4317,0.946,4516,0.990,3261,0.715
100,0.2,6,4,0.2,0.5,5.0,8,8704,0.990,8965,1.020,7192,0.787
100,0.2,6,4,0.2,0.5,5.0,16,16869,0.937,17987,0.966,14173,0.748
100,0.2,6,4,0.2,1.0,0.2,2,1556,0.769,1574,0.782,1490,0.648
100,0.2,6,4,0.2,1.0,0.2,4,2861,0.664,2750,0.638,2783,0.646
100,0.2,6,4,0.2,1.0,0.2,8,5620,0.677,5467,0.629,5510,0.663
100,0.2,6,4,0.2,1.0,0.2,16,11075,0.651,10667,0.641,10719,0.630
