podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
700,0.2,4,4,0.2,0.1,0.2,2,11610,6.910,11399,7.863,10349,7.672
700,0.2,4,4,0.2,0.1,0.2,4,21090,6.794,21211,6.833,19106,5.424
700,0.2,4,4,0.2,0.1,0.2,8,40432,6.574,40202,6.537,36595,5.950
700,0.2,4,4,0.2,0.1,0.2,16,79447,6.057,79640,6.072,71757,5.471
700,0.2,4,4,0.2,0.1,0.5,2,12126,7.354,12177,7.385,10880,6.598
700,0.2,4,4,0.2,0.1,0.5,4,22460,7.236,22460,7.235,20055,6.461
700,0.2,4,4,0.2,0.1,0.5,8,42986,6.990,43183,7.022,38172,6.207
700,0.2,4,4,0.2,0.1,0.5,16,84566,6.447,84782,6.464,74861,6.050
700,0.2,4,4,0.2,0.1,1.0,2,13160,7.981,13293,8.062,11544,7.001
700,0.2,4,4,0.2,0.1,1.0,4,24562,7.913,24900,8.022,21403,6.895
700,0.2,4,4,0.2,0.1,1.0,8,47295,7.690,47721,7.759,40884,6.648
700,0.2,4,4,0.2,0.1,1.0,16,92859,7.080,94347,7.193,80452,6.113
700,0.2,4,4,0.2,0.1,2.0,2,15327,9.295,15510,9.406,12812,7.770
700,0.2,4,4,0.2,0.1,2.0,4,28848,9.294,29418,9.477,23895,7.698
700,0.2,4,4,0.2,0.1,2.0,8,55569,9.036,56936,9.885,46184,7.510
700,0.2,4,4,0.2,0.1,2.0,16,108966,8.308,112294,8.561,90212,6.878
700,0.2,4,4,0.2,0.1,5.0,2,21891,13.277,22325,12.951,16373,9.930
700,0.2,4,4,0.2,0.1,5.0,4,40221,8.519,43067,13.211,31010,9.990
700,0.2,4,4,0.2,0.1,5.0,8,83593,13.592,83298,13.545,60356,9.814
700,0.2,4,4,0.2,0.1,5.0,16,162531,12.392,167360,9.013,118427,9.029
700,0.2,4,4,0.2,0.2,0.2,2,11950,7.381,11844,7.315,10820,6.683
700,0.2,4,4,0.2,0.2,0.2,4,22092,7.248,21917,7.190,19796,6.495
700,0.2,4,4,0.2,0.2,0.2,8,42113,6.974,41916,6.941,37566,6.221
700,0.2,4,4,0.2,0.2,0.2,16,82325,6.830,81960,6.364,74126,5.756
700,0.2,4,4,0.2,0.2,0.5,2,12699,7.370,12481,7.709,11153,6.889
700,0.2,4,4,0.2,0.2,0.5,4,23416,7.682,23190,7.608,20534,6.737
700,0.2,4,4,0.2,0.2,0.5,8,44570,7.120,44709,7.404,39068,6.469
