podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
500,0.2,8,4,0.2,0.1,0.2,2,2589,0.785,2574,0.787,2039,0.615
500,0.2,8,4,0.2,0.1,0.2,4,5094,0.867,5135,0.760,4614,0.683
500,0.2,8,4,0.2,0.1,0.2,8,10053,0.887,9325,0.823,9942,0.877
500,0.2,8,4,0.2,0.1,0.2,16,19721,0.754,19653,0.774,15713,0.619
500,0.2,8,4,0.2,0.1,0.5,2,2713,0.938,2554,0.883,2166,0.749
500,0.2,8,4,0.2,0.1,0.5,4,5413,0.890,5374,0.796,4824,0.714
500,0.2,8,4,0.2,0.1,0.5,8,10517,0.928,10538,0.780,10343,0.913
500,0.2,8,4,0.2,0.1,0.5,16,20966,0.825,20656,0.813,16400,0.646
500,0.2,8,4,0.2,0.1,1.0,2,2926,0.895,2761,0.955,2287,0.791
500,0.2,8,4,0.2,0.1,1.0,4,5835,0.864,5784,0.857,5148,0.762
500,0.2,8,4,0.2,0.1,1.0,8,11304,0.997,10376,0.915,11160,0.985
500,0.2,8,4,0.2,0.1,1.0,16,22367,0.880,22447,0.889,16949,0.667
500,0.2,8,4,0.2,0.1,2.0,2,3380,1.169,3022,1.045,2590,0.895
500,0.2,8,4,0.2,0.1,2.0,4,6616,0.980,6594,0.977,5850,0.866
500,0.2,8,4,0.2,0.1,2.0,8,12957,1.143,12771,0.984,12710,1.121
500,0.2,8,4,0.2,0.1,2.0,16,25602,1.036,25749,1.014,19587,0.771
500,0.2,8,4,0.2,0.1,5.0,2,4637,1.603,3978,1.375,3584,1.239
500,0.2,8,4,0.2,0.1,5.0,4,9124,1.351,9089,1.346,7840,1.161
500,0.2,8,4,0.2,0.1,5.0,8,18805,1.301,15615,1.378,17512,1.474
500,0.2,8,4,0.2,0.1,5.0,16,34942,1.402,36455,1.509,26157,1.030
500,0.2,8,4,0.2,0.2,0.2,2,2657,0.936,2689,0.856,2158,0.760
500,0.2,8,4,0.2,0.2,0.2,4,5254,0.792,5310,0.776,4800,0.761
500,0.2,8,4,0.2,0.2,0.2,8,10686,0.918,10234,0.836,9580,0.821
500,0.2,8,4,0.2,0.2,0.2,16,20393,0.818,20465,0.820,16368,0.656
500,0.2,8,4,0.2,0.2,0.5,2,2775,0.977,2801,0.986,2529,0.956
500,0.2,8,4,0.2,0.2,0.5,4,5531,0.834,5585,0.842,4573,0.690
500,0.2,8,4,0.2,0.2,0.5,8,11022,0.990,10973,0.843,9843,0.789
500,0.2,8,4,0.2,0.2,0.5,16,21320,0.855,21183,0.849,16855,0.676
500,0.2,8,4,0.2,0.2,1.0,2,2901,1.003,2749,0.968,2408,0.848
500,0.2,8,4,0.2,0.2,1.0,4,5950,0.898,5986,0.903,4907,0.740
500,0.2,8,4,0.2,0.2,1.0,8,11848,1.065,11805,1.061,10552,0.948
500,0.2,8,4,0.2,0.2,1.0,16,22992,0.922,23102,0.926,17644,0.707
500,0.2,8,4,0.2,0.2,2.0,2,3372,1.187,3468,1.261,2688,0.947
500,0.2,8,4,0.2,0.2,2.0,4,6756,1.019,6917,1.106,6846,0.740
500,0.2,8,4,0.2,0.2,2.0,8,13755,1.035,13286,1.194,11863,1.066
500,0.2,8,4,0.2,0.2,2.0,16,26097,1.066,26534,1.180,20852,0.836
500,0.2,8,4,0.2,0.2,5.0,2,4577,1.612,4137,1.457,3671,1.293
500,0.2,8,4,0.2,0.2,5.0,4,9188,1.386,9474,1.429,7555,1.140
500,0.2,8,4,0.2,0.2,5.0,8,35101,3.001,17959,1.614,15212,1.266
500,0.2,8,4,0.2,0.2,5.0,16,37828,1.555,36324,1.456,28595,1.146
500,0.2,8,4,0.2,0.5,0.2,2,2818,1.022,2854,1.035,2312,0.838
500,0.2,8,4,0.2,0.5,0.2,4,5678,0.882,5691,0.884,4750,0.738
500,0.2,8,4,0.2,0.5,0.2,8,11140,1.031,10760,0.925,9325,0.863
500,0.2,8,4,0.2,0.5,0.2,16,21872,0.903,22062,0.911,17635,0.728
500,0.2,8,4,0.2,0.5,0.5,2,2968,1.076,3012,0.981,2416,0.876
500,0.2,8,4,0.2,0.5,0.5,4,6012,0.934,5910,0.918,4920,0.764
500,0.2,8,4,0.2,0.5,0.5,8,11622,1.076,11470,1.062,9337,0.864
500,0.2,8,4,0.2,0.5,0.5,16,22800,0.942,22871,0.945,18144,0.749
500,0.2,8,4,0.2,0.5,1.0,2,3138,1.138,3116,1.130,2545,0.923
500,0.2,8,4,0.2,0.5,1.0,4,6419,0.997,5884,0.914,5277,0.820
500,0.2,8,4,0.2,0.5,1.0,8,12441,1.152,12361,1.144,10506,0.972
500,0.2,8,4,0.2,0.5,1.0,16,24206,1.000,24623,1.017,19363,0.815
500,0.2,8,4,0.2,0.5,2.0,2,3619,1.313,3378,0.993,2836,1.029
500,0.2,8,4,0.2,0.5,2.0,4,7252,1.127,6481,1.007,5858,0.910
500,0.2,8,4,0.2,0.5,2.0,8,13971,1.293,12827,1.187,11529,1.067
500,0.2,8,4,0.2,0.5,2.0,16,27824,1.149,27962,1.155,22946,1.005
500,0.2,8,4,0.2,0.5,5.0,2,4888,1.773,4896,1.776,3642,1.321
500,0.2,8,4,0.2,0.5,5.0,4,9754,1.516,8234,1.279,8321,1.293
500,0.2,8,4,0.2,0.5,5.0,8,18532,1.471,15966,1.418,15629,1.246
500,0.2,8,4,0.2,0.5,5.0,16,39679,1.673,38267,1.580,29233,1.207
500,0.2,8,4,0.2,1.0,0.2,2,3393,1.303,3362,1.291,2763,1.061
500,0.2,8,4,0.2,1.0,0.2,4,6719,1.105,6713,1.104,5440,0.895
500,0.2,8,4,0.2,1.0,0.2,8,13295,1.303,13117,1.285,11807,1.157
500,0.2,8,4,0.2,1.0,0.2,16,26389,1.119,26216,1.146,23290,1.019
500,0.2,8,4,0.2,1.0,0.5,2,3534,1.357,3568,1.370,2876,1.104
500,0.2,8,4,0.2,1.0,0.5,4,7054,1.160,6989,1.149,5602,0.921
500,0.2,8,4,0.2,1.0,0.5,8,13344,1.166,13513,1.324,12242,1.199
500,0.2,8,4,0.2,1.0,0.5,16,27901,1.240,26970,1.179,21644,0.946
500,0.2,8,4,0.2,1.0,1.0,2,3737,1.435,3723,1.429,2997,1.151
500,0.2,8,4,0.2,1.0,1.0,4,7494,1.233,7458,1.227,5949,0.978
500,0.2,8,4,0.2,1.0,1.0,8,14620,1.432,14279,1.399,12822,1.256
500,0.2,8,4,0.2,1.0,1.0,16,28492,1.245,28730,1.256,22705,0.993
500,0.2,8,4,0.2,1.0,2.0,2,4215,1.618,3862,1.483,3459,1.149
500,0.2,8,4,0.2,1.0,2.0,4,8251,1.357,7608,1.251,6428,1.057
500,0.2,8,4,0.2,1.0,2.0,8,16260,1.593,15940,1.562,14395,1.410
500,0.2,8,4,0.2,1.0,2.0,16,31862,1.393,29417,1.286,25175,1.100
500,0.2,8,4,0.2,1.0,5.0,2,5494,2.110,4686,2.027,4244,1.630
500,0.2,8,4,0.2,1.0,5.0,4,10751,1.768,9497,1.680,8232,1.354
500,0.2,8,4,0.2,1.0,5.0,8,20939,2.051,18924,1.854,17752,1.739
500,0.2,8,4,0.2,1.0,5.0,16,42093,1.840,37360,1.599,31708,1.386
500,0.2,8,4,0.2,2.0,0.2,2,6479,2.763,6575,2.803,4437,1.892
500,0.2,8,4,0.2,2.0,0.2,4,12888,2.354,12668,2.314,8929,1.631
500,0.2,8,4,0.2,2.0,0.2,8,24769,2.695,24761,2.694,17317,1.663
500,0.2,8,4,0.2,2.0,0.2,16,49501,2.403,49863,2.519,33904,1.646
500,0.2,8,4,0.2,2.0,0.5,2,6624,2.824,6547,2.792,4529,1.784
500,0.2,8,4,0.2,2.0,0.5,4,13099,2.392,12488,2.447,9190,1.911
