podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
700,0.2,8,4,0.2,0.1,0.2,2,3603,1.121,3502,1.109,3180,1.110
700,0.2,8,4,0.2,0.1,0.2,4,7089,0.990,7168,1.001,5936,0.829
700,0.2,8,4,0.2,0.1,0.2,8,13674,1.032,13583,1.025,11268,0.851
700,0.2,8,4,0.2,0.1,0.2,16,27891,1.149,27845,1.147,25294,1.042
700,0.2,8,4,0.2,0.1,0.5,2,3786,1.014,3782,1.013,3704,0.992
700,0.2,8,4,0.2,0.1,0.5,4,7385,1.031,7498,1.047,7202,1.321
700,0.2,8,4,0.2,0.1,0.5,8,14265,1.077,14204,1.072,11715,0.884
700,0.2,8,4,0.2,0.1,0.5,16,29083,1.198,29081,1.198,26406,1.087
700,0.2,8,4,0.2,0.1,1.0,2,4059,1.303,4011,1.074,3974,1.064
700,0.2,8,4,0.2,0.1,1.0,4,7941,1.223,8077,1.128,6643,0.928
700,0.2,8,4,0.2,0.1,1.0,8,15341,1.158,15353,1.159,12759,0.963
700,0.2,8,4,0.2,0.1,1.0,16,30972,1.275,31203,1.285,28345,1.167
700,0.2,8,4,0.2,0.1,2.0,2,4554,1.219,4679,1.574,4511,1.208
700,0.2,8,4,0.2,0.1,2.0,4,9082,1.268,8978,1.286,7438,1.039
700,0.2,8,4,0.2,0.1,2.0,8,17678,1.334,17331,1.308,14262,1.077
700,0.2,8,4,0.2,0.1,2.0,16,35362,1.456,35370,1.457,32011,1.318
700,0.2,8,4,0.2,0.1,5.0,2,6149,1.647,6206,1.662,5044,1.865
700,0.2,8,4,0.2,0.1,5.0,4,12245,1.710,12475,1.743,12185,1.881
700,0.2,8,4,0.2,0.1,5.0,8,24324,1.836,23948,1.808,22546,1.818
700,0.2,8,4,0.2,0.1,5.0,16,47999,1.977,48108,1.981,42838,1.764
700,0.2,8,4,0.2,0.2,0.2,2,3649,0.995,3742,1.021,3382,0.922
700,0.2,8,4,0.2,0.2,0.2,4,7285,1.036,7339,1.044,6161,0.876
