podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
500,0.2,6,4,0.2,0.1,0.2,2,6155,2.981,6136,2.611,5577,2.373
500,0.2,6,4,0.2,0.1,0.2,4,11976,2.386,12174,2.499,11030,2.224
500,0.2,6,4,0.2,0.1,0.2,8,23434,2.596,23639,2.560,21679,2.347
500,0.2,6,4,0.2,0.1,0.2,16,46578,2.471,46644,2.474,42735,2.267
500,0.2,6,4,0.2,0.1,0.5,2,6364,2.708,6525,2.431,5674,2.415
500,0.2,6,4,0.2,0.1,0.5,4,12676,2.406,12658,2.403,11324,2.611
500,0.2,6,4,0.2,0.1,0.5,8,24888,2.695,24381,2.662,22239,2.408
500,0.2,6,4,0.2,0.1,0.5,16,49219,2.611,49451,2.623,43673,2.317
500,0.2,6,4,0.2,0.1,1.0,2,6896,2.935,6903,2.938,5986,2.548
500,0.2,6,4,0.2,0.1,1.0,4,13809,2.622,13806,2.621,11598,2.202
500,0.2,6,4,0.2,0.1,1.0,8,27055,2.930,26369,2.745,23394,2.533
500,0.2,6,4,0.2,0.1,1.0,16,53732,2.851,54048,2.867,45722,2.584
500,0.2,6,4,0.2,0.1,2.0,2,7960,3.387,7986,3.399,6617,2.816
500,0.2,6,4,0.2,0.1,2.0,4,15856,3.291,16142,3.065,12914,2.823
500,0.2,6,4,0.2,0.1,2.0,8,31491,3.410,31815,3.445,25837,2.798
500,0.2,6,4,0.2,0.1,2.0,16,61774,3.130,63270,3.357,50793,2.695
500,0.2,6,4,0.2,0.1,5.0,2,11151,4.746,11225,4.777,8608,3.663
500,0.2,6,4,0.2,0.1,5.0,4,22876,4.343,22989,4.611,16543,3.141
500,0.2,6,4,0.2,0.1,5.0,8,44763,4.495,45262,4.901,33798,3.660
500,0.2,6,4,0.2,0.1,5.0,16,87219,4.627,91011,4.828,65884,3.495
500,0.2,6,4,0.2,0.2,0.2,2,6408,2.593,6279,2.551,5666,2.456
500,0.2,6,4,0.2,0.2,0.2,4,12224,2.804,12072,2.334,11082,2.143
500,0.2,6,4,0.2,0.2,0.2,8,23935,2.640,23845,2.630,21965,2.422
500,0.2,6,4,0.2,0.2,0.2,16,46795,2.473,46861,2.532,43428,2.346
500,0.2,6,4,0.2,0.2,0.5,2,6566,2.946,6552,2.840,5814,2.520
500,0.2,6,4,0.2,0.2,0.5,4,12717,2.626,12782,2.924,11407,2.205
500,0.2,6,4,0.2,0.2,0.5,8,25283,2.788,25119,2.770,22761,2.510
500,0.2,6,4,0.2,0.2,0.5,16,49809,2.691,49600,2.680,44046,2.407
500,0.2,6,4,0.2,0.2,1.0,2,7073,3.065,7119,3.085,6082,2.636
500,0.2,6,4,0.2,0.2,1.0,4,13837,2.675,13874,2.682,12314,2.973
500,0.2,6,4,0.2,0.2,1.0,8,27468,3.029,27401,3.022,23936,2.640
500,0.2,6,4,0.2,0.2,1.0,16,54355,2.937,54474,2.943,46783,2.528
500,0.2,6,4,0.2,0.2,2.0,2,8147,3.531,8160,3.730,6733,2.918
500,0.2,6,4,0.2,0.2,2.0,4,15922,3.078,16142,3.121,13116,2.536
500,0.2,6,4,0.2,0.2,2.0,8,31830,3.510,31909,3.519,26449,2.917
500,0.2,6,4,0.2,0.2,2.0,16,63262,3.382,63999,3.458,51400,2.873
500,0.2,6,4,0.2,0.2,5.0,2,11369,4.927,11749,5.092,8727,3.782
500,0.2,6,4,0.2,0.2,5.0,4,22565,4.363,22819,4.412,17332,3.764
500,0.2,6,4,0.2,0.2,5.0,8,45390,5.005,45965,5.069,34349,3.788
500,0.2,6,4,0.2,0.2,5.0,16,90916,4.863,92660,5.006,66697,3.603
500,0.2,6,4,0.2,0.5,0.2,2,6860,2.706,6440,2.875,5968,2.665
500,0.2,6,4,0.2,0.5,0.2,4,12641,2.837,12508,2.491,11569,2.304
500,0.2,6,4,0.2,0.5,0.2,8,24539,2.788,24380,2.633,22615,2.569
500,0.2,6,4,0.2,0.5,0.2,16,48340,2.677,48259,2.686,44325,2.467
500,0.2,6,4,0.2,0.5,0.5,2,6864,3.064,6770,3.022,6116,2.731
500,0.2,6,4,0.2,0.5,0.5,4,13425,2.674,13178,2.625,11863,2.363
500,0.2,6,4,0.2,0.5,0.5,8,25694,2.535,25495,2.896,23390,2.564
500,0.2,6,4,0.2,0.5,0.5,16,51029,2.840,50896,2.833,45791,2.549
500,0.2,6,4,0.2,0.5,1.0,2,7402,3.305,7326,3.271,6423,2.868
500,0.2,6,4,0.2,0.5,1.0,4,14541,2.896,14285,3.321,12588,2.507
500,0.2,6,4,0.2,0.5,1.0,8,28042,3.186,27687,3.145,24609,2.796
500,0.2,6,4,0.2,0.5,1.0,16,55282,3.077,55555,3.092,48312,2.689
500,0.2,6,4,0.2,0.5,2.0,2,8426,3.762,8481,3.786,7076,3.159
500,0.2,6,4,0.2,0.5,2.0,4,16416,3.283,16575,3.301,13929,3.157
500,0.2,6,4,0.2,0.5,2.0,8,31977,3.442,32403,3.681,27227,3.093
500,0.2,6,4,0.2,0.5,2.0,16,63617,3.541,64697,3.601,53331,2.968
500,0.2,6,4,0.2,0.5,5.0,2,11617,5.187,11940,5.331,9026,4.030
500,0.2,6,4,0.2,0.5,5.0,4,23509,4.682,23286,4.638,18229,4.100
500,0.2,6,4,0.2,0.5,5.0,8,45162,5.130,46582,5.292,34477,4.029
500,0.2,6,4,0.2,0.5,5.0,16,89344,4.886,90054,4.909,68634,3.820
500,0.2,6,4,0.2,1.0,0.2,2,7676,3.627,7381,3.488,7328,3.463
500,0.2,6,4,0.2,1.0,0.2,4,14730,3.105,14299,3.014,14203,2.994
500,0.2,6,4,0.2,1.0,0.2,8,28542,3.432,27459,3.025,27810,3.344
500,0.2,6,4,0.2,1.0,0.2,16,55993,3.299,54463,3.208,54624,3.218
