podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
700,0.2,6,4,0.2,0.1,0.2,2,8727,3.669,8481,3.428,8125,3.011
700,0.2,6,4,0.2,0.1,0.2,4,16384,3.707,16387,3.708,14903,3.372
700,0.2,6,4,0.2,0.1,0.2,8,32024,3.532,31971,3.526,29174,3.218
700,0.2,6,4,0.2,0.1,0.2,16,63586,3.359,63404,3.349,58174,3.073
700,0.2,6,4,0.2,0.1,0.5,2,9228,3.866,9177,3.845,8266,3.463
700,0.2,6,4,0.2,0.1,0.5,4,17265,3.907,17077,3.403,15143,3.426
700,0.2,6,4,0.2,0.1,0.5,8,33584,3.704,33561,3.702,30036,3.313
700,0.2,6,4,0.2,0.1,0.5,16,66908,3.534,66709,3.688,59955,3.167
700,0.2,6,4,0.2,0.1,1.0,2,9885,5.033,9919,4.155,8792,3.683
700,0.2,6,4,0.2,0.1,1.0,4,18852,4.266,18832,4.261,16001,3.621
700,0.2,6,4,0.2,0.1,1.0,8,36372,4.012,36411,4.016,31684,3.495
700,0.2,6,4,0.2,0.1,1.0,16,59599,3.285,73211,3.803,63001,3.328
700,0.2,6,4,0.2,0.1,2.0,2,11677,3.030,11281,4.726,9516,3.986
700,0.2,6,4,0.2,0.1,2.0,4,21832,4.940,21927,4.961,17560,3.973
700,0.2,6,4,0.2,0.1,2.0,8,41683,4.597,41973,4.629,35721,3.958
700,0.2,6,4,0.2,0.1,2.0,16,84250,4.451,83815,4.482,70549,3.727
700,0.2,6,4,0.2,0.1,5.0,2,15474,6.446,15571,6.523,11879,5.813
700,0.2,6,4,0.2,0.1,5.0,4,30496,6.900,29838,6.352,24681,3.286
700,0.2,6,4,0.2,0.1,5.0,8,58162,6.415,61432,7.069,46117,5.086
700,0.2,6,4,0.2,0.1,5.0,16,118992,6.286,119428,6.309,89581,4.834
700,0.2,6,4,0.2,0.2,0.2,2,8947,3.817,8844,3.773,8309,3.545
700,0.2,6,4,0.2,0.2,0.2,4,16633,3.833,16447,3.790,15146,3.490
700,0.2,6,4,0.2,0.2,0.2,8,32392,3.638,32014,3.596,29639,3.329
700,0.2,6,4,0.2,0.2,0.2,16,64223,3.455,64170,3.600,59273,3.189
700,0.2,6,4,0.2,0.2,0.5,2,9388,4.005,9166,4.189,8441,3.601
700,0.2,6,4,0.2,0.2,0.5,4,17491,4.031,17328,3.993,15511,3.574
700,0.2,6,4,0.2,0.2,0.5,8,34023,3.822,33683,3.783,30749,3.454
700,0.2,6,4,0.2,0.2,0.5,16,67747,3.645,67518,3.632,60748,3.268
700,0.2,6,4,0.2,0.2,1.0,2,10052,4.289,9963,4.250,8896,3.795
700,0.2,6,4,0.2,0.2,1.0,4,19016,4.382,18954,4.368,16295,3.755
700,0.2,6,4,0.2,0.2,1.0,8,36884,4.143,36527,4.103,32148,3.611
700,0.2,6,4,0.2,0.2,1.0,16,73484,3.953,72933,3.848,64138,3.450
700,0.2,6,4,0.2,0.2,2.0,2,11494,4.904,11247,4.798,9645,4.115
700,0.2,6,4,0.2,0.2,2.0,4,21915,5.050,21830,5.030,17926,4.131
700,0.2,6,4,0.2,0.2,2.0,8,42013,4.719,41979,4.715,35558,3.994
700,0.2,6,4,0.2,0.2,2.0,16,85114,4.579,84507,4.546,71283,3.835
700,0.2,6,4,0.2,0.2,5.0,2,15747,6.718,15543,6.631,12278,4.749
700,0.2,6,4,0.2,0.2,5.0,4,30595,7.050,30889,7.118,23019,5.304
700,0.2,6,4,0.2,0.2,5.0,8,58723,6.596,58484,6.569,48619,3.894
700,0.2,6,4,0.2,0.2,5.0,16,119269,6.416,120257,6.470,94538,3.417
700,0.2,6,4,0.2,0.5,0.2,2,9366,4.116,9252,4.066,8738,3.840
700,0.2,6,4,0.2,0.5,0.2,4,17277,4.101,17003,4.036,15879,3.769
700,0.2,6,4,0.2,0.5,0.2,8,33480,3.874,33428,2.562,30515,3.531
700,0.2,6,4,0.2,0.5,0.2,16,66111,3.664,65428,3.626,60650,3.361
700,0.2,6,4,0.2,0.5,0.5,2,9788,4.302,9690,4.390,8944,3.931
700,0.2,6,4,0.2,0.5,0.5,4,18098,4.296,17923,4.255,16338,3.878
700,0.2,6,4,0.2,0.5,0.5,8,35966,4.035,34889,4.037,31477,3.642
700,0.2,6,4,0.2,0.5,0.5,16,69353,3.766,70187,3.972,62917,3.546
700,0.2,6,4,0.2,0.5,1.0,2,10497,4.613,10373,4.559,9309,4.091
700,0.2,6,4,0.2,0.5,1.0,4,19565,4.644,19327,4.235,16945,4.023
700,0.2,6,4,0.2,0.5,1.0,8,38050,4.403,37910,4.387,33513,4.100
700,0.2,6,4,0.2,0.5,1.0,16,75599,4.190,74947,4.154,65890,3.652
700,0.2,6,4,0.2,0.5,2.0,2,11843,5.205,11944,5.249,10102,4.440
700,0.2,6,4,0.2,0.5,2.0,4,22253,5.282,22162,5.261,18555,4.405
700,0.2,6,4,0.2,0.5,2.0,8,43659,5.052,43890,4.665,36691,4.246
700,0.2,6,4,0.2,0.5,2.0,16,87155,4.830,88291,4.893,72801,4.035
700,0.2,6,4,0.2,0.5,5.0,2,16035,7.047,16388,7.202,13370,4.834
700,0.2,6,4,0.2,0.5,5.0,4,31846,8.817,31128,7.389,23459,5.569
700,0.2,6,4,0.2,0.5,5.0,8,64479,4.947,61389,7.103,46490,5.379
700,0.2,6,4,0.2,0.5,5.0,16,121248,6.719,125119,6.934,94073,5.213
700,0.2,6,4,0.2,1.0,0.2,2,11009,5.121,10729,4.991,10572,4.918
700,0.2,6,4,0.2,1.0,0.2,4,18767,5.074,19368,4.867,19357,4.864
700,0.2,6,4,0.2,1.0,0.2,8,38788,4.751,37759,4.625,37797,4.629
700,0.2,6,4,0.2,1.0,0.2,16,76597,4.493,73956,4.338,74645,4.379
700,0.2,6,4,0.2,1.0,0.5,2,11358,6.446,11089,5.158,10781,5.015
700,0.2,6,4,0.2,1.0,0.5,4,20866,5.243,20193,5.074,19672,4.943
700,0.2,6,4,0.2,1.0,0.5,8,40515,4.962,39494,4.837,38225,4.682
700,0.2,6,4,0.2,1.0,0.5,16,80269,4.834,78039,4.578,76516,4.369
700,0.2,6,4,0.2,1.0,1.0,2,12103,5.630,11905,5.538,11108,5.167
700,0.2,6,4,0.2,1.0,1.0,4,22303,5.604,21669,5.445,20305,5.102
700,0.2,6,4,0.2,1.0,1.0,8,43294,5.303,42388,5.192,39780,4.872
700,0.2,6,4,0.2,1.0,1.0,16,86138,5.053,83586,4.903,79122,4.641
700,0.2,6,4,0.2,1.0,2.0,2,13723,6.339,13190,6.136,11931,5.550
700,0.2,6,4,0.2,1.0,2.0,4,25173,6.325,24505,6.157,21992,5.526
700,0.2,6,4,0.2,1.0,2.0,8,49034,6.006,48178,5.901,43276,5.300
700,0.2,6,4,0.2,1.0,2.0,16,97791,5.737,95026,5.574,86834,5.094
700,0.2,6,4,0.2,1.0,5.0,2,18592,8.491,17607,8.191,14802,6.886
700,0.2,6,4,0.2,1.0,5.0,4,33710,8.470,33702,8.468,27525,6.916
700,0.2,6,4,0.2,1.0,5.0,8,65492,8.021,64887,7.947,54843,6.717
700,0.2,6,4,0.2,1.0,5.0,16,132274,7.759,131068,7.689,112354,7.012
700,0.2,6,4,0.2,2.0,0.2,2,18204,9.404,18897,9.763,13589,7.020
700,0.2,6,4,0.2,2.0,0.2,4,33244,9.276,34232,9.552,24809,6.923
700,0.2,6,4,0.2,2.0,0.2,8,63048,8.576,65392,8.894,47948,6.522
700,0.2,6,4,0.2,2.0,0.2,16,125681,8.901,131054,8.445,95184,6.226
700,0.2,6,4,0.2,2.0,0.5,2,18791,9.708,19221,9.929,14223,7.348
700,0.2,6,4,0.2,2.0,0.5,4,34509,6.122,34971,9.758,25981,7.250
700,0.2,6,4,0.2,2.0,0.5,8,64896,8.827,66701,9.072,50087,6.813
700,0.2,6,4,0.2,2.0,0.5,16,128642,8.380,131636,8.575,99461,6.479
700,0.2,6,4,0.2,2.0,1.0,2,19401,10.023,19876,10.268,15138,7.820
700,0.2,6,4,0.2,2.0,1.0,4,35783,9.985,36180,10.096,27800,7.757
700,0.2,6,4,0.2,2.0,1.0,8,67877,9.232,69484,9.451,54478,7.783
700,0.2,6,4,0.2,2.0,1.0,16,135105,8.801,136309,9.078,106627,6.946
700,0.2,6,4,0.2,2.0,2.0,2,20945,10.820,21274,10.990,16818,8.688
700,0.2,6,4,0.2,2.0,2.0,4,38909,10.857,39604,11.051,30970,8.642
700,0.2,6,4,0.2,2.0,2.0,8,73780,10.035,74829,10.178,61876,8.399
700,0.2,6,4,0.2,2.0,2.0,16,147185,9.588,148025,9.643,118466,7.717
700,0.2,6,4,0.2,2.0,5.0,2,25413,13.129,25123,12.979,20867,10.780
700,0.2,6,4,0.2,2.0,5.0,4,49537,14.547,47763,13.328,39682,10.060
700,0.2,6,4,0.2,2.0,5.0,8,93628,11.853,90782,12.348,74689,10.159
700,0.2,6,4,0.2,2.0,5.0,16,184099,11.993,182603,11.896,150171,9.783
700,0.2,6,4,0.5,0.1,0.2,2,12983,5.439,12937,3.912,10119,4.239
700,0.2,6,4,0.5,0.1,0.2,4,24674,4.946,24595,5.565,18900,4.276
700,0.2,6,4,0.5,0.1,0.2,8,48519,5.351,48278,5.325,37006,4.082
700,0.2,6,4,0.5,0.1,0.2,16,96487,5.097,95749,5.058,73674,3.892
