podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
900,0.2,8,4,0.2,0.1,0.2,2,3949,1.183,4667,1.473,3920,1.237
900,0.2,8,4,0.2,0.1,0.2,4,9093,1.628,9101,1.630,7575,1.356
900,0.2,8,4,0.2,0.1,0.2,8,17747,1.493,17742,1.492,15071,1.264
900,0.2,8,4,0.2,0.1,0.2,16,35640,1.436,34926,1.407,28278,1.139
900,0.2,8,4,0.2,0.1,0.5,2,4915,1.552,4881,1.541,4081,1.288
900,0.2,8,4,0.2,0.1,0.5,4,9519,1.705,9529,1.706,7908,1.416
900,0.2,8,4,0.2,0.1,0.5,8,18808,1.582,18667,1.570,16973,1.373
900,0.2,8,4,0.2,0.1,0.5,16,37682,1.518,37559,1.513,29666,1.195
900,0.2,8,4,0.2,0.1,1.0,2,5301,1.673,5277,1.666,4403,1.390
900,0.2,8,4,0.2,0.1,1.0,4,10358,1.855,10318,1.848,8604,1.372
900,0.2,8,4,0.2,0.1,1.0,8,20506,1.725,20415,1.717,20113,1.692
900,0.2,8,4,0.2,0.1,1.0,16,41002,1.652,39249,1.494,31759,1.280
900,0.2,8,4,0.2,0.1,2.0,2,6115,1.930,6025,1.902,5051,1.595
900,0.2,8,4,0.2,0.1,2.0,4,11991,2.147,12005,2.150,9702,1.737
900,0.2,8,4,0.2,0.1,2.0,8,23450,1.972,23633,1.988,21025,1.757
900,0.2,8,4,0.2,0.1,2.0,16,46929,1.912,47138,1.899,36776,1.384
900,0.2,8,4,0.2,0.1,5.0,2,8488,2.679,8375,2.644,6935,2.189
900,0.2,8,4,0.2,0.1,5.0,4,16992,3.043,16845,3.016,13100,2.346
900,0.2,8,4,0.2,0.1,5.0,8,33574,2.824,32864,2.824,32671,2.748
900,0.2,8,4,0.2,0.1,5.0,16,66913,2.678,65438,2.637,51398,2.071
900,0.2,8,4,0.2,0.2,0.2,2,4759,1.530,4737,1.523,4004,1.287
900,0.2,8,4,0.2,0.2,0.2,4,9347,1.705,9145,1.668,7863,1.434
900,0.2,8,4,0.2,0.2,0.2,8,18342,1.571,18245,1.563,15479,1.399
900,0.2,8,4,0.2,0.2,0.2,16,36597,1.473,36516,1.498,29453,1.209
900,0.2,8,4,0.2,0.2,0.5,2,5021,1.614,5003,1.725,4182,1.344
900,0.2,8,4,0.2,0.2,0.5,4,9783,1.784,8878,1.439,8174,1.491
900,0.2,8,4,0.2,0.2,0.5,8,18783,1.561,19235,1.648,17567,1.505
900,0.2,8,4,0.2,0.2,0.5,16,38733,1.589,38404,1.576,30611,1.256
900,0.2,8,4,0.2,0.2,1.0,2,5432,1.746,5377,1.729,4482,1.441
900,0.2,8,4,0.2,0.2,1.0,4,10632,1.939,10346,1.887,8814,1.607
900,0.2,8,4,0.2,0.2,1.0,8,20804,1.782,20835,1.785,19048,1.632
900,0.2,8,4,0.2,0.2,1.0,16,42108,1.728,40968,1.681,32519,1.395
900,0.2,8,4,0.2,0.2,2.0,2,6215,1.998,6196,1.992,5085,1.635
900,0.2,8,4,0.2,0.2,2.0,4,12069,2.201,10820,1.973,9949,1.814
900,0.2,8,4,0.2,0.2,2.0,8,24188,2.072,23952,2.052,21869,1.873
900,0.2,8,4,0.2,0.2,2.0,16,48074,1.979,49378,1.954,36892,1.514
900,0.2,8,4,0.2,0.2,5.0,2,8717,2.802,8663,2.785,7077,2.275
900,0.2,8,4,0.2,0.2,5.0,4,16677,3.041,17132,1.852,15413,2.633
900,0.2,8,4,0.2,0.2,5.0,8,33549,2.874,31600,2.512,29783,2.551
900,0.2,8,4,0.2,0.2,5.0,16,67903,2.786,65720,2.697,53034,2.176
900,0.2,8,4,0.2,0.5,0.2,2,5155,2.258,5106,1.559,4318,1.430
900,0.2,8,4,0.2,0.5,0.2,4,10103,1.898,10010,1.881,10119,1.612
900,0.2,8,4,0.2,0.5,0.2,8,19765,1.744,19658,1.735,16638,1.468
900,0.2,8,4,0.2,0.5,0.2,16,39472,1.652,39063,1.651,31721,1.341
900,0.2,8,4,0.2,0.5,0.5,2,5390,1.785,5392,1.786,4482,1.484
900,0.2,8,4,0.2,0.5,0.5,4,10498,1.972,10494,1.972,8428,1.583
900,0.2,8,4,0.2,0.5,0.5,8,20684,1.825,20606,1.818,17431,1.538
900,0.2,8,4,0.2,0.5,0.5,16,41284,1.745,40932,1.730,33227,1.405
900,0.2,8,4,0.2,0.5,1.0,2,5827,1.930,5774,1.912,5672,2.093
900,0.2,8,4,0.2,0.5,1.0,4,11274,2.118,11251,2.114,9374,1.660
900,0.2,8,4,0.2,0.5,1.0,8,22356,1.973,22119,1.952,18637,1.645
900,0.2,8,4,0.2,0.5,1.0,16,44023,1.893,40370,1.706,34908,1.476
900,0.2,8,4,0.2,0.5,2.0,2,6583,2.180,6569,2.176,5377,1.729
900,0.2,8,4,0.2,0.5,2.0,4,12989,2.440,11710,2.200,10195,1.915
900,0.2,8,4,0.2,0.5,2.0,8,25759,2.273,25446,2.245,21392,1.888
900,0.2,8,4,0.2,0.5,2.0,16,50436,2.132,48878,2.059,40862,1.727
900,0.2,8,4,0.2,0.5,5.0,2,9027,2.990,8934,2.959,6999,3.032
900,0.2,8,4,0.2,0.5,5.0,4,17794,3.343,15502,2.912,13627,2.560
900,0.2,8,4,0.2,0.5,5.0,8,35816,3.160,35257,3.111,29206,2.577
900,0.2,8,4,0.2,0.5,5.0,16,69688,2.946,60890,2.574,54025,2.284
900,0.2,8,4,0.2,1.0,0.2,2,6176,2.165,6170,2.163,4973,1.743
900,0.2,8,4,0.2,1.0,0.2,4,11959,2.378,11997,2.386,9914,1.971
900,0.2,8,4,0.2,1.0,0.2,8,23489,2.194,23438,2.210,21004,1.962
900,0.2,8,4,0.2,1.0,0.2,16,46523,2.082,46218,2.068,37680,1.592
900,0.2,8,4,0.2,1.0,0.5,2,6411,2.248,6398,2.243,5153,1.806
900,0.2,8,4,0.2,1.0,0.5,4,12415,2.235,12456,2.477,10352,2.059
900,0.2,8,4,0.2,1.0,0.5,8,24446,2.283,24016,2.243,21784,2.035
900,0.2,8,4,0.2,1.0,0.5,16,49120,2.198,48380,2.152,39510,1.768
900,0.2,8,4,0.2,1.0,1.0,2,6797,2.383,6805,2.386,5472,1.918
900,0.2,8,4,0.2,1.0,1.0,4,13299,2.557,13237,2.632,10902,2.168
900,0.2,8,4,0.2,1.0,1.0,8,25984,2.427,25622,2.440,23618,1.916
900,0.2,8,4,0.2,1.0,1.0,16,52050,2.329,48373,2.164,41359,1.851
900,0.2,8,4,0.2,1.0,2.0,2,7638,2.677,7611,2.668,6055,2.123
900,0.2,8,4,0.2,1.0,2.0,4,14875,2.958,13660,2.233,12057,2.398
900,0.2,8,4,0.2,1.0,2.0,8,29179,2.725,29109,2.719,25959,2.425
900,0.2,8,4,0.2,1.0,2.0,16,58817,2.718,57917,2.724,46592,2.085
900,0.2,8,4,0.2,1.0,5.0,2,10018,3.512,9822,3.443,7860,2.755
900,0.2,8,4,0.2,1.0,5.0,4,19821,3.941,17482,3.476,15618,3.106
900,0.2,8,4,0.2,1.0,5.0,8,38427,3.589,34423,2.927,34318,3.205
900,0.2,8,4,0.2,1.0,5.0,16,76784,3.436,68622,3.070,58400,2.613
900,0.2,8,4,0.2,2.0,0.2,2,11900,4.633,11929,4.644,8048,3.133
900,0.2,8,4,0.2,2.0,0.2,4,22842,5.044,22956,5.069,15735,3.475
900,0.2,8,4,0.2,2.0,0.2,8,44356,4.601,44836,4.651,35130,3.644
900,0.2,8,4,0.2,2.0,0.2,16,90271,4.485,90929,4.397,61382,3.050
900,0.2,8,4,0.2,2.0,0.5,2,12126,4.721,13548,6.653,8503,2.991
900,0.2,8,4,0.2,2.0,0.5,4,23440,5.176,23464,5.182,16237,3.586
900,0.2,8,4,0.2,2.0,0.5,8,45293,4.698,37449,3.884,36099,3.744
900,0.2,8,4,0.2,2.0,0.5,16,91956,4.569,91352,4.539,62726,3.184
900,0.2,8,4,0.2,2.0,1.0,2,12527,4.877,12568,4.893,8788,3.421
900,0.2,8,4,0.2,2.0,1.0,4,24160,5.335,24506,5.412,19266,4.322
900,0.2,8,4,0.2,2.0,1.0,8,46981,4.873,47748,4.737,37603,3.900
900,0.2,8,4,0.2,2.0,1.0,16,94681,4.705,93765,4.659,66661,3.312
900,0.2,8,4,0.2,2.0,2.0,2,13317,5.185,13332,5.190,9478,3.690
900,0.2,8,4,0.2,2.0,2.0,4,25602,5.654,21267,4.697,18486,4.082
900,0.2,8,4,0.2,2.0,2.0,8,49901,5.176,37221,3.861,40584,4.209
900,0.2,8,4,0.2,2.0,2.0,16,100632,5.000,97007,4.820,72076,3.581
900,0.2,8,4,0.2,2.0,5.0,2,13659,5.268,15751,6.132,11685,4.549
900,0.2,8,4,0.2,2.0,5.0,4,30458,6.726,25255,5.577,23015,5.083
900,0.2,8,4,0.2,2.0,5.0,8,59649,6.187,56593,5.870,49811,5.167
900,0.2,8,4,0.2,2.0,5.0,16,119381,5.932,118452,5.886,89581,4.451
900,0.2,8,4,0.5,0.1,0.2,2,6877,2.171,6838,2.159,4659,1.471
900,0.2,8,4,0.5,0.1,0.2,4,13513,2.420,13557,2.428,9094,1.629
900,0.2,8,4,0.5,0.1,0.2,8,26947,2.266,26633,2.240,19785,1.617
900,0.2,8,4,0.5,0.1,0.2,16,53821,2.074,52857,2.129,35681,1.438
900,0.2,8,4,0.5,0.1,0.5,2,7471,2.359,7462,2.356,5076,1.602
900,0.2,8,4,0.5,0.1,0.5,4,14754,2.642,14600,2.614,9819,1.758
900,0.2,8,4,0.5,0.1,0.5,8,29280,2.463,29060,2.444,21500,1.808
900,0.2,8,4,0.5,0.1,0.5,16,58591,2.361,58048,2.339,38381,1.546
900,0.2,8,4,0.5,0.1,1.0,2,8466,2.673,8441,2.665,5670,1.790
900,0.2,8,4,0.5,0.1,1.0,4,16727,2.995,16863,3.020,11662,2.115
900,0.2,8,4,0.5,0.1,1.0,8,33415,2.811,33192,2.772,24464,2.058
900,0.2,8,4,0.5,0.1,1.0,16,66552,2.682,65914,2.656,44831,1.687
900,0.2,8,4,0.5,0.1,2.0,2,10414,3.288,10495,3.446,7457,2.354
900,0.2,8,4,0.5,0.1,2.0,4,21013,3.763,20814,3.727,14271,1.974
900,0.2,8,4,0.5,0.1,2.0,8,41938,3.527,41299,3.474,31421,2.643
900,0.2,8,4,0.5,0.1,2.0,16,82482,3.323,81414,3.280,55748,2.246
900,0.2,8,4,0.5,0.1,5.0,2,16362,5.165,16274,5.137,11602,3.663
900,0.2,8,4,0.5,0.1,5.0,4,33111,5.929,30964,4.943,24231,4.339
900,0.2,8,4,0.5,0.1,5.0,8,65944,5.546,66089,5.559,48490,4.078
900,0.2,8,4,0.5,0.1,5.0,16,131465,5.297,128769,5.188,88507,3.566
900,0.2,8,4,0.5,0.2,0.2,2,6937,2.230,6952,2.235,4796,1.542
900,0.2,8,4,0.5,0.2,0.2,4,13832,2.523,13576,2.476,9372,1.709
900,0.2,8,4,0.5,0.2,0.2,8,27417,2.348,27047,2.317,19686,1.686
900,0.2,8,4,0.5,0.2,0.2,16,54876,2.252,54340,2.230,36564,1.500
900,0.2,8,4,0.5,0.2,0.5,2,7592,2.441,7472,2.402,5223,1.679
