podCount,alpha,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,IPPTS,IPPTSSLR,HWS,HWSSLR
900,0.2,4,4,0.2,0.1,0.2,2,14557,9.268,14581,8.877,13432,5.735
900,0.2,4,4,0.2,0.1,0.2,4,27331,6.042,27267,6.028,24900,5.504
900,0.2,4,4,0.2,0.1,0.2,8,52616,5.782,52377,8.240,47609,5.231
900,0.2,4,4,0.2,0.1,0.2,16,102454,5.593,102826,5.613,92209,5.034
900,0.2,4,4,0.2,0.1,0.5,2,15461,6.601,15529,6.630,13882,5.927
900,0.2,4,4,0.2,0.1,0.5,4,29017,6.415,28908,6.390,25887,5.723
900,0.2,4,4,0.2,0.1,0.5,8,56129,6.168,56072,6.161,49849,5.478
900,0.2,4,4,0.2,0.1,0.5,16,109459,5.975,110453,6.030,96392,5.262
900,0.2,4,4,0.2,0.1,1.0,2,16915,7.222,17079,7.292,14764,6.303
900,0.2,4,4,0.2,0.1,1.0,4,31745,7.018,31598,6.985,27554,6.091
900,0.2,4,4,0.2,0.1,1.0,8,62037,6.817,62264,6.842,53292,5.856
900,0.2,4,4,0.2,0.1,1.0,16,121967,6.606,122680,9.616,103343,5.642
900,0.2,4,4,0.2,0.1,2.0,2,19829,8.466,20093,8.579,16504,7.046
900,0.2,4,4,0.2,0.1,2.0,4,37366,8.260,38144,11.456,30834,6.816
900,0.2,4,4,0.2,0.1,2.0,8,73747,8.104,73894,12.067,59751,6.566
900,0.2,4,4,0.2,0.1,2.0,16,144593,7.893,143184,11.630,119229,10.301
900,0.2,4,4,0.2,0.1,5.0,2,28491,12.164,29004,12.383,21397,9.135
900,0.2,4,4,0.2,0.1,5.0,4,54023,11.942,53928,11.922,40061,8.856
900,0.2,4,4,0.2,0.1,5.0,8,108893,11.966,110968,12.194,79796,8.497
900,0.2,4,4,0.2,0.1,5.0,16,216009,11.792,220054,12.013,152691,8.335
900,0.2,4,4,0.2,0.2,0.2,2,15356,10.377,14994,6.519,13967,8.186
900,0.2,4,4,0.2,0.2,0.2,4,28536,6.425,28215,6.352,25661,5.777
900,0.2,4,4,0.2,0.2,0.2,8,54950,6.149,54659,6.117,48949,5.478
900,0.2,4,4,0.2,0.2,0.2,16,106841,5.940,106006,5.893,95838,8.082
900,0.2,4,4,0.2,0.2,0.5,2,16094,6.998,15885,6.907,14242,6.193
900,0.2,4,4,0.2,0.2,0.5,4,30265,6.814,29935,6.739,26652,6.000
900,0.2,4,4,0.2,0.2,0.5,8,58465,6.543,58417,6.537,50988,5.706
900,0.2,4,4,0.2,0.2,0.5,16,113688,6.321,113284,6.298,98876,5.497
900,0.2,4,4,0.2,0.2,1.0,2,17545,7.629,17438,7.582,15077,6.556
900,0.2,4,4,0.2,0.2,1.0,4,33175,7.469,32982,6.920,28214,6.352
900,0.2,4,4,0.2,0.2,1.0,8,63983,7.160,64921,7.265,54290,6.075
900,0.2,4,4,0.2,0.2,1.0,16,125009,6.950,125903,7.000,105891,5.864
900,0.2,4,4,0.2,0.2,2.0,2,20510,8.918,20554,8.937,17033,10.205
900,0.2,4,4,0.2,0.2,2.0,4,38949,8.769,39121,13.258,31360,10.947
900,0.2,4,4,0.2,0.2,2.0,8,75601,8.460,77306,8.651,60628,6.785
900,0.2,4,4,0.2,0.2,2.0,16,150785,8.011,150237,12.005,117348,9.452
900,0.2,4,4,0.2,0.2,5.0,2,29225,12.707,29822,12.967,21346,9.281
900,0.2,4,4,0.2,0.2,5.0,4,56267,12.668,57679,12.985,40220,9.055
900,0.2,4,4,0.2,0.2,5.0,8,110721,12.390,114264,20.550,79504,8.897
900,0.2,4,4,0.2,0.2,5.0,16,216444,12.033,224882,12.502,152866,8.499
900,0.2,4,4,0.2,0.5,0.2,2,16287,12.775,16065,10.452,14292,6.402
900,0.2,4,4,0.2,0.5,0.2,4,30683,6.449,30162,6.995,26502,6.146
900,0.2,4,4,0.2,0.5,0.2,8,58792,6.778,57639,6.644,50342,5.803
900,0.2,4,4,0.2,0.5,0.2,16,114670,6.567,113124,6.479,97576,5.588
900,0.2,4,4,0.2,0.5,0.5,2,17158,7.685,16738,11.248,14713,6.590
900,0.2,4,4,0.2,0.5,0.5,4,32446,7.525,31908,7.400,27419,6.359
900,0.2,4,4,0.2,0.5,0.5,8,62282,7.180,61316,7.068,52196,6.017
900,0.2,4,4,0.2,0.5,0.5,16,121851,6.978,118920,10.731,100750,5.637
900,0.2,4,4,0.2,0.5,1.0,2,18681,8.367,18477,8.276,15478,6.933
900,0.2,4,4,0.2,0.5,1.0,4,35389,8.207,34758,7.437,28973,6.719
900,0.2,4,4,0.2,0.5,1.0,8,67986,7.837,66899,7.712,55260,6.370
900,0.2,4,4,0.2,0.5,1.0,16,133819,7.664,131741,7.545,106890,6.122
900,0.2,4,4,0.2,0.5,2.0,2,21646,9.695,21657,9.701,17059,7.641
900,0.2,4,4,0.2,0.5,2.0,4,41272,9.572,40852,9.474,31972,7.415
900,0.2,4,4,0.2,0.5,2.0,8,78711,13.360,79448,14.134,60919,10.655
900,0.2,4,4,0.2,0.5,2.0,16,155882,8.927,156495,8.963,118597,6.792
900,0.2,4,4,0.2,0.5,5.0,2,30818,13.804,31639,18.409,21638,9.692
900,0.2,4,4,0.2,0.5,5.0,4,40184,13.668,59950,13.904,40910,9.488
900,0.2,4,4,0.2,0.5,5.0,8,113696,13.107,119842,13.815,78913,9.097
900,0.2,4,4,0.2,0.5,5.0,16,226017,12.944,231406,13.253,153085,8.767
900,0.2,4,4,0.2,1.0,0.2,2,19168,9.088,18818,8.922,16261,7.709
900,0.2,4,4,0.2,1.0,0.2,4,35980,8.832,35616,8.743,30069,7.382
900,0.2,4,4,0.2,1.0,0.2,8,69020,8.422,68191,8.321,56913,6.945
900,0.2,4,4,0.2,1.0,0.2,16,134572,8.158,132476,8.031,109605,6.644
900,0.2,4,4,0.2,1.0,0.5,2,20448,13.294,19717,9.348,16725,7.929
900,0.2,4,4,0.2,1.0,0.5,4,37825,9.286,37266,9.148,30998,7.609
900,0.2,4,4,0.2,1.0,0.5,8,72628,8.862,71659,8.744,58815,7.177
900,0.2,4,4,0.2,1.0,0.5,16,142030,8.610,139355,8.448,113183,6.861
900,0.2,4,4,0.2,1.0,1.0,2,21682,10.280,21150,10.027,17552,8.322
900,0.2,4,4,0.2,1.0,1.0,4,40826,10.022,40008,9.821,32584,7.999
900,0.2,4,4,0.2,1.0,1.0,8,78738,9.608,77640,9.474,62050,7.571
900,0.2,4,4,0.2,1.0,1.0,16,154459,9.363,150934,9.150,119148,7.223
900,0.2,4,4,0.2,1.0,2.0,2,24642,11.282,24130,14.320,19094,9.053
900,0.2,4,4,0.2,1.0,2.0,4,46893,11.511,45833,11.251,35703,8.764
900,0.2,4,4,0.2,1.0,2.0,8,90721,11.070,89913,10.971,67154,12.638
900,0.2,4,4,0.2,1.0,2.0,16,179459,10.879,175116,10.616,131215,7.954
900,0.2,4,4,0.2,1.0,5.0,2,33518,15.891,33446,15.857,23611,11.194
900,0.2,4,4,0.2,1.0,5.0,4,64721,15.888,64665,15.874,44512,9.811
900,0.2,4,4,0.2,1.0,5.0,8,128044,15.624,126693,15.459,86107,10.374
900,0.2,4,4,0.2,1.0,5.0,16,251385,15.239,251498,15.246,166111,10.070
900,0.2,4,4,0.2,2.0,0.2,2,29535,15.551,32166,16.936,21787,11.471
900,0.2,4,4,0.2,2.0,0.2,4,55399,15.103,59691,16.273,41586,11.337
900,0.2,4,4,0.2,2.0,0.2,8,106213,14.393,115546,21.962,80442,10.901
900,0.2,4,4,0.2,2.0,0.2,16,205976,13.867,222877,15.004,157631,10.612
900,0.2,4,4,0.2,2.0,0.5,2,30499,16.058,33117,17.437,22936,12.076
900,0.2,4,4,0.2,2.0,0.5,4,57420,15.654,61195,16.683,43679,11.908
900,0.2,4,4,0.2,2.0,0.5,8,110075,14.916,117943,15.982,84482,11.448
900,0.2,4,4,0.2,2.0,0.5,16,213662,14.384,229348,15.440,165652,11.152
900,0.2,4,4,0.2,2.0,1.0,2,32153,24.365,34567,18.200,24792,13.053
900,0.2,4,4,0.2,2.0,1.0,4,60624,16.527,64533,17.593,46514,19.273
900,0.2,4,4,0.2,2.0,1.0,8,116476,15.784,123522,16.738,90362,12.245
900,0.2,4,4,0.2,2.0,1.0,16,226473,15.246,241306,16.245,175742,11.831
900,0.2,4,4,0.2,2.0,2.0,2,35329,18.601,37658,19.827,27388,14.420
900,0.2,4,4,0.2,2.0,2.0,4,67040,18.276,70507,19.221,52096,14.202
900,0.2,4,4,0.2,2.0,2.0,8,128799,17.453,136882,26.654,98912,19.007
900,0.2,4,4,0.2,2.0,2.0,16,252094,16.971,264171,17.784,195854,13.201
900,0.2,4,4,0.2,2.0,5.0,2,44721,32.943,46229,24.340,34406,18.115
900,0.2,4,4,0.2,2.0,5.0,4,86293,23.525,89634,24.436,65623,22.902
900,0.2,4,4,0.2,2.0,5.0,8,167815,22.741,171945,23.300,127792,17.317
900,0.2,4,4,0.2,2.0,5.0,16,329185,22.161,333526,22.534,252248,16.982
900,0.2,4,4,0.5,0.1,0.2,2,20739,8.855,20824,8.891,16918,10.780
900,0.2,4,4,0.5,0.1,0.2,4,39570,8.747,39186,8.663,32476,7.179
900,0.2,4,4,0.5,0.1,0.2,8,77195,8.482,78086,13.118,63438,6.971
900,0.2,4,4,0.5,0.1,0.2,16,151906,8.293,153641,8.387,124273,6.784
900,0.2,4,4,0.5,0.1,0.5,2,22933,9.791,23218,9.913,18205,7.773
900,0.2,4,4,0.5,0.1,0.5,4,43690,9.658,43600,9.638,34753,7.683
900,0.2,4,4,0.5,0.1,0.5,8,86098,9.461,86052,9.456,68097,7.483
900,0.2,4,4,0.5,0.1,0.5,16,169472,9.252,173003,9.444,133178,6.983
900,0.2,4,4,0.5,0.1,1.0,2,26612,11.362,26919,11.493,20209,8.628
900,0.2,4,4,0.5,0.1,1.0,4,50609,11.188,50561,11.177,38414,8.492
900,0.2,4,4,0.5,0.1,1.0,8,100581,11.052,100950,11.093,75478,8.294
900,0.2,4,4,0.5,0.1,1.0,16,198667,10.845,201516,11.001,148177,8.089
900,0.2,4,4,0.5,0.1,2.0,2,33835,14.446,34490,14.725,24065,10.274
900,0.2,4,4,0.5,0.1,2.0,4,64581,14.276,64321,14.219,45895,10.376
900,0.2,4,4,0.5,0.1,2.0,8,129888,14.273,129519,20.983,89981,9.887
900,0.2,4,4,0.5,0.1,2.0,16,255817,12.949,263244,14.371,177868,9.710
900,0.2,4,4,0.5,0.1,5.0,2,55683,23.774,56657,24.189,35648,15.220
900,0.2,4,4,0.5,0.1,5.0,4,106409,23.523,108013,23.878,67093,14.832
900,0.2,4,4,0.5,0.1,5.0,8,217024,23.847,226365,24.470,133251,21.395
900,0.2,4,4,0.5,0.1,5.0,16,432690,23.621,440096,24.025,264571,14.443
900,0.2,4,4,0.5,0.2,0.2,2,21495,9.346,21000,9.131,17222,7.488
900,0.2,4,4,0.5,0.2,0.2,4,41050,9.242,40205,9.052,32652,7.351
900,0.2,4,4,0.5,0.2,0.2,8,80352,8.992,78617,6.176,63265,7.080
900,0.2,4,4,0.5,0.2,0.2,16,157413,8.440,155184,8.628,124113,6.900
900,0.2,4,4,0.5,0.2,0.5,2,23702,10.306,23497,10.217,18297,7.956
900,0.2,4,4,0.5,0.2,0.5,4,45330,10.205,44782,10.082,34928,7.863
900,0.2,4,4,0.5,0.2,0.5,8,88162,14.494,87112,14.425,67119,11.166
900,0.2,4,4,0.5,0.2,0.5,16,174381,9.695,174353,9.693,132886,7.388
900,0.2,4,4,0.5,0.2,1.0,2,27367,11.899,27383,11.906,20216,8.790
900,0.2,4,4,0.5,0.2,1.0,4,52633,11.850,52101,11.730,38545,8.678
900,0.2,4,4,0.5,0.2,1.0,8,102873,11.512,105031,11.754,106524,17.998
900,0.2,4,4,0.5,0.2,1.0,16,203244,11.299,205240,11.410,147472,8.199
900,0.2,4,4,0.5,0.2,2.0,2,34570,15.031,35163,15.289,23937,10.408
900,0.2,4,4,0.5,0.2,2.0,4,66872,15.055,68439,15.408,45826,10.317
900,0.2,4,4,0.5,0.2,2.0,8,132410,14.818,136847,15.314,89606,10.028
900,0.2,4,4,0.5,0.2,2.0,16,258715,14.383,267926,14.895,176352,9.804
900,0.2,4,4,0.5,0.2,5.0,2,54559,23.722,56866,24.726,35246,15.325
900,0.2,4,4,0.5,0.2,5.0,4,111395,25.079,113837,25.629,67213,15.132
900,0.2,4,4,0.5,0.2,5.0,8,220419,24.666,232665,26.037,133686,14.960
900,0.2,4,4,0.5,0.2,5.0,16,434810,24.173,454842,25.287,262556,14.597
900,0.2,4,4,0.5,0.5,0.2,2,22632,10.137,22239,9.961,17656,7.908
900,0.2,4,4,0.5,0.5,0.2,4,43591,10.110,42357,9.823,33214,7.703
900,0.2,4,4,0.5,0.5,0.2,8,84505,9.742,81894,9.441,64057,7.384
900,0.2,4,4,0.5,0.5,0.2,16,166384,9.529,161883,9.271,124641,7.138
900,0.2,4,4,0.5,0.5,0.5,2,24797,15.566,24545,10.994,18774,8.409
900,0.2,4,4,0.5,0.5,0.5,4,47821,11.091,46760,10.629,35410,7.983
900,0.2,4,4,0.5,0.5,0.5,8,93331,10.759,91075,10.499,68628,7.911
900,0.2,4,4,0.5,0.5,0.5,16,181014,14.693,180742,10.351,133578,7.650
900,0.2,4,4,0.5,0.5,1.0,2,28754,12.879,28305,12.678,20618,9.235
900,0.2,4,4,0.5,0.5,1.0,4,55324,12.831,54756,12.699,39457,9.472
900,0.2,4,4,0.5,0.5,1.0,8,106899,12.323,105131,11.918,76042,8.766
900,0.2,4,4,0.5,0.5,1.0,16,211895,12.135,211419,12.108,148106,8.482
900,0.2,4,4,0.5,0.5,2.0,2,36277,16.249,36313,16.265,24295,10.882
900,0.2,4,4,0.5,0.5,2.0,4,69208,16.051,70333,16.312,46387,10.758
900,0.2,4,4,0.5,0.5,2.0,8,135995,15.677,141410,16.302,89285,14.173
900,0.2,4,4,0.5,0.5,2.0,16,269509,15.435,274682,15.731,177216,10.149
900,0.2,4,4,0.5,0.5,5.0,2,57090,25.571,61360,27.484,35693,15.987
900,0.2,4,4,0.5,0.5,5.0,4,113198,26.253,117234,27.189,68021,15.775
900,0.2,4,4,0.5,0.5,5.0,8,217793,25.107,212246,38.006,135023,15.565
900,0.2,4,4,0.5,0.5,5.0,16,438179,25.095,471639,27.011,263860,15.111
900,0.2,4,4,0.5,1.0,0.2,2,25871,12.266,24851,11.782,19698,9.339
900,0.2,4,4,0.5,1.0,0.2,4,49355,12.116,47774,11.728,36754,11.521
900,0.2,4,4,0.5,1.0,0.2,8,95637,11.670,92390,11.274,70522,8.605
900,0.2,4,4,0.5,1.0,0.2,16,188700,11.784,180849,10.963,137387,8.266
900,0.2,4,4,0.5,1.0,0.5,2,28233,13.386,26953,12.779,20838,9.880
900,0.2,4,4,0.5,1.0,0.5,4,53950,13.244,51802,12.717,39115,9.602
900,0.2,4,4,0.5,1.0,0.5,8,104532,12.755,101360,12.368,75082,9.162
900,0.2,4,4,0.5,1.0,0.5,16,207025,12.550,199024,12.065,145814,8.839
900,0.2,4,4,0.5,1.0,1.0,2,31825,15.088,31054,14.723,22717,10.770
900,0.2,4,4,0.5,1.0,1.0,4,60943,14.961,59718,14.660,42841,10.517
900,0.2,4,4,0.5,1.0,1.0,8,119909,14.632,117741,14.367,82663,10.087
900,0.2,4,4,0.5,1.0,1.0,16,237318,14.386,231394,14.027,160722,9.743
900,0.2,4,4,0.5,1.0,2.0,2,39078,18.527,38586,18.294,26503,12.565
900,0.2,4,4,0.5,1.0,2.0,4,75807,18.609,75323,18.491,50222,12.329
900,0.2,4,4,0.5,1.0,2.0,8,151551,17.976,147671,18.019,95261,16.607
900,0.2,4,4,0.5,1.0,2.0,16,291437,17.888,294429,17.848,190082,11.523
900,0.2,4,4,0.5,1.0,5.0,2,60630,46.251,61999,29.394,37681,17.865
900,0.2,4,4,0.5,1.0,5.0,4,118034,28.975,120458,26.672,69927,28.297
900,0.2,4,4,0.5,1.0,5.0,8,242491,29.589,241572,29.477,141675,17.287
900,0.2,4,4,0.5,1.0,5.0,16,471659,28.592,486607,29.498,276679,16.772
900,0.2,4,4,0.5,2.0,0.2,2,36539,19.238,38448,20.243,27970,23.173
900,0.2,4,4,0.5,2.0,0.2,4,69654,18.989,71604,19.521,52083,14.199
900,0.2,4,4,0.5,2.0,0.2,8,135148,18.314,139073,18.846,98806,13.389
900,0.2,4,4,0.5,2.0,0.2,16,263372,17.731,272971,18.377,190320,12.813
900,0.2,4,4,0.5,2.0,0.5,2,38948,20.506,40476,21.311,28990,15.263
900,0.2,4,4,0.5,2.0,0.5,4,74468,20.301,76483,19.603,54510,14.860
900,0.2,4,4,0.5,2.0,0.5,8,144556,19.589,146964,19.915,103210,13.986
900,0.2,4,4,0.5,2.0,0.5,16,282588,19.024,289408,19.483,199762,13.448
900,0.2,4,4,0.5,2.0,1.0,2,43077,22.680,44510,23.435,31198,16.426
900,0.2,4,4,0.5,2.0,1.0,4,82498,22.491,83787,22.842,58691,16.000
900,0.2,4,4,0.5,2.0,1.0,8,160409,21.737,160234,21.713,111404,15.096
900,0.2,4,4,0.5,2.0,1.0,16,314615,21.180,317975,21.406,215122,14.482
900,0.2,4,4,0.5,2.0,2.0,2,50740,26.715,51322,27.022,35396,18.636
900,0.2,4,4,0.5,2.0,2.0,4,98502,26.853,100249,27.330,67583,18.424
900,0.2,4,4,0.5,2.0,2.0,8,192751,26.120,191848,25.997,129108,22.470
900,0.2,4,4,0.5,2.0,2.0,16,377248,25.397,380729,25.631,247388,16.654
900,0.2,4,4,0.5,2.0,5.0,2,72825,38.343,75688,39.851,49250,25.931
