podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
300,8,4,0.20,0.25,0.2,2,3013,1.126,2.649,0.530,2989,0.859,2.712,0.542,2857,0.822,2.793,0.559,2625,2.781,3.040,0.608
300,8,4,0.20,0.25,0.2,2,2923,1.184,2.792,0.558,2992,1.212,2.695,0.539,2870,0.992,2.844,0.569,2796,4.398,2.919,0.584
300,8,4,0.20,0.25,0.2,2,2920,1.069,2.727,0.545,2912,1.066,2.735,0.547,2814,1.031,2.829,0.566,2954,4.201,2.696,0.539
300,8,4,0.20,0.25,0.2,2,2915,0.910,2.728,0.546,3007,0.993,2.644,0.529,2836,0.886,2.953,0.591,2754,3.423,2.888,0.578
300,8,4,0.20,0.25,0.2,2,2929,0.875,2.790,0.558,3026,0.853,2.648,0.530,2903,1.050,2.736,0.547,2686,3.407,2.985,0.597
300,8,4,0.20,0.25,0.2,2,2888,0.897,2.798,0.560,2886,0.896,2.841,0.568,2780,0.768,2.907,0.581,2668,3.218,3.028,0.606
300,8,4,0.20,0.25,0.2,2,3056,0.914,2.656,0.531,3004,0.899,2.809,0.562,2969,0.888,2.841,0.568,2780,3.230,3.034,0.607
300,8,4,0.20,0.25,0.2,2,2856,0.739,2.850,0.570,2825,0.731,2.799,0.560,2802,0.725,2.822,0.564,2738,2.753,2.888,0.578
300,8,4,0.20,0.25,0.2,2,3134,0.977,2.624,0.525,3095,0.965,2.771,0.554,3055,0.952,2.807,0.561,2876,3.482,2.896,0.579
300,8,4,0.20,0.25,0.2,3,4411,0.909,2.796,0.559,4575,1.062,2.588,0.518,4227,0.982,2.802,0.560,4066,3.513,2.913,0.583
300,8,4,0.20,0.25,0.2,3,4243,1.023,2.826,0.565,4269,1.029,2.809,0.562,4270,1.029,2.809,0.562,4023,3.766,2.981,0.596
300,8,4,0.20,0.25,0.2,3,4606,0.973,2.701,0.540,4482,0.962,2.775,0.555,4408,1.006,2.746,0.549,4092,3.203,3.071,0.614
300,8,4,0.20,0.25,0.2,3,4509,0.987,2.575,0.515,4322,0.953,2.687,0.537,4129,0.910,2.966,0.593,3908,3.346,2.971,0.594
300,8,4,0.20,0.25,0.2,3,4360,0.933,2.731,0.546,4523,1.012,2.627,0.525,4190,0.897,2.836,0.567,4089,3.399,2.906,0.581
300,8,4,0.20,0.25,0.2,3,4420,0.868,2.740,0.548,4296,0.844,2.819,0.564,4308,0.846,2.811,0.562,4048,3.089,2.991,0.598
300,8,4,0.20,0.25,0.2,3,4335,0.965,2.910,0.582,4432,0.892,2.751,0.550,4295,0.956,2.839,0.568,4089,3.127,2.998,0.600
300,8,4,0.20,0.25,0.2,3,4543,0.957,2.663,0.533,4577,0.908,2.618,0.524,4279,0.849,2.827,0.565,4098,3.158,2.952,0.590
300,8,4,0.20,0.25,0.2,3,4558,0.979,2.769,0.554,4579,0.984,2.756,0.551,4535,0.974,2.783,0.557,4297,3.634,2.820,0.564
300,8,4,0.20,0.25,0.2,4,5924,0.975,2.648,0.530,6139,1.057,2.693,0.539,5860,0.985,2.763,0.553,5525,4.214,2.940,0.588
300,8,4,0.20,0.25,0.2,4,5771,1.078,2.818,0.564,5777,1.079,2.815,0.563,5844,0.964,2.870,0.574,5639,2.966,2.909,0.582
300,8,4,0.20,0.25,0.2,4,5929,0.891,2.809,0.562,6102,1.022,2.730,0.546,5938,0.995,2.805,0.561,5439,3.538,3.062,0.612
300,8,4,0.20,0.25,0.2,4,5949,0.954,2.709,0.542,5930,0.951,2.708,0.542,5716,0.917,2.819,0.564,5562,3.058,2.921,0.584
300,8,4,0.20,0.25,0.2,4,5705,0.961,2.767,0.553,5831,0.933,2.790,0.558,5816,1.015,2.785,0.557,5507,3.388,3.017,0.603
300,8,4,0.20,0.25,0.2,4,5774,0.912,2.767,0.553,5596,0.888,2.840,0.568,5623,0.916,2.827,0.565,5328,2.965,2.984,0.597
300,8,4,0.20,0.25,0.2,4,5978,0.969,2.773,0.555,5969,0.968,2.713,0.543,5796,0.940,2.794,0.559,5358,3.374,3.022,0.604
300,8,4,0.20,0.25,0.2,4,5626,0.997,2.746,0.549,5673,1.006,2.723,0.545,5444,0.965,2.838,0.568,5267,3.626,2.934,0.587
300,8,4,0.20,0.25,0.2,4,5961,0.883,2.672,0.534,5899,0.980,2.811,0.562,5967,1.076,2.778,0.556,5482,3.839,3.034,0.607
300,8,4,0.20,0.25,0.5,2,3027,0.870,2.636,0.527,2894,0.988,2.863,0.573,2873,0.826,2.777,0.555,2655,2.813,3.006,0.601
300,8,4,0.20,0.25,0.5,2,2925,1.185,2.791,0.558,2994,1.212,2.726,0.545,2936,0.884,2.780,0.556,2801,4.406,2.914,0.583
300,8,4,0.20,0.25,0.5,2,2922,1.070,2.725,0.545,2913,1.067,2.733,0.547,2816,1.031,2.876,0.575,2581,3.257,3.085,0.617
300,8,4,0.20,0.25,0.5,2,2916,0.911,2.746,0.549,2927,0.914,2.854,0.571,2870,0.872,2.770,0.554,2675,3.245,2.972,0.594
300,8,4,0.20,0.25,0.5,2,2930,0.876,2.737,0.547,2946,0.880,2.679,0.536,2860,0.916,2.804,0.561,2631,3.064,3.090,0.618
300,8,4,0.20,0.25,0.5,2,3003,0.994,2.691,0.538,2887,0.897,2.745,0.549,2797,0.844,2.766,0.553,2811,4.036,2.926,0.585
300,8,4,0.20,0.25,0.5,2,2882,1.017,2.902,0.580,2928,1.227,2.881,0.576,3037,0.861,2.778,0.556,2853,3.314,2.957,0.591
300,8,4,0.20,0.25,0.5,2,2857,0.740,2.833,0.567,2827,0.732,2.797,0.559,2804,0.726,2.820,0.564,2637,2.651,2.998,0.600
300,8,4,0.20,0.25,0.5,2,3135,0.977,2.736,0.547,3096,0.965,2.770,0.554,2981,1.139,2.877,0.575,2879,3.486,2.978,0.596
300,8,4,0.20,0.25,0.5,3,4487,1.042,2.682,0.536,4277,0.921,2.769,0.554,4229,0.982,2.801,0.560,3908,3.376,3.073,0.615
300,8,4,0.20,0.25,0.5,3,4244,1.023,2.901,0.580,4413,0.921,2.691,0.538,4551,0.959,2.635,0.527,3942,3.690,3.043,0.609
300,8,4,0.20,0.25,0.5,3,4577,0.975,2.717,0.543,4579,0.975,2.717,0.543,4449,0.947,2.794,0.559,4301,3.705,2.744,0.549
300,8,4,0.20,0.25,0.5,3,4538,0.934,2.559,0.512,4324,0.953,2.685,0.537,4131,0.911,2.811,0.562,3913,3.351,2.967,0.593
300,8,4,0.20,0.25,0.5,3,4242,0.841,2.848,0.570,4373,0.873,2.833,0.567,4565,0.986,2.641,0.528,3979,3.255,3.050,0.610
300,8,4,0.20,0.25,0.5,3,4444,0.949,2.725,0.545,4297,0.844,2.757,0.551,4150,1.007,2.822,0.564,4052,3.091,3.040,0.608
300,8,4,0.20,0.25,0.5,3,4421,0.841,2.758,0.552,4326,0.963,2.818,0.564,4297,0.957,2.839,0.568,4009,3.750,3.143,0.629
300,8,4,0.20,0.25,0.5,3,4382,0.870,2.761,0.552,4578,0.908,2.828,0.566,4271,0.892,2.773,0.555,4043,3.116,2.992,0.598
300,8,4,0.20,0.25,0.5,3,4559,0.980,2.768,0.554,4581,0.984,2.678,0.536,4418,0.936,2.857,0.571,4244,3.541,2.974,0.595
300,8,4,0.20,0.25,0.5,4,6245,1.050,2.647,0.529,6340,1.066,2.607,0.521,5861,0.986,2.821,0.564,5716,3.495,2.892,0.578
300,8,4,0.20,0.25,0.5,4,5772,1.078,2.817,0.563,5778,1.079,2.857,0.571,5786,0.907,2.811,0.562,5494,3.985,2.960,0.592
300,8,4,0.20,0.25,0.5,4,6154,1.031,2.707,0.541,6103,1.022,2.729,0.546,5922,0.909,2.813,0.563,5621,3.264,2.884,0.577
300,8,4,0.20,0.25,0.5,4,5803,0.981,2.777,0.555,5932,0.951,2.717,0.543,5717,0.917,2.819,0.564,5603,3.489,2.876,0.575
300,8,4,0.20,0.25,0.5,4,5886,1.051,2.682,0.536,5754,0.964,2.743,0.549,5514,0.924,2.863,0.573,5464,3.556,2.990,0.598
300,8,4,0.20,0.25,0.5,4,5756,0.910,2.757,0.551,5958,0.854,2.668,0.534,5565,0.817,3.008,0.602,5360,2.984,2.965,0.593
300,8,4,0.20,0.25,0.5,4,6095,1.017,2.654,0.531,5970,0.968,2.712,0.542,5797,0.940,2.793,0.559,5591,3.132,2.896,0.579
300,8,4,0.20,0.25,0.5,4,5676,1.006,2.814,0.563,5689,0.892,2.741,0.548,5757,0.968,2.813,0.563,5451,3.464,2.834,0.567
300,8,4,0.20,0.25,0.5,4,6036,1.088,2.747,0.549,5985,1.079,2.770,0.554,5969,1.076,2.775,0.555,5486,3.842,3.046,0.609
300,8,4,0.20,0.25,2.0,2,2903,0.958,2.749,0.550,2910,1.022,2.742,0.548,2865,0.824,2.785,0.557,2678,2.838,2.979,0.596
300,8,4,0.20,0.25,2.0,2,2931,1.187,2.831,0.566,3007,1.018,2.714,0.543,2946,1.193,2.770,0.554,2752,4.328,2.966,0.593
300,8,4,0.20,0.25,2.0,2,2930,1.073,2.718,0.544,3000,1.086,2.699,0.540,2790,0.822,2.854,0.571,2779,3.952,2.865,0.573
300,8,4,0.20,0.25,2.0,2,2924,0.913,2.719,0.544,2995,1.131,2.578,0.516,3006,0.974,2.627,0.525,2635,3.064,3.200,0.640
300,8,4,0.20,0.25,2.0,2,2980,0.961,2.691,0.538,2952,0.882,2.716,0.543,2858,0.854,2.805,0.561,2661,3.088,2.970,0.594
300,8,4,0.20,0.25,2.0,2,3068,0.905,2.608,0.522,2893,0.898,2.838,0.568,2853,0.886,2.832,0.566,2820,3.402,2.865,0.573
