podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
100,4,4,0.20,0.25,0.2,2,968,0.574,2.865,0.573,906,0.681,3.137,0.627,973,0.647,2.897,0.579,1093,2.409,2.579,0.516
100,4,4,0.20,0.25,0.2,2,892,0.582,3.183,0.637,1047,0.683,2.711,0.542,981,0.641,2.892,0.578,971,2.462,2.922,0.584
100,4,4,0.20,0.25,0.2,2,926,0.629,2.825,0.565,927,0.629,2.822,0.564,865,0.587,3.025,0.605,967,2.455,2.705,0.541
100,4,4,0.20,0.25,0.2,2,868,0.603,2.969,0.594,899,0.624,2.795,0.559,842,0.585,2.983,0.597,921,2.485,2.727,0.545
100,4,4,0.20,0.25,0.2,2,1114,0.604,2.471,0.494,937,0.581,2.897,0.579,886,0.480,3.064,0.613,988,1.988,2.748,0.550
100,4,4,0.20,0.25,0.2,2,973,0.596,2.846,0.569,987,0.604,2.806,0.561,957,0.586,2.920,0.584,1048,2.693,2.659,0.532
100,4,4,0.20,0.25,0.2,2,945,0.586,2.818,0.564,1021,0.592,2.604,0.521,870,0.539,3.055,0.611,910,2.190,2.813,0.563
100,4,4,0.20,0.25,0.2,2,1086,0.602,2.489,0.498,981,0.544,2.607,0.521,899,0.577,3.010,0.602,926,1.994,2.919,0.584
100,4,4,0.20,0.25,0.2,2,944,0.646,2.993,0.599,931,0.576,2.863,0.573,955,0.653,2.791,0.558,911,2.446,2.890,0.578
100,4,4,0.20,0.25,0.2,3,1742,0.802,2.407,0.481,1739,0.800,2.420,0.484,1413,0.650,2.969,0.594,1565,2.673,2.680,0.536
100,4,4,0.20,0.25,0.2,3,1390,0.580,2.866,0.573,1455,0.608,2.737,0.547,1389,0.580,2.868,0.574,1376,2.286,2.922,0.584
100,4,4,0.20,0.25,0.2,3,1430,0.550,2.783,0.557,1408,0.573,2.826,0.565,1358,0.553,2.930,0.586,1429,2.144,2.785,0.557
100,4,4,0.20,0.25,0.2,3,1425,0.689,2.778,0.556,1415,0.685,2.861,0.572,1340,0.504,2.971,0.594,1346,2.529,2.963,0.593
100,4,4,0.20,0.25,0.2,3,1781,0.773,2.348,0.470,1635,0.722,2.428,0.486,1469,0.407,2.703,0.541,1370,2.247,2.898,0.580
100,4,4,0.20,0.25,0.2,3,1670,0.606,2.375,0.475,1475,0.617,2.940,0.588,1527,0.554,2.839,0.568,1564,2.108,2.773,0.555
100,4,4,0.20,0.25,0.2,3,1464,0.574,2.813,0.563,1494,0.585,2.669,0.534,1346,0.639,3.060,0.612,1407,2.141,2.926,0.585
100,4,4,0.20,0.25,0.2,3,1400,0.578,2.834,0.567,1628,0.611,2.483,0.497,1348,0.556,2.938,0.588,1344,2.154,2.946,0.589
100,4,4,0.20,0.25,0.2,3,1443,0.661,2.808,0.562,1421,0.611,2.852,0.570,1443,0.661,2.808,0.562,1503,2.675,2.696,0.539
100,4,4,0.20,0.25,0.2,4,1820,0.683,2.947,0.589,1877,0.704,2.890,0.578,1939,0.671,2.979,0.596,2005,2.291,2.674,0.535
100,4,4,0.20,0.25,0.2,4,1873,0.592,2.842,0.568,1928,0.609,2.720,0.544,1821,0.523,3.001,0.600,1799,2.285,2.971,0.594
100,4,4,0.20,0.25,0.2,4,1888,0.626,2.787,0.557,1834,0.563,2.890,0.578,1890,0.627,2.826,0.565,1816,2.271,2.919,0.584
