podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
500,4,4,0.20,0.25,0.2,2,4074,3.195,3.206,0.641,4241,2.842,3.080,0.616,4701,3.150,2.761,0.552,4423,10.230,2.994,0.599
500,4,4,0.20,0.25,0.2,2,4334,2.514,3.162,0.632,4360,2.530,3.143,0.629,4498,2.609,3.047,0.609,4547,10.245,3.013,0.603
500,4,4,0.20,0.25,0.2,2,4306,2.590,3.068,0.614,4145,2.494,3.187,0.637,4379,2.634,3.017,0.603,4411,10.306,2.995,0.599
500,4,4,0.20,0.25,0.2,2,4192,2.378,3.157,0.631,4159,2.359,3.182,0.636,4436,2.516,2.984,0.597,4451,9.804,2.974,0.595
500,4,4,0.20,0.25,0.2,2,4242,2.647,3.085,0.617,4068,2.538,3.217,0.643,4345,2.711,3.012,0.602,4424,10.033,2.958,0.592
500,4,4,0.20,0.25,0.2,2,4130,2.307,3.243,0.649,4047,2.639,3.269,0.654,4449,2.767,2.996,0.599,4421,11.044,3.059,0.612
500,4,4,0.20,0.25,0.2,2,4160,2.594,3.278,0.656,4245,2.648,3.181,0.636,4545,2.835,2.971,0.594,4563,11.051,2.864,0.573
500,4,4,0.20,0.25,0.2,2,4040,2.449,3.278,0.656,4227,1.903,3.133,0.627,4340,2.600,3.051,0.610,4505,10.481,2.939,0.588
500,4,4,0.20,0.25,0.2,2,4161,2.996,3.188,0.638,4126,2.971,3.215,0.643,4427,3.188,2.996,0.599,4438,12.409,2.988,0.598
500,4,4,0.20,0.25,0.2,3,6162,2.603,3.234,0.647,6246,2.638,3.190,0.638,6553,2.768,3.041,0.608,6626,10.868,3.007,0.601
500,4,4,0.20,0.25,0.2,3,6149,2.635,3.246,0.649,6348,2.720,3.125,0.625,6615,2.955,3.017,0.603,6660,11.083,2.997,0.599
500,4,4,0.20,0.25,0.2,3,6446,2.830,3.080,0.616,6438,2.826,3.084,0.617,6588,2.892,3.008,0.602,6462,11.016,3.085,0.617
