podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,4,4,0.20,0.25,0.2,2,7442,5.985,3.168,0.634,7317,3.189,3.222,0.644,7757,3.381,3.040,0.608,8388,14.198,2.848,0.570
900,4,4,0.20,0.25,0.2,2,7351,4.758,3.242,0.648,7339,4.542,3.247,0.649,7980,4.939,2.987,0.597,7952,19.113,2.997,0.599
900,4,4,0.20,0.25,0.2,2,7162,2.848,3.321,0.664,7194,2.860,3.306,0.661,7764,3.087,3.063,0.613,8055,12.437,2.953,0.591
900,4,4,0.20,0.25,0.2,2,7363,5.326,3.243,0.649,7390,5.346,3.231,0.646,7933,5.739,3.010,0.602,8958,25.166,2.665,0.533
900,4,4,0.20,0.25,0.2,2,7311,4.386,3.232,0.646,7251,4.349,3.259,0.652,7749,4.648,3.050,0.610,7954,18.529,2.971,0.594
900,4,4,0.20,0.25,0.2,2,7444,4.424,3.219,0.644,7298,4.336,3.284,0.657,7836,4.656,3.058,0.612,8076,18.637,2.967,0.593
900,4,4,0.20,0.25,0.2,2,7486,4.981,3.206,0.641,7425,4.941,3.233,0.647,7861,5.231,3.053,0.611,8074,20.867,2.973,0.595
900,4,4,0.20,0.25,0.2,2,7307,4.438,3.256,0.651,7430,4.512,3.252,0.650,7775,4.721,3.060,0.612,8008,18.253,2.971,0.594
900,4,4,0.20,0.25,0.2,2,7681,2.365,3.136,0.627,7511,3.174,3.265,0.653,8106,2.495,3.014,0.603,8024,21.401,3.056,0.611
900,4,4,0.20,0.25,0.2,3,11193,3.202,3.208,0.642,11111,3.178,3.211,0.642,11744,3.359,3.038,0.608,11837,13.150,3.015,0.603
900,4,4,0.20,0.25,0.2,3,10795,4.411,3.381,0.676,11060,4.154,3.300,0.660,12192,4.579,2.994,0.599,12011,17.519,3.039,0.608
900,4,4,0.20,0.25,0.2,3,10773,2.985,3.339,0.668,10681,3.206,3.367,0.673,11815,3.547,3.044,0.609,11914,13.889,3.019,0.604
900,4,4,0.20,0.25,0.2,3,10991,5.093,3.258,0.652,11034,5.113,3.246,0.649,11943,5.534,2.999,0.600,11876,21.373,3.015,0.603
900,4,4,0.20,0.25,0.2,3,10763,5.329,3.281,0.656,10786,5.340,3.274,0.655,11608,5.747,3.042,0.608,11639,22.377,3.034,0.607
900,4,4,0.20,0.25,0.2,3,10841,5.099,3.296,0.659,10922,5.138,3.271,0.654,11854,5.576,3.014,0.603,11697,21.367,3.055,0.611
900,4,4,0.20,0.25,0.2,3,11100,4.339,3.268,0.654,11169,4.366,3.252,0.650,11975,4.682,3.029,0.606,11959,18.157,3.033,0.607
900,4,4,0.20,0.25,0.2,3,10965,4.534,3.263,0.653,11154,4.612,3.208,0.642,11718,4.846,3.053,0.611,11858,18.564,3.017,0.603
900,4,4,0.20,0.25,0.2,3,10878,2.375,3.271,0.654,11033,2.409,3.225,0.645,11801,2.576,3.015,0.603,11881,18.396,3.008,0.602
900,4,4,0.20,0.25,0.2,4,14805,4.279,3.232,0.646,14707,4.583,3.253,0.651,15762,3.578,3.014,0.603,15701,21.423,3.047,0.609
900,4,4,0.20,0.25,0.2,4,14644,4.582,3.277,0.655,14835,4.642,3.237,0.647,16031,5.016,2.993,0.599,15631,18.992,3.082,0.616
900,4,4,0.20,0.25,0.2,4,14468,3.064,3.314,0.663,14230,2.951,3.369,0.674,15919,3.302,2.982,0.596,15634,19.377,3.067,0.613
900,4,4,0.20,0.25,0.2,4,14666,4.612,3.264,0.653,14457,4.547,3.311,0.662,15924,5.008,3.006,0.601,15884,18.722,2.994,0.599
900,4,4,0.20,0.25,0.2,4,14346,5.104,3.294,0.659,14263,5.074,3.314,0.663,15701,5.586,3.010,0.602,15522,21.446,3.045,0.609
900,4,4,0.20,0.25,0.2,4,14589,3.047,3.266,0.653,14546,4.589,3.309,0.662,16094,5.165,2.960,0.592,15629,19.147,3.048,0.610
900,4,4,0.20,0.25,0.2,4,15126,4.932,3.159,0.632,14288,4.070,3.371,0.674,16041,5.231,3.002,0.600,15706,19.889,3.066,0.613
900,4,4,0.20,0.25,0.2,4,14633,4.516,3.259,0.652,14931,5.505,3.248,0.650,16049,4.954,3.022,0.604,15726,19.254,3.033,0.607
900,4,4,0.20,0.25,0.2,4,14712,2.227,3.288,0.658,14726,2.229,3.285,0.657,16216,2.455,2.983,0.597,15827,9.231,3.056,0.611
900,4,4,0.20,0.25,0.5,2,7405,3.228,3.184,0.637,7322,3.192,3.220,0.644,7744,3.376,3.044,0.609,8128,13.511,2.901,0.580
900,4,4,0.20,0.25,0.5,2,7323,4.532,3.255,0.651,7432,4.600,3.207,0.641,7895,4.887,3.019,0.604,8074,19.406,2.952,0.590
900,4,4,0.20,0.25,0.5,2,7175,2.853,3.315,0.663,7200,2.863,3.273,0.655,7776,4.721,3.072,0.614,8410,17.452,2.828,0.566
900,4,4,0.20,0.25,0.5,2,7362,5.325,3.243,0.649,7398,5.352,3.216,0.643,7904,4.824,3.028,0.606,7949,12.881,2.993,0.599
