podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
300,6,4,0.20,0.25,0.2,2,2615,1.129,3.010,0.602,2751,1.211,2.911,0.582,2520,1.109,3.118,0.624,2836,4.378,2.772,0.554
300,6,4,0.20,0.25,0.2,2,2755,1.216,3.005,0.601,2945,1.353,2.681,0.536,2719,1.215,3.035,0.607,2718,4.635,3.019,0.604
300,6,4,0.20,0.25,0.2,2,2635,1.217,2.958,0.592,2603,1.202,3.101,0.620,2519,1.163,3.089,0.618,2710,4.803,3.008,0.602
300,6,4,0.20,0.25,0.2,2,2751,1.212,2.971,0.594,2736,1.205,3.025,0.605,2619,1.121,3.145,0.629,2648,4.983,3.087,0.617
300,6,4,0.20,0.25,0.2,2,2700,1.201,3.033,0.607,2600,1.200,3.022,0.604,2530,1.079,3.144,0.629,2607,5.404,3.080,0.616
300,6,4,0.20,0.25,0.2,2,2586,1.255,3.064,0.613,2530,1.101,3.092,0.618,2522,1.161,3.039,0.608,2793,4.351,2.878,0.576
300,6,4,0.20,0.25,0.2,2,2655,1.231,3.058,0.612,2667,1.129,2.990,0.598,2581,1.066,3.118,0.624,2641,4.492,3.019,0.604
300,6,4,0.20,0.25,0.2,2,2642,1.199,2.991,0.598,2635,1.196,2.998,0.600,2549,1.157,3.099,0.620,2610,3.987,3.027,0.605
300,6,4,0.20,0.25,0.2,2,2720,1.089,2.960,0.592,2697,1.080,2.985,0.597,2607,1.044,3.044,0.609,2694,4.630,3.088,0.618
300,6,4,0.20,0.25,0.2,3,4097,1.263,2.948,0.590,4132,1.406,2.890,0.578,3814,1.099,3.131,0.626,3878,4.341,3.077,0.615
300,6,4,0.20,0.25,0.2,3,4279,1.279,2.867,0.573,3926,1.151,3.046,0.609,3855,1.131,3.102,0.620,4055,4.618,2.949,0.590
300,6,4,0.20,0.25,0.2,3,3917,1.231,3.085,0.617,3932,1.079,3.021,0.604,3805,1.196,3.122,0.624,4001,4.819,2.968,0.594
300,6,4,0.20,0.25,0.2,3,3862,1.039,3.061,0.612,3855,1.037,3.066,0.613,3851,1.036,3.070,0.614,4011,4.189,2.948,0.590
300,6,4,0.20,0.25,0.2,3,3834,1.057,3.066,0.613,3861,1.064,3.115,0.623,3762,1.037,3.095,0.619,4016,4.224,2.927,0.585
300,6,4,0.20,0.25,0.2,3,4069,1.149,3.006,0.601,3906,1.103,3.036,0.607,3794,1.022,3.155,0.631,3981,4.367,3.007,0.601
300,6,4,0.20,0.25,0.2,3,4017,1.118,3.083,0.617,4021,1.119,3.079,0.616,3905,1.042,3.170,0.634,4113,4.315,2.931,0.586
300,6,4,0.20,0.25,0.2,3,3961,1.079,2.964,0.593,4086,1.072,2.853,0.571,3764,1.025,3.097,0.619,3821,4.041,3.051,0.610
300,6,4,0.20,0.25,0.2,3,4160,1.138,2.892,0.578,3939,1.029,3.054,0.611,3897,1.066,3.088,0.618,3984,4.232,3.020,0.604
300,6,4,0.20,0.25,0.2,4,5592,1.137,2.916,0.583,5578,1.135,2.847,0.569,5108,1.039,3.093,0.619,5283,4.052,2.910,0.582
300,6,4,0.20,0.25,0.2,4,5335,1.050,3.122,0.624,5108,1.099,3.100,0.620,5111,1.100,3.140,0.628,5465,4.950,2.949,0.590
300,6,4,0.20,0.25,0.2,4,5450,1.196,2.923,0.585,5287,1.213,3.078,0.616,5216,1.197,3.121,0.624,5352,4.634,2.998,0.600
300,6,4,0.20,0.25,0.2,4,5367,1.052,2.925,0.585,5216,1.091,3.033,0.607,5167,1.328,3.062,0.612,5471,5.461,2.892,0.578
300,6,4,0.20,0.25,0.2,4,5365,1.084,2.962,0.592,5358,1.238,2.964,0.593,5083,1.027,3.125,0.625,5199,4.081,3.055,0.611
300,6,4,0.20,0.25,0.2,4,5319,1.056,2.981,0.596,5121,1.017,3.096,0.619,5065,1.006,3.130,0.626,5138,3.963,3.086,0.617
300,6,4,0.20,0.25,0.2,4,5235,1.148,3.049,0.610,5227,1.146,3.054,0.611,5145,1.128,3.149,0.630,5303,4.516,3.010,0.602
300,6,4,0.20,0.25,0.2,4,5350,1.113,3.119,0.624,5364,1.116,3.039,0.608,5243,1.091,3.109,0.622,5405,4.367,2.875,0.575
300,6,4,0.20,0.25,0.2,4,5215,1.093,3.153,0.631,5390,1.156,2.908,0.582,5186,1.076,2.972,0.594,5171,4.309,3.031,0.606
300,6,4,0.20,0.25,0.5,2,2770,1.219,2.841,0.568,2754,1.212,3.010,0.602,2544,1.118,3.094,0.619,2608,4.059,3.018,0.604
300,6,4,0.20,0.25,0.5,2,2753,1.230,2.980,0.596,2684,1.200,3.057,0.611,2680,1.198,3.062,0.612,2794,4.848,2.937,0.587
300,6,4,0.20,0.25,0.5,2,2672,1.234,2.918,0.584,2605,1.203,2.993,0.599,2522,1.165,3.092,0.618,2658,4.768,2.933,0.587
300,6,4,0.20,0.25,0.5,2,2753,1.213,2.969,0.594,2738,1.206,2.986,0.597,2672,1.177,3.058,0.612,2768,4.735,2.953,0.591
300,6,4,0.20,0.25,0.5,2,2608,1.112,3.125,0.625,2668,1.096,2.965,0.593,2564,1.168,3.065,0.613,2571,4.258,3.057,0.611
300,6,4,0.20,0.25,0.5,2,2737,1.121,2.871,0.574,2683,1.208,2.929,0.586,2523,1.162,3.114,0.623,2688,4.808,2.944,0.589
300,6,4,0.20,0.25,0.5,2,2631,1.176,3.031,0.606,2662,1.099,3.003,0.601,2568,1.093,3.067,0.613,2574,3.850,3.136,0.627
300,6,4,0.20,0.25,0.5,2,2643,1.199,2.989,0.598,2637,1.197,2.996,0.599,2551,1.158,3.097,0.619,2670,4.705,2.959,0.592
300,6,4,0.20,0.25,0.5,2,2721,1.090,2.958,0.592,2698,1.080,2.984,0.597,2608,1.044,3.087,0.617,2766,4.301,2.911,0.582
300,6,4,0.20,0.25,0.5,3,4283,1.235,2.761,0.552,4162,1.200,2.869,0.574,3815,1.100,3.129,0.626,3879,4.342,3.078,0.616
300,6,4,0.20,0.25,0.5,3,4034,1.287,2.963,0.593,3925,1.151,3.046,0.609,3856,1.131,3.101,0.620,4048,4.610,2.954,0.591
300,6,4,0.20,0.25,0.5,3,3918,1.232,3.074,0.615,4023,1.265,2.952,0.590,3807,1.197,3.091,0.618,3900,4.697,3.045,0.609
300,6,4,0.20,0.25,0.5,3,3863,1.039,3.087,0.617,3857,1.037,3.065,0.613,3852,1.036,3.111,0.622,4031,4.894,2.904,0.581
300,6,4,0.20,0.25,0.5,3,3741,1.027,3.156,0.631,4348,1.338,2.703,0.541,3763,1.038,3.124,0.625,3951,4.230,2.975,0.595
