podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
500,6,4,0.20,0.25,0.2,2,4453,1.860,3.044,0.609,4518,2.160,3.011,0.602,4251,1.734,3.152,0.630,4399,6.233,3.023,0.605
500,6,4,0.20,0.25,0.2,2,4597,1.919,2.922,0.584,4449,2.044,3.020,0.604,4297,1.974,3.127,0.625,4443,7.927,3.055,0.611
500,6,4,0.20,0.25,0.2,2,4318,1.666,3.034,0.607,4248,1.638,3.084,0.617,4181,1.613,3.133,0.627,4322,6.475,3.030,0.606
500,6,4,0.20,0.25,0.2,2,4385,1.963,3.032,0.606,4473,2.002,2.972,0.594,4264,1.909,3.118,0.624,4377,7.609,3.099,0.620
500,6,4,0.20,0.25,0.2,2,4396,1.784,2.974,0.595,4447,1.914,2.940,0.588,4190,1.804,3.120,0.624,4315,7.214,3.139,0.628
500,6,4,0.20,0.25,0.2,2,4348,1.840,3.079,0.616,4578,1.660,2.918,0.584,4291,1.816,3.054,0.611,4520,8.063,3.003,0.601
500,6,4,0.20,0.25,0.2,2,4437,1.844,2.991,0.598,4426,2.107,3.095,0.619,4299,1.671,3.096,0.619,4405,7.110,3.029,0.606
500,6,4,0.20,0.25,0.2,2,4578,2.299,2.961,0.592,4488,1.747,3.020,0.604,4364,1.698,3.106,0.621,4560,6.891,2.973,0.595
500,6,4,0.20,0.25,0.2,2,4450,1.765,3.046,0.609,4640,1.840,2.900,0.580,4363,1.730,3.080,0.616,4463,7.899,3.037,0.607
500,6,4,0.20,0.25,0.2,3,6420,1.862,3.102,0.620,6511,1.888,3.059,0.612,6439,1.867,3.140,0.628,6537,6.958,3.055,0.611
500,6,4,0.20,0.25,0.2,3,6831,1.818,2.960,0.592,6759,1.708,3.002,0.600,6592,1.705,3.067,0.613,6683,6.467,3.025,0.605
500,6,4,0.20,0.25,0.2,3,6465,1.677,3.091,0.618,6827,1.771,2.959,0.592,6429,1.991,3.109,0.622,6529,6.579,3.061,0.612
500,6,4,0.20,0.25,0.2,3,6698,1.953,3.013,0.603,6828,1.991,2.956,0.591,6458,1.883,3.125,0.625,6632,7.509,3.043,0.609
500,6,4,0.20,0.25,0.2,3,6751,1.664,2.935,0.587,6794,1.675,2.956,0.591,6304,1.994,3.186,0.637,6559,6.279,3.062,0.612
500,6,4,0.20,0.25,0.2,3,6768,1.608,3.006,0.601,7020,1.668,2.898,0.580,6491,1.542,3.134,0.627,6803,6.277,2.991,0.598
500,6,4,0.20,0.25,0.2,3,6587,2.287,3.011,0.602,6579,2.284,3.015,0.603,6327,2.197,3.135,0.627,6662,8.983,2.977,0.595
500,6,4,0.20,0.25,0.2,3,6700,1.919,3.075,0.615,6638,1.901,3.104,0.621,6577,1.883,3.133,0.627,6716,7.469,3.057,0.611
500,6,4,0.20,0.25,0.2,3,6613,1.854,3.112,0.622,6755,1.859,3.046,0.609,6606,1.818,3.115,0.623,6733,7.198,3.056,0.611
500,6,4,0.20,0.25,0.2,4,8657,2.040,3.105,0.621,8938,2.107,3.008,0.602,8540,2.013,3.148,0.630,8722,7.380,3.106,0.621
500,6,4,0.20,0.25,0.2,4,9139,1.949,3.000,0.600,9084,1.937,3.018,0.604,8749,1.866,3.133,0.627,9164,7.235,2.948,0.590
500,6,4,0.20,0.25,0.2,4,8590,2.090,3.094,0.619,8999,1.782,2.927,0.585,8373,1.635,3.200,0.640,8714,7.863,3.050,0.610
500,6,4,0.20,0.25,0.2,4,8959,1.695,3.042,0.608,8938,1.691,3.074,0.615,8462,1.867,3.190,0.638,9004,8.158,2.967,0.593
500,6,4,0.20,0.25,0.2,4,8847,1.841,3.019,0.604,9058,1.885,2.949,0.590,8516,1.772,3.092,0.618,8733,7.615,3.059,0.612
500,6,4,0.20,0.25,0.2,4,8686,1.992,3.076,0.615,9217,2.114,2.858,0.572,8705,1.982,3.069,0.614,8884,7.913,3.046,0.609
500,6,4,0.20,0.25,0.2,4,8746,1.969,2.989,0.598,8861,1.827,2.987,0.597,8496,1.961,3.150,0.630,8785,6.616,3.009,0.602
500,6,4,0.20,0.25,0.2,4,8807,1.888,3.075,0.615,8915,1.911,3.037,0.607,8661,1.857,3.126,0.625,8887,7.399,3.047,0.609
500,6,4,0.20,0.25,0.2,4,8953,2.439,3.020,0.604,8955,2.440,3.019,0.604,8649,2.356,3.103,0.621,8998,9.521,2.999,0.600
500,6,4,0.20,0.25,0.5,2,4448,1.742,3.012,0.602,4422,1.711,3.030,0.606,4343,1.681,3.085,0.617,4502,6.545,2.976,0.595
500,6,4,0.20,0.25,0.5,2,4424,2.033,3.037,0.607,4452,2.045,3.018,0.604,4300,1.976,3.125,0.625,4465,7.967,3.009,0.602
500,6,4,0.20,0.25,0.5,2,4320,1.666,3.060,0.612,4368,1.893,2.999,0.600,4183,1.614,3.221,0.644,4323,6.475,3.030,0.606
500,6,4,0.20,0.25,0.5,2,4387,1.964,3.031,0.606,4407,2.201,3.017,0.603,4266,1.910,3.117,0.623,4500,7.822,2.950,0.590
500,6,4,0.20,0.25,0.5,2,4355,1.860,3.060,0.612,4541,1.828,2.950,0.590,4305,1.878,3.127,0.625,4395,4.817,2.975,0.595
