podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
100,8,4,0.20,0.25,0.2,2,992,0.293,2.609,0.522,987,0.291,2.622,0.524,1028,0.307,2.516,0.503,1020,1.169,2.536,0.507
100,8,4,0.20,0.25,0.2,2,1077,0.315,2.617,0.523,1041,0.305,2.529,0.506,1012,0.296,2.806,0.561,1007,1.175,2.799,0.560
100,8,4,0.20,0.25,0.2,2,1127,0.235,2.579,0.516,1125,0.234,2.584,0.517,1036,0.370,2.806,0.561,1442,1.108,2.016,0.403
100,8,4,0.20,0.25,0.2,2,1033,0.408,2.665,0.533,1063,0.361,2.532,0.506,1017,0.401,2.645,0.529,1172,1.179,2.297,0.459
100,8,4,0.20,0.25,0.2,2,1071,0.367,2.541,0.508,1120,0.326,2.605,0.521,1040,0.348,2.471,0.494,1166,1.430,2.233,0.447
100,8,4,0.20,0.25,0.2,2,1070,0.384,2.665,0.533,1064,0.371,2.679,0.536,1051,0.377,2.713,0.543,1092,1.500,2.486,0.497
100,8,4,0.20,0.25,0.2,2,1096,0.322,2.652,0.530,1241,0.421,2.489,0.498,1091,0.364,2.739,0.548,1133,1.329,2.726,0.545
100,8,4,0.20,0.25,0.2,2,1038,0.325,2.579,0.516,1041,0.373,2.424,0.485,939,0.294,2.688,0.538,1286,1.484,1.988,0.398
100,8,4,0.20,0.25,0.2,2,1056,0.391,2.622,0.524,1063,0.297,2.763,0.553,1013,0.366,2.863,0.573,1182,1.671,2.430,0.486
100,8,4,0.20,0.25,0.2,3,1537,0.326,2.749,0.550,1504,0.316,2.795,0.559,1571,0.321,2.675,0.535,1461,1.140,2.807,0.561
100,8,4,0.20,0.25,0.2,3,1515,0.329,2.846,0.569,1722,0.364,2.383,0.477,1515,0.346,2.647,0.529,1609,1.358,2.492,0.498
100,8,4,0.20,0.25,0.2,3,1558,0.217,2.579,0.516,1560,0.217,2.638,0.528,1493,0.207,2.720,0.544,1618,1.018,2.642,0.528
100,8,4,0.20,0.25,0.2,3,1532,0.364,2.757,0.551,1562,0.333,2.642,0.528,1559,0.323,2.648,0.530,1583,1.257,2.606,0.521
100,8,4,0.20,0.25,0.2,3,1792,0.381,2.346,0.469,1794,0.381,2.343,0.469,1505,0.322,2.793,0.559,2056,1.702,2.045,0.409
100,8,4,0.20,0.25,0.2,3,1590,0.313,2.674,0.535,1547,0.361,2.818,0.564,1549,0.329,2.864,0.573,1770,1.344,2.401,0.480
100,8,4,0.20,0.25,0.2,3,1762,0.392,2.522,0.504,1788,0.398,2.423,0.485,1592,0.362,2.787,0.557,1612,1.352,2.754,0.551
100,8,4,0.20,0.25,0.2,3,1745,0.396,2.307,0.461,1722,0.386,2.438,0.488,1489,0.331,2.703,0.541,2149,1.836,1.873,0.375
100,8,4,0.20,0.25,0.2,3,1515,0.357,2.868,0.574,1575,0.369,2.590,0.518,1520,0.358,2.902,0.580,1693,1.311,2.410,0.482
100,8,4,0.20,0.25,0.2,4,2115,0.334,2.595,0.519,2099,0.321,2.664,0.533,2056,0.325,2.720,0.544,2111,1.294,2.669,0.534
100,8,4,0.20,0.25,0.2,4,2106,0.393,2.676,0.535,2056,0.378,2.750,0.550,2092,0.339,2.695,0.539,2234,1.294,2.522,0.504
100,8,4,0.20,0.25,0.2,4,2145,0.216,2.900,0.580,2079,0.234,2.606,0.521,2047,0.234,2.594,0.519,2420,0.915,2.207,0.441
100,8,4,0.20,0.25,0.2,4,2199,0.346,2.672,0.534,2263,0.324,2.468,0.494,2024,0.337,2.904,0.581,2630,1.394,2.154,0.431
100,8,4,0.20,0.25,0.2,4,2322,0.370,2.282,0.456,2100,0.362,2.606,0.521,2138,0.293,2.618,0.524,3159,1.727,1.794,0.359
100,8,4,0.20,0.25,0.2,4,2146,0.320,2.945,0.589,2117,0.366,2.678,0.536,2131,0.320,2.563,0.513,2203,1.297,2.455,0.491
100,8,4,0.20,0.25,0.2,4,2373,0.367,2.514,0.503,2381,0.368,2.209,0.442,2097,0.324,2.944,0.589,2166,1.284,2.570,0.514
100,8,4,0.20,0.25,0.2,4,2277,0.375,2.507,0.501,2434,0.354,2.345,0.469,2114,0.308,2.608,0.522,2718,1.531,2.100,0.420
100,8,4,0.20,0.25,0.2,4,2061,0.345,2.699,0.540,2133,0.306,2.455,0.491,1995,0.346,2.789,0.558,2230,1.351,2.430,0.486
100,8,4,0.20,0.25,0.5,2,1017,0.335,2.545,0.509,1050,0.291,2.596,0.519,988,0.310,2.732,0.546,1021,1.170,2.535,0.507
100,8,4,0.20,0.25,0.5,2,1077,0.315,2.616,0.523,1041,0.305,2.799,0.560,1053,0.316,2.677,0.535,1096,1.245,2.572,0.514
