podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
100,6,4,0.20,0.25,0.2,2,919,0.395,2.925,0.585,950,0.366,2.918,0.584,860,0.347,3.123,0.625,1052,1.680,2.549,0.510
100,6,4,0.20,0.25,0.2,2,977,0.350,2.689,0.538,888,0.394,2.978,0.596,884,0.471,2.909,0.582,972,1.761,2.702,0.540
100,6,4,0.20,0.25,0.2,2,1063,0.397,2.679,0.536,1050,0.369,2.711,0.542,948,0.333,3.003,0.601,1163,1.537,2.449,0.490
100,6,4,0.20,0.25,0.2,2,1183,0.492,2.399,0.480,1173,0.487,2.384,0.477,965,0.401,2.943,0.589,991,1.599,2.865,0.573
100,6,4,0.20,0.25,0.2,2,1113,0.449,2.367,0.473,1202,0.544,2.318,0.464,911,0.368,3.058,0.612,1077,1.636,2.587,0.517
100,6,4,0.20,0.25,0.2,2,1052,0.471,2.794,0.559,1046,0.388,2.609,0.522,934,0.397,3.117,0.623,967,1.417,2.928,0.586
100,6,4,0.20,0.25,0.2,2,1061,0.352,2.684,0.537,987,0.399,2.896,0.579,944,0.382,3.027,0.605,1054,1.655,2.712,0.542
100,6,4,0.20,0.25,0.2,2,1068,0.400,2.621,0.524,1090,0.408,2.387,0.477,903,0.386,3.097,0.619,1102,1.513,2.539,0.508
100,6,4,0.20,0.25,0.2,2,1101,0.416,2.514,0.503,978,0.370,3.094,0.619,962,0.417,3.039,0.608,1099,2.055,2.659,0.532
100,6,4,0.20,0.25,0.2,3,1416,0.374,2.895,0.579,1426,0.413,2.874,0.575,1358,0.393,3.019,0.604,1640,1.763,2.499,0.500
100,6,4,0.20,0.25,0.2,3,1398,0.446,3.018,0.604,1353,0.427,3.016,0.603,1329,0.424,3.141,0.628,1385,1.366,2.914,0.583
100,6,4,0.20,0.25,0.2,3,1516,0.429,2.666,0.533,1802,0.527,2.294,0.459,1365,0.386,3.030,0.606,1594,1.613,2.594,0.519
100,6,4,0.20,0.25,0.2,3,1575,0.414,2.710,0.542,1583,0.416,2.695,0.539,1481,0.421,2.881,0.576,1620,1.735,2.583,0.517
100,6,4,0.20,0.25,0.2,3,1417,0.413,3.051,0.610,1745,0.474,2.470,0.494,1408,0.383,3.070,0.614,1630,1.643,2.652,0.530
100,6,4,0.20,0.25,0.2,3,1596,0.481,2.519,0.504,1399,0.412,2.929,0.586,1345,0.405,3.031,0.606,1501,1.671,2.728,0.546
100,6,4,0.20,0.25,0.2,3,1378,0.398,3.093,0.619,1524,0.373,2.741,0.548,1358,0.391,3.353,0.671,1549,1.753,2.853,0.571
100,6,4,0.20,0.25,0.2,3,1588,0.456,2.530,0.506,1618,0.494,2.484,0.497,1362,0.341,2.949,0.590,1717,1.566,2.308,0.462
100,6,4,0.20,0.25,0.2,3,1595,0.483,2.543,0.509,1469,0.414,2.865,0.573,1394,0.393,3.126,0.625,1422,1.507,3.012,0.602
100,6,4,0.20,0.25,0.2,4,1891,0.428,3.045,0.609,1800,0.360,3.351,0.670,1853,0.406,2.955,0.591,2234,1.694,2.451,0.490
100,6,4,0.20,0.25,0.2,4,1836,0.397,3.014,0.603,1819,0.396,2.967,0.593,1839,0.388,2.982,0.596,2089,1.771,2.613,0.523
100,6,4,0.20,0.25,0.2,4,1962,0.404,2.880,0.576,2034,0.448,2.625,0.525,1735,0.358,3.369,0.674,2049,1.712,2.577,0.515
100,6,4,0.20,0.25,0.2,4,2155,0.445,2.671,0.534,2126,0.438,2.655,0.531,1843,0.381,3.062,0.612,2182,1.726,2.587,0.517
100,6,4,0.20,0.25,0.2,4,2391,0.540,2.352,0.470,2383,0.538,2.480,0.496,1865,0.370,3.015,0.603,2243,1.697,2.599,0.520
100,6,4,0.20,0.25,0.2,4,2210,0.484,2.552,0.510,2156,0.400,2.616,0.523,1864,0.346,3.025,0.605,2141,1.499,2.646,0.529
100,6,4,0.20,0.25,0.2,4,2153,0.447,2.770,0.554,1814,0.378,3.123,0.625,1831,0.399,3.133,0.627,2280,2.064,2.485,0.497
100,6,4,0.20,0.25,0.2,4,2112,0.414,2.591,0.518,2127,0.417,2.611,0.522,1859,0.365,2.987,0.597,2624,1.915,2.088,0.418
100,6,4,0.20,0.25,0.2,4,2097,0.464,2.725,0.545,2084,0.474,2.803,0.561,1839,0.407,3.063,0.613,2145,1.893,2.534,0.507
100,6,4,0.20,0.25,0.5,2,919,0.395,2.921,0.584,914,0.366,3.048,0.610,849,0.417,3.163,0.633,1053,1.681,2.551,0.510
100,6,4,0.20,0.25,0.5,2,944,0.419,2.782,0.556,888,0.394,2.956,0.591,874,0.388,3.059,0.612,1071,1.893,2.452,0.490
100,6,4,0.20,0.25,0.5,2,1065,0.441,2.482,0.496,1051,0.369,2.803,0.561,926,0.322,3.076,0.615,1164,1.538,2.447,0.489
100,6,4,0.20,0.25,0.5,2,1184,0.492,2.398,0.480,1149,0.504,2.471,0.494,942,0.391,3.016,0.603,992,1.601,2.862,0.572
100,6,4,0.20,0.25,0.5,2,1114,0.450,2.502,0.500,1116,0.451,2.497,0.499,912,0.368,3.055,0.611,1168,1.791,2.537,0.507
100,6,4,0.20,0.25,0.5,2,1053,0.472,2.766,0.553,1028,0.399,2.551,0.510,865,0.387,3.216,0.643,1058,1.455,2.654,0.531
100,6,4,0.20,0.25,0.5,2,1091,0.510,2.654,0.531,987,0.399,2.881,0.576,960,0.440,2.975,0.595,1040,1.633,2.748,0.550
100,6,4,0.20,0.25,0.5,2,1066,0.400,2.624,0.525,1090,0.409,2.542,0.508,948,0.355,2.876,0.575,1035,1.599,2.705,0.541
100,6,4,0.20,0.25,0.5,2,1087,0.417,2.745,0.549,979,0.370,3.037,0.607,974,0.368,2.908,0.582,1109,1.629,2.690,0.538
100,6,4,0.20,0.25,0.5,3,1438,0.416,2.851,0.570,1401,0.427,2.926,0.585,1358,0.393,3.018,0.604,1642,1.765,2.496,0.499
100,6,4,0.20,0.25,0.5,3,1398,0.446,2.919,0.584,1339,0.427,3.048,0.610,1326,0.401,3.295,0.659,1456,1.804,2.804,0.561
100,6,4,0.20,0.25,0.5,3,1519,0.429,2.627,0.525,1465,0.439,2.822,0.564,1365,0.386,3.028,0.606,1568,2.092,2.640,0.528
100,6,4,0.20,0.25,0.5,3,1574,0.447,2.712,0.542,1584,0.417,2.719,0.544,1389,0.446,3.071,0.614,1689,1.700,2.526,0.505
100,6,4,0.20,0.25,0.5,3,1755,0.476,2.379,0.476,1746,0.474,2.476,0.495,1426,0.387,3.033,0.607,1633,1.646,2.647,0.529
100,6,4,0.20,0.25,0.5,3,1596,0.481,2.553,0.511,1602,0.483,2.543,0.509,1345,0.406,3.278,0.656,1522,1.695,2.677,0.535
100,6,4,0.20,0.25,0.5,3,1608,0.472,2.754,0.551,1613,0.474,2.708,0.542,1403,0.412,3.154,0.631,1612,1.859,2.624,0.525
100,6,4,0.20,0.25,0.5,3,1528,0.382,2.629,0.526,1527,0.382,2.731,0.546,1363,0.341,2.948,0.590,1718,1.567,2.338,0.468
100,6,4,0.20,0.25,0.5,3,1531,0.431,2.750,0.550,1469,0.414,2.865,0.573,1394,0.393,3.080,0.616,1553,1.699,2.710,0.542
100,6,4,0.20,0.25,0.5,4,1830,0.373,3.023,0.605,1812,0.369,3.064,0.613,1807,0.410,3.073,0.615,2252,1.721,2.327,0.465
100,6,4,0.20,0.25,0.5,4,1857,0.416,2.956,0.591,1833,0.353,2.991,0.598,1827,0.392,3.105,0.621,2100,1.764,2.611,0.522
100,6,4,0.20,0.25,0.5,4,2025,0.410,2.608,0.522,1948,0.427,2.759,0.552,1736,0.358,3.099,0.620,2514,1.760,2.100,0.420
100,6,4,0.20,0.25,0.5,4,2155,0.445,2.602,0.520,2185,0.448,2.584,0.517,1844,0.381,3.079,0.616,2067,1.961,2.731,0.546
100,6,4,0.20,0.25,0.5,4,2391,0.540,2.372,0.474,2418,0.554,2.343,0.469,1795,0.405,3.200,0.640,2261,1.831,2.486,0.497
100,6,4,0.20,0.25,0.5,4,2224,0.415,2.540,0.508,2156,0.400,2.620,0.524,1815,0.374,3.108,0.622,2141,1.499,2.634,0.527
100,6,4,0.20,0.25,0.5,4,2139,0.433,2.707,0.541,2134,0.451,2.655,0.531,1831,0.399,3.094,0.619,2122,1.955,2.670,0.534
100,6,4,0.20,0.25,0.5,4,2113,0.414,2.591,0.518,2128,0.417,2.466,0.493,1888,0.405,2.942,0.588,2491,1.783,2.229,0.446
100,6,4,0.20,0.25,0.5,4,2050,0.466,2.947,0.589,2086,0.425,2.700,0.540,1813,0.458,3.106,0.621,1988,1.754,2.834,0.567
100,6,4,0.20,0.25,2.0,2,893,0.384,3.007,0.601,920,0.395,2.969,0.594,899,0.386,2.988,0.598,1058,1.690,2.537,0.507
100,6,4,0.20,0.25,2.0,2,947,0.420,2.841,0.568,926,0.424,2.836,0.567,876,0.389,3.188,0.638,1054,1.715,2.514,0.503
100,6,4,0.20,0.25,2.0,2,945,0.409,3.012,0.602,1054,0.370,2.765,0.553,908,0.374,3.137,0.627,1168,1.545,2.437,0.487
100,6,4,0.20,0.25,2.0,2,1181,0.491,2.404,0.481,1176,0.489,2.414,0.483,944,0.392,2.764,0.553,1069,2.082,2.444,0.489
100,6,4,0.20,0.25,2.0,2,1167,0.482,2.418,0.484,1214,0.423,2.404,0.481,919,0.467,3.032,0.606,1109,1.683,2.514,0.503
