podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,6,4,0.20,0.25,0.2,2,7987,2.935,2.961,0.592,7899,3.181,2.993,0.599,7728,3.436,3.075,0.615,7796,14.030,3.047,0.609
900,6,4,0.20,0.25,0.2,2,7860,3.718,3.125,0.625,8022,3.794,3.007,0.601,7648,2.773,3.198,0.640,7895,13.200,3.133,0.627
900,6,4,0.20,0.25,0.2,2,7764,3.840,3.084,0.617,7718,3.818,3.102,0.620,7647,3.329,3.196,0.639,7759,9.455,3.102,0.620
900,6,4,0.20,0.25,0.2,2,7886,3.548,3.021,0.604,7732,4.174,3.081,0.616,7680,3.784,3.101,0.620,7861,15.039,3.030,0.606
900,6,4,0.20,0.25,0.2,2,7674,2.995,3.090,0.618,7693,3.003,3.082,0.616,7624,2.976,3.110,0.622,8270,12.364,2.867,0.573
900,6,4,0.20,0.25,0.2,2,7730,2.776,3.088,0.618,7716,2.771,3.123,0.625,7643,3.040,3.123,0.625,7761,10.825,3.075,0.615
900,6,4,0.20,0.25,0.2,2,7874,3.303,3.028,0.606,7838,3.288,3.042,0.608,7655,3.211,3.115,0.623,7914,12.894,3.013,0.603
900,6,4,0.20,0.25,0.2,2,7763,3.185,3.036,0.607,7833,3.213,3.008,0.602,7528,3.088,3.146,0.629,7740,12.626,3.045,0.609
900,6,4,0.20,0.25,0.2,2,7757,2.886,3.059,0.612,7876,3.044,3.015,0.603,7615,2.833,3.118,0.624,7872,11.373,3.017,0.603
900,6,4,0.20,0.25,0.2,3,11685,3.296,3.022,0.604,11555,3.582,3.098,0.620,11481,3.238,3.102,0.620,11888,12.695,2.988,0.598
900,6,4,0.20,0.25,0.2,3,11906,3.555,3.007,0.601,11856,3.540,3.084,0.617,11617,3.469,3.148,0.630,11869,13.762,3.050,0.610
900,6,4,0.20,0.25,0.2,3,11625,3.219,3.119,0.624,11635,3.130,3.116,0.623,11429,3.383,3.112,0.622,11574,15.453,3.160,0.632
900,6,4,0.20,0.25,0.2,3,11748,3.446,3.074,0.615,11408,3.150,3.229,0.646,11618,3.177,3.153,0.631,11651,15.073,3.150,0.630
900,6,4,0.20,0.25,0.2,3,11405,3.597,3.126,0.625,11592,3.549,3.076,0.615,11377,3.589,3.214,0.643,11515,13.229,3.077,0.615
900,6,4,0.20,0.25,0.2,3,11792,2.409,3.082,0.616,11709,2.393,3.104,0.621,11400,2.078,3.188,0.638,11788,9.354,3.091,0.618
900,6,4,0.20,0.25,0.2,3,11672,3.816,3.086,0.617,11596,3.126,3.107,0.621,11464,3.090,3.139,0.628,11631,12.175,3.097,0.619
900,6,4,0.20,0.25,0.2,3,11586,3.117,3.084,0.617,11812,3.178,3.016,0.603,11287,2.597,3.108,0.622,11782,13.172,3.057,0.611
900,6,4,0.20,0.25,0.2,3,11706,3.221,3.089,0.618,11839,3.394,3.054,0.611,11590,3.323,3.120,0.624,11749,13.082,3.078,0.616
900,6,4,0.20,0.25,0.2,4,15449,3.266,3.062,0.612,15199,3.235,3.112,0.622,15359,3.579,3.094,0.619,15686,13.757,3.016,0.603
900,6,4,0.20,0.25,0.2,4,15552,2.970,3.103,0.621,15653,2.990,3.116,0.623,15276,3.885,3.160,0.632,15743,11.677,3.066,0.613
900,6,4,0.20,0.25,0.2,4,15340,3.235,3.093,0.619,15111,3.504,3.181,0.636,14981,2.961,3.167,0.633,15255,13.737,3.110,0.622
900,6,4,0.20,0.25,0.2,4,15782,3.370,3.032,0.606,15584,3.328,3.065,0.613,15379,3.284,3.111,0.622,15435,12.800,3.100,0.620
900,6,4,0.20,0.25,0.2,4,15330,3.132,3.091,0.618,15393,3.145,3.078,0.616,15154,3.096,3.126,0.625,15429,12.048,3.071,0.614
900,6,4,0.20,0.25,0.2,4,15662,1.993,3.113,0.623,15890,2.022,3.069,0.614,15509,1.973,3.144,0.629,15763,7.789,3.093,0.619
900,6,4,0.20,0.25,0.2,4,15119,3.410,3.098,0.620,15133,3.413,3.096,0.619,14958,3.374,3.132,0.626,15143,13.265,3.094,0.619
900,6,4,0.20,0.25,0.2,4,15814,3.696,3.021,0.604,15662,3.661,3.051,0.610,15134,3.537,3.157,0.631,15586,14.148,3.066,0.613
900,6,4,0.20,0.25,0.2,4,15634,3.604,3.076,0.615,15703,3.620,3.063,0.613,15378,3.545,3.127,0.625,15688,14.043,3.066,0.613
900,6,4,0.20,0.25,0.5,2,7871,3.607,3.018,0.604,7703,3.530,3.084,0.617,7663,3.511,3.100,0.620,7838,13.948,3.030,0.606
900,6,4,0.20,0.25,0.5,2,7864,3.720,3.058,0.612,8083,3.950,3.000,0.600,7767,3.674,3.122,0.624,7865,14.447,3.083,0.617
900,6,4,0.20,0.25,0.5,2,7768,3.843,3.082,0.616,7742,2.028,3.078,0.616,7716,3.373,3.103,0.621,7815,15.013,3.064,0.613
900,6,4,0.20,0.25,0.5,2,7924,3.904,3.006,0.601,7929,3.906,3.020,0.604,7686,3.786,3.099,0.620,8000,15.304,2.978,0.596
900,6,4,0.20,0.25,0.5,2,7679,2.997,3.088,0.618,7698,3.005,3.080,0.616,7627,2.977,3.109,0.622,8290,12.394,2.860,0.572
