podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
300,4,4,0.20,0.25,0.2,2,2506,1.519,3.110,0.622,2762,1.834,2.821,0.564,2661,1.767,2.928,0.586,2619,6.756,2.983,0.597
300,4,4,0.20,0.25,0.2,2,2704,1.484,3.082,0.616,2841,1.790,2.933,0.587,2887,1.620,2.741,0.548,2859,6.229,2.916,0.583
300,4,4,0.20,0.25,0.2,2,2597,1.658,3.028,0.606,2464,1.669,3.191,0.638,2736,1.853,2.874,0.575,2654,6.980,3.042,0.608
300,4,4,0.20,0.25,0.2,2,2625,1.797,3.060,0.612,2546,1.438,3.044,0.609,2632,1.890,3.069,0.614,2799,7.427,2.833,0.567
300,4,4,0.20,0.25,0.2,2,2463,1.391,3.199,0.640,2526,1.426,3.153,0.631,2770,1.570,2.882,0.576,2716,5.956,2.902,0.580
300,4,4,0.20,0.25,0.2,2,2689,1.556,2.916,0.583,2568,1.486,3.163,0.633,2735,1.434,2.971,0.594,2788,6.738,2.815,0.563
300,4,4,0.20,0.25,0.2,2,2714,1.930,2.952,0.590,2455,1.598,3.263,0.653,2743,1.786,2.920,0.584,2729,6.899,2.936,0.587
300,4,4,0.20,0.25,0.2,2,2697,1.594,2.962,0.592,2535,1.498,3.152,0.630,2793,1.650,2.861,0.572,2642,5.901,3.024,0.605
300,4,4,0.20,0.25,0.2,2,2657,1.638,2.997,0.599,2625,1.618,3.034,0.607,2659,1.640,2.995,0.599,2794,6.691,2.850,0.570
300,4,4,0.20,0.25,0.2,3,4090,1.964,2.908,0.582,4156,2.037,2.873,0.575,4034,1.937,2.943,0.589,4051,7.554,2.931,0.586
300,4,4,0.20,0.25,0.2,3,4000,1.880,3.070,0.614,3660,1.359,3.370,0.674,4260,2.002,2.895,0.579,4207,7.680,2.908,0.582
300,4,4,0.20,0.25,0.2,3,3875,1.756,3.101,0.620,3706,1.627,3.255,0.651,4104,1.100,2.876,0.575,3924,6.690,3.008,0.602
300,4,4,0.20,0.25,0.2,3,3819,1.695,3.105,0.621,3813,1.692,3.162,0.632,4062,1.802,2.953,0.591,4011,6.313,2.985,0.597
300,4,4,0.20,0.25,0.2,3,3728,1.479,3.165,0.633,3714,1.473,3.177,0.635,3918,1.555,3.011,0.602,4153,6.399,2.841,0.568
300,4,4,0.20,0.25,0.2,3,3907,1.683,3.077,0.615,3806,1.558,3.159,0.632,4080,1.670,2.947,0.589,3997,6.352,2.998,0.600
