podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,8,4,0.20,0.25,0.2,2,6883,2.215,2.715,0.543,6955,1.934,2.657,0.531,6554,1.866,2.820,0.564,6020,8.008,3.174,0.635
700,8,4,0.20,0.25,0.2,2,6705,2.228,2.762,0.552,6829,2.448,2.724,0.545,6573,2.266,2.882,0.576,6255,8.376,2.974,0.595
700,8,4,0.20,0.25,0.2,2,6734,1.309,2.805,0.561,6817,1.325,2.790,0.558,6689,2.389,2.824,0.565,6255,4.723,3.020,0.604
700,8,4,0.20,0.25,0.2,2,6966,2.159,2.700,0.540,6904,2.140,2.715,0.543,6600,2.602,2.849,0.570,6251,7.524,3.008,0.602
700,8,4,0.20,0.25,0.2,2,6752,2.087,2.776,0.555,6719,2.077,2.820,0.564,6728,1.898,2.796,0.559,6150,7.382,3.058,0.612
700,8,4,0.20,0.25,0.2,2,6670,2.192,2.803,0.561,6744,2.217,2.772,0.554,6613,2.173,2.828,0.566,6183,7.892,3.024,0.605
700,8,4,0.20,0.25,0.2,2,6861,1.797,2.746,0.549,6896,1.806,2.732,0.546,6703,1.755,2.810,0.562,6293,6.400,2.993,0.599
700,8,4,0.20,0.25,0.2,2,6674,2.346,2.782,0.556,6649,2.337,2.792,0.558,6547,2.301,2.836,0.567,6167,8.417,3.011,0.602
700,8,4,0.20,0.25,0.2,2,6710,2.193,2.762,0.552,6702,2.190,2.801,0.560,6729,2.277,2.754,0.551,6196,7.385,2.991,0.598
700,8,4,0.20,0.25,0.2,3,10239,2.039,2.810,0.562,10237,2.039,2.705,0.541,9768,1.889,2.946,0.589,9409,7.278,3.058,0.612
700,8,4,0.20,0.25,0.2,3,10048,2.501,2.801,0.560,10114,2.518,2.783,0.557,9906,2.466,2.841,0.568,9130,8.826,3.083,0.617
700,8,4,0.20,0.25,0.2,3,9946,1.483,2.811,0.562,10083,1.503,2.772,0.554,9832,1.466,2.843,0.569,9086,5.261,3.092,0.618
700,8,4,0.20,0.25,0.2,3,10218,2.071,2.726,0.545,10302,2.084,2.704,0.541,9886,1.999,2.817,0.563,9218,7.240,3.022,0.604
700,8,4,0.20,0.25,0.2,3,10044,2.058,2.797,0.559,10045,2.058,2.765,0.553,9929,2.034,2.799,0.560,9184,7.000,3.059,0.612
700,8,4,0.20,0.25,0.2,3,10314,2.341,2.800,0.560,10318,2.342,2.799,0.560,10193,2.314,2.834,0.567,9032,8.242,3.103,0.621
700,8,4,0.20,0.25,0.2,3,10099,2.068,2.809,0.562,10299,1.964,2.776,0.555,9750,2.000,2.910,0.582,9313,6.897,3.046,0.609
700,8,4,0.20,0.25,0.2,3,10356,2.176,2.766,0.553,10180,2.139,2.727,0.545,10088,2.120,2.837,0.567,9336,7.443,3.068,0.614
700,8,4,0.20,0.25,0.2,3,10210,2.326,2.772,0.554,10169,2.317,2.743,0.549,9959,1.954,2.842,0.568,9221,7.807,3.070,0.614
700,8,4,0.20,0.25,0.2,4,13428,2.283,2.787,0.557,13464,2.289,2.817,0.563,13168,2.238,2.828,0.566,12136,7.624,3.048,0.610
700,8,4,0.20,0.25,0.2,4,13529,2.037,2.760,0.552,13301,2.068,2.807,0.561,13211,2.192,2.826,0.565,12148,7.828,3.073,0.615
700,8,4,0.20,0.25,0.2,4,13410,1.434,2.815,0.563,13457,1.439,2.805,0.561,13229,1.467,2.854,0.571,12186,5.061,3.098,0.620
700,8,4,0.20,0.25,0.2,4,13494,2.072,2.761,0.552,13634,2.094,2.813,0.563,13240,2.033,2.814,0.563,12298,7.334,3.029,0.606
700,8,4,0.20,0.25,0.2,4,13422,2.066,2.782,0.556,13380,2.060,2.791,0.558,13111,2.018,2.849,0.570,12353,7.385,3.023,0.605
700,8,4,0.20,0.25,0.2,4,13456,2.175,2.796,0.559,13348,1.937,2.798,0.560,13152,1.909,2.854,0.571,12051,6.792,3.099,0.620
700,8,4,0.20,0.25,0.2,4,13889,2.327,2.751,0.550,13002,2.153,2.938,0.588,13510,2.264,2.827,0.565,12705,8.267,3.006,0.601
700,8,4,0.20,0.25,0.2,4,13520,2.153,2.769,0.554,13488,2.148,2.776,0.555,13111,2.088,2.855,0.571,12168,7.525,3.077,0.615
700,8,4,0.20,0.25,0.2,4,13314,2.209,2.812,0.562,13559,2.250,2.761,0.552,13209,2.192,2.834,0.567,12070,7.301,3.101,0.620
700,8,4,0.20,0.25,0.5,2,6580,1.874,2.807,0.561,6661,1.897,2.773,0.555,6557,1.867,2.816,0.563,5973,6.606,3.092,0.618
700,8,4,0.20,0.25,0.5,2,6694,2.308,2.779,0.556,6749,2.327,2.756,0.551,6576,2.267,2.829,0.566,6321,8.464,2.943,0.589
700,8,4,0.20,0.25,0.5,2,6741,1.310,2.802,0.560,6823,1.327,2.768,0.554,6685,1.300,2.825,0.565,6264,4.730,3.035,0.607
700,8,4,0.20,0.25,0.5,2,6969,2.160,2.698,0.540,6908,2.141,2.663,0.533,6731,2.276,2.794,0.559,6298,7.582,2.986,0.597
700,8,4,0.20,0.25,0.5,2,6752,2.087,2.785,0.557,6723,2.078,2.824,0.565,6600,2.594,2.850,0.570,6097,7.319,3.085,0.617
700,8,4,0.20,0.25,0.5,2,6703,2.203,2.815,0.563,6904,1.982,2.708,0.542,6616,2.174,2.826,0.565,6054,7.727,3.088,0.618
700,8,4,0.20,0.25,0.5,2,6865,1.798,2.744,0.549,6581,2.109,2.862,0.572,6707,1.756,2.809,0.562,6249,6.354,3.015,0.603
700,8,4,0.20,0.25,0.5,2,6677,2.347,2.781,0.556,6653,2.338,2.791,0.558,6551,2.302,2.834,0.567,6139,8.379,3.025,0.605
700,8,4,0.20,0.25,0.5,2,6713,2.194,2.760,0.552,6705,2.191,2.764,0.553,6595,2.155,2.810,0.562,6275,7.480,2.953,0.591
700,8,4,0.20,0.25,0.5,3,10242,2.040,2.809,0.562,10240,2.039,2.810,0.562,10200,2.032,2.821,0.564,9471,7.326,3.038,0.608
700,8,4,0.20,0.25,0.5,3,10048,2.501,2.801,0.560,10117,2.518,2.782,0.556,9909,2.467,2.840,0.568,9031,8.731,3.116,0.623
700,8,4,0.20,0.25,0.5,3,9949,1.483,2.810,0.562,10086,1.504,2.772,0.554,9835,1.466,2.811,0.562,9000,5.211,3.106,0.621
700,8,4,0.20,0.25,0.5,3,10138,2.234,2.780,0.556,10306,2.084,2.703,0.541,9889,2.000,2.765,0.553,9055,8.012,3.076,0.615
700,8,4,0.20,0.25,0.5,3,10048,2.058,2.808,0.562,9955,2.391,2.822,0.564,9933,2.035,2.828,0.566,9156,7.292,3.118,0.624
700,8,4,0.20,0.25,0.5,3,10318,2.342,2.786,0.557,10334,2.159,2.795,0.559,10197,2.315,2.833,0.567,9302,7.723,3.065,0.613
700,8,4,0.20,0.25,0.5,3,10307,1.965,2.729,0.546,10290,1.302,2.757,0.551,10016,1.910,2.832,0.566,9224,6.831,3.076,0.615
700,8,4,0.20,0.25,0.5,3,10359,2.177,2.765,0.553,10183,2.140,2.754,0.551,10091,2.120,2.838,0.568,9177,7.489,3.049,0.610
