podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,4,4,0.20,0.25,0.2,2,5794,3.481,3.208,0.642,5963,3.692,3.111,0.622,6042,3.835,3.070,0.614,6308,15.819,2.941,0.588
700,4,4,0.20,0.25,0.2,2,5750,3.882,3.252,0.650,5699,3.848,3.281,0.656,6401,4.322,2.921,0.584,6325,16.585,2.956,0.591
700,4,4,0.20,0.25,0.2,2,5745,3.590,3.246,0.649,5868,3.667,3.178,0.636,6100,3.812,3.057,0.611,6286,15.257,2.966,0.593
700,4,4,0.20,0.25,0.2,2,5815,4.760,3.165,0.633,5821,4.765,3.162,0.632,6131,5.018,3.002,0.600,6129,19.484,3.003,0.601
700,4,4,0.20,0.25,0.2,2,5838,3.717,3.189,0.638,5921,3.770,3.145,0.629,6132,3.919,3.037,0.607,6138,15.177,3.034,0.607
700,4,4,0.20,0.25,0.2,2,5646,4.010,3.268,0.654,5885,4.180,3.201,0.640,6336,4.500,2.973,0.595,6300,17.375,2.990,0.598
700,4,4,0.20,0.25,0.2,2,5755,4.004,3.249,0.650,5717,3.036,3.286,0.657,6225,4.331,3.017,0.603,6917,18.691,2.716,0.543
700,4,4,0.20,0.25,0.2,2,5750,3.941,3.273,0.655,5631,3.659,3.282,0.656,6179,4.025,3.044,0.609,6345,16.891,2.964,0.593
700,4,4,0.20,0.25,0.2,2,5692,3.208,3.263,0.653,5762,3.247,3.223,0.645,6175,3.480,3.007,0.601,6389,13.982,2.907,0.581
700,4,4,0.20,0.25,0.2,3,8565,3.585,3.229,0.646,8730,3.977,3.168,0.634,9216,4.199,3.001,0.600,9215,16.302,3.001,0.600
700,4,4,0.20,0.25,0.2,3,8445,3.304,3.321,0.664,8513,3.331,3.294,0.659,9407,3.681,2.981,0.596,9406,14.293,2.981,0.596
700,4,4,0.20,0.25,0.2,3,8440,3.927,3.302,0.660,8572,3.989,3.251,0.650,9238,4.299,3.016,0.603,9155,16.544,3.044,0.609
700,4,4,0.20,0.25,0.2,3,8696,3.151,3.170,0.634,8633,3.128,3.265,0.653,9227,3.860,2.988,0.598,9106,12.813,3.027,0.605
700,4,4,0.20,0.25,0.2,3,8745,4.191,3.173,0.635,8785,4.210,3.159,0.632,9239,4.428,3.003,0.601,9119,16.972,3.043,0.609
700,4,4,0.20,0.25,0.2,3,8348,3.606,3.333,0.667,8607,3.718,3.219,0.644,9270,2.577,3.001,0.600,9191,15.416,3.027,0.605
700,4,4,0.20,0.25,0.2,3,8620,3.572,3.257,0.651,8614,3.569,3.260,0.652,9265,3.840,3.030,0.606,9226,14.847,2.987,0.597
700,4,4,0.20,0.25,0.2,3,8862,3.776,3.187,0.637,8637,3.505,3.203,0.641,9204,4.265,3.068,0.614,9185,15.600,3.024,0.605
700,4,4,0.20,0.25,0.2,3,8634,3.690,3.244,0.649,8565,4.472,3.286,0.657,9418,3.836,2.951,0.590,9327,14.753,3.017,0.603
700,4,4,0.20,0.25,0.2,4,11563,3.670,3.204,0.641,11648,3.846,3.163,0.633,12402,3.549,2.987,0.597,12131,15.556,3.101,0.620
700,4,4,0.20,0.25,0.2,4,11547,3.682,3.200,0.640,11230,3.875,3.290,0.658,12356,4.263,2.991,0.598,12078,16.182,3.060,0.612
700,4,4,0.20,0.25,0.2,4,11582,3.127,3.234,0.647,11678,3.153,3.208,0.642,12394,3.346,3.023,0.605,12195,12.785,3.072,0.614
700,4,4,0.20,0.25,0.2,4,11583,3.874,3.225,0.645,11579,3.873,3.226,0.645,12465,4.169,2.997,0.599,12260,15.926,3.047,0.609
700,4,4,0.20,0.25,0.2,4,11592,3.121,3.214,0.643,11785,3.172,3.162,0.632,12475,3.358,2.987,0.597,12389,12.952,3.008,0.602
700,4,4,0.20,0.25,0.2,4,11148,3.731,3.334,0.667,11424,3.824,3.254,0.651,12283,4.111,3.027,0.605,12139,15.778,3.062,0.612
700,4,4,0.20,0.25,0.2,4,11149,4.115,3.364,0.673,11229,4.145,3.285,0.657,12317,3.825,2.969,0.594,11985,17.180,3.051,0.610
700,4,4,0.20,0.25,0.2,4,11205,3.557,3.287,0.657,11516,3.942,3.198,0.640,12241,3.886,3.009,0.602,12067,14.878,3.119,0.624
700,4,4,0.20,0.25,0.2,4,11336,2.353,3.291,0.658,11448,4.233,3.259,0.652,12485,4.616,2.988,0.598,12322,17.695,3.028,0.606
700,4,4,0.20,0.25,0.5,2,5827,3.763,3.184,0.637,5766,3.724,3.217,0.643,6129,3.958,3.026,0.605,6292,15.781,2.948,0.590
700,4,4,0.20,0.25,0.5,2,5758,3.888,3.247,0.649,5704,3.851,3.278,0.656,6183,4.175,3.024,0.605,6289,16.492,2.975,0.595
700,4,4,0.20,0.25,0.5,2,5702,4.249,3.271,0.654,5874,3.671,3.175,0.635,6190,3.868,3.013,0.603,6302,15.295,2.959,0.592
700,4,4,0.20,0.25,0.5,2,5866,4.802,3.138,0.628,5840,4.780,3.152,0.630,6113,5.004,3.011,0.602,6154,19.563,2.991,0.598
700,4,4,0.20,0.25,0.5,2,5844,3.721,3.187,0.637,5925,3.772,3.183,0.637,5990,4.198,3.109,0.622,6227,15.397,2.912,0.582
700,4,4,0.20,0.25,0.5,2,5896,4.724,3.195,0.639,5768,4.077,3.255,0.651,6251,3.864,3.013,0.603,6336,17.475,2.973,0.595
700,4,4,0.20,0.25,0.5,2,5760,4.007,3.261,0.652,5810,4.042,3.233,0.647,6156,4.283,3.051,0.610,6397,17.285,2.936,0.587
700,4,4,0.20,0.25,0.5,2,5755,3.945,3.268,0.654,5909,4.050,3.183,0.637,6186,4.241,3.040,0.608,6346,16.894,2.964,0.593
700,4,4,0.20,0.25,0.5,2,5696,3.210,3.260,0.652,5765,3.249,3.221,0.644,6165,3.474,3.012,0.602,6271,13.724,2.962,0.592
700,4,4,0.20,0.25,0.5,3,8590,3.913,3.219,0.644,8688,3.958,3.183,0.637,9279,4.227,2.980,0.596,9173,16.228,3.015,0.603
700,4,4,0.20,0.25,0.5,3,8450,3.306,3.319,0.664,8517,3.332,3.293,0.659,9414,3.683,2.979,0.596,9265,14.078,3.027,0.605
700,4,4,0.20,0.25,0.5,3,8609,4.006,3.237,0.647,8578,3.992,3.213,0.643,9288,4.011,3.024,0.605,9256,15.389,3.011,0.602
700,4,4,0.20,0.25,0.5,3,8701,3.153,3.168,0.634,8639,3.130,3.227,0.645,9417,4.075,2.927,0.585,9078,12.773,3.037,0.607
700,4,4,0.20,0.25,0.5,3,8757,4.196,3.169,0.634,8790,4.212,3.157,0.631,9199,4.408,3.017,0.603,9205,17.130,3.015,0.603
700,4,4,0.20,0.25,0.5,3,8432,3.954,3.300,0.660,8794,3.961,3.164,0.633,9237,3.990,3.012,0.602,9162,15.368,3.037,0.607
700,4,4,0.20,0.25,0.5,3,8627,3.575,3.254,0.651,8788,3.642,3.195,0.639,9280,3.845,3.026,0.605,9282,14.937,3.025,0.605
700,4,4,0.20,0.25,0.5,3,8595,3.488,3.285,0.657,8646,3.508,3.266,0.653,9405,3.816,3.003,0.601,9304,14.662,3.035,0.607
700,4,4,0.20,0.25,0.5,3,8596,3.501,3.274,0.655,8726,3.554,3.225,0.645,9428,3.840,2.985,0.597,9301,14.712,3.026,0.605
700,4,4,0.20,0.25,0.5,4,11484,3.792,3.226,0.645,11656,3.849,3.179,0.636,12370,4.084,2.995,0.599,12110,15.528,3.060,0.612
700,4,4,0.20,0.25,0.5,4,11133,3.841,3.319,0.664,11236,3.877,3.309,0.662,12461,4.448,2.966,0.593,12048,16.143,3.067,0.613
700,4,4,0.20,0.25,0.5,4,11586,3.128,3.233,0.647,11689,3.156,3.208,0.642,12198,4.136,3.071,0.614,12258,12.852,3.032,0.606
700,4,4,0.20,0.25,0.5,4,11435,3.745,3.267,0.653,11583,3.874,3.225,0.645,12700,4.248,2.946,0.589,12360,16.056,3.023,0.605
