podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
900,8,4,0.20,0.25,0.2,2,8706,3.009,2.784,0.557,8507,2.905,2.842,0.568,8485,2.657,2.831,0.566,7739,9.055,3.083,0.617
900,8,4,0.20,0.25,0.2,2,8494,3.453,2.883,0.577,8716,2.863,2.740,0.548,8459,2.719,2.867,0.573,8080,9.551,2.975,0.595
900,8,4,0.20,0.25,0.2,2,8613,2.826,2.826,0.565,8622,2.413,2.783,0.557,8578,2.401,2.822,0.564,7818,8.172,3.112,0.622
900,8,4,0.20,0.25,0.2,2,8788,3.116,2.757,0.551,8780,2.917,2.806,0.561,8776,2.625,2.808,0.562,8107,9.416,3.039,0.608
900,8,4,0.20,0.25,0.2,2,8420,3.012,2.811,0.562,8376,2.996,2.825,0.565,8364,2.992,2.829,0.566,7745,10.760,3.055,0.611
900,8,4,0.20,0.25,0.2,2,8587,2.481,2.786,0.557,8584,2.480,2.787,0.557,8459,2.444,2.828,0.566,7820,8.774,3.059,0.612
900,8,4,0.20,0.25,0.2,2,8601,2.607,2.778,0.556,8501,2.462,2.810,0.562,8432,2.442,2.833,0.567,7833,8.808,3.050,0.610
900,8,4,0.20,0.25,0.2,2,9034,3.320,2.749,0.550,9065,3.331,2.740,0.548,8770,3.223,2.832,0.566,8013,9.650,3.004,0.601
900,8,4,0.20,0.25,0.2,2,8735,2.512,2.737,0.547,8484,2.981,2.751,0.550,8492,2.482,2.803,0.561,7915,10.660,3.008,0.602
900,8,4,0.20,0.25,0.2,3,12556,2.749,2.796,0.559,12834,2.810,2.782,0.556,12717,3.151,2.787,0.557,11376,9.672,3.116,0.623
900,8,4,0.20,0.25,0.2,3,13010,2.638,2.825,0.565,13004,2.637,2.827,0.565,12986,2.633,2.813,0.563,11745,8.677,3.130,0.626
900,8,4,0.20,0.25,0.2,3,12939,2.982,2.836,0.567,12961,2.987,2.762,0.552,12850,2.962,2.822,0.564,11646,9.301,3.115,0.623
900,8,4,0.20,0.25,0.2,3,12729,3.102,2.794,0.559,12961,2.732,2.801,0.560,12825,3.038,2.815,0.563,11754,10.210,3.076,0.615
900,8,4,0.20,0.25,0.2,3,12778,2.552,2.848,0.570,12765,1.991,2.863,0.573,12846,2.725,2.845,0.569,11871,9.780,3.001,0.600
900,8,4,0.20,0.25,0.2,3,12956,2.586,2.727,0.545,12537,2.998,2.818,0.564,12464,2.981,2.874,0.575,11598,10.771,3.046,0.609
900,8,4,0.20,0.25,0.2,3,12714,2.465,2.761,0.552,12601,2.444,2.785,0.557,12362,2.397,2.839,0.568,11344,8.543,3.106,0.621
900,8,4,0.20,0.25,0.2,3,12738,2.719,2.855,0.571,12874,2.894,2.805,0.561,12822,2.943,2.837,0.567,11513,9.220,3.160,0.632
900,8,4,0.20,0.25,0.2,3,12705,2.447,2.828,0.566,12769,2.877,2.852,0.570,12816,2.563,2.800,0.560,11677,10.062,3.074,0.615
900,8,4,0.20,0.25,0.2,4,17254,2.693,2.815,0.563,17557,2.740,2.766,0.553,17136,2.675,2.834,0.567,15614,9.465,3.111,0.622
900,8,4,0.20,0.25,0.2,4,17096,2.840,2.819,0.564,17099,2.840,2.814,0.563,16949,2.815,2.843,0.569,15620,10.076,3.085,0.617
900,8,4,0.20,0.25,0.2,4,17091,3.270,2.821,0.564,16975,3.248,2.840,0.568,16926,3.239,2.848,0.570,15523,11.535,3.106,0.621
900,8,4,0.20,0.25,0.2,4,17461,2.965,2.798,0.560,17508,2.973,2.791,0.558,17411,2.957,2.806,0.561,16109,10.624,3.033,0.607
900,8,4,0.20,0.25,0.2,4,16920,2.594,2.819,0.564,16875,2.725,2.826,0.565,16761,2.569,2.846,0.569,15415,9.176,3.098,0.620
900,8,4,0.20,0.25,0.2,4,17082,2.589,2.816,0.563,17044,2.507,2.826,0.565,16863,2.480,2.845,0.569,15763,9.176,3.045,0.609
