podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
700,6,4,0.20,0.25,0.2,2,6145,2.368,3.062,0.612,5979,2.798,3.097,0.619,5974,2.454,3.051,0.610,6131,11.302,3.050,0.610
700,6,4,0.20,0.25,0.2,2,6371,2.564,2.887,0.577,6246,2.520,2.997,0.599,5982,2.808,3.129,0.626,6169,11.243,3.035,0.607
700,6,4,0.20,0.25,0.2,2,6256,2.353,2.992,0.598,6237,2.346,3.001,0.600,6002,2.258,3.143,0.629,6138,8.884,3.049,0.610
700,6,4,0.20,0.25,0.2,2,6213,2.679,3.004,0.601,6309,2.720,2.958,0.592,5982,2.579,3.136,0.627,6274,8.248,2.975,0.595
700,6,4,0.20,0.25,0.2,2,6009,2.477,3.075,0.615,6012,2.479,3.073,0.615,5936,2.448,3.113,0.623,6081,9.738,3.093,0.619
700,6,4,0.20,0.25,0.2,2,6356,2.353,2.951,0.590,6235,2.297,3.008,0.602,6009,2.213,3.121,0.624,6217,8.894,3.016,0.603
700,6,4,0.20,0.25,0.2,2,6213,2.598,2.965,0.593,6081,2.747,3.029,0.606,5913,2.671,3.029,0.606,6289,12.773,2.929,0.586
700,6,4,0.20,0.25,0.2,2,6205,2.890,3.039,0.608,6228,2.884,2.992,0.598,5965,2.778,3.124,0.625,6090,11.015,3.060,0.612
700,6,4,0.20,0.25,0.2,2,6030,2.348,3.057,0.611,6113,1.796,3.025,0.605,5978,2.328,3.093,0.619,6217,8.714,2.976,0.595
700,6,4,0.20,0.25,0.2,3,8992,2.636,3.112,0.622,9266,2.716,3.020,0.604,8997,2.638,3.110,0.622,9177,10.447,3.058,0.612
700,6,4,0.20,0.25,0.2,3,9394,2.598,2.965,0.593,9192,2.672,3.031,0.606,8856,2.574,3.145,0.629,9105,10.277,3.059,0.612
700,6,4,0.20,0.25,0.2,3,9269,2.772,3.004,0.601,9222,2.757,3.020,0.604,8893,2.659,3.132,0.626,9071,10.533,3.070,0.614
