podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
500,8,4,0.20,0.25,0.2,2,4955,1.837,2.697,0.539,4979,1.846,2.725,0.545,4683,1.358,2.841,0.568,4508,5.531,2.934,0.587
500,8,4,0.20,0.25,0.2,2,4968,1.594,2.655,0.531,4725,1.519,2.792,0.558,4718,1.516,2.800,0.560,4618,6.489,2.857,0.571
500,8,4,0.20,0.25,0.2,2,4851,1.536,2.813,0.563,4922,1.559,2.772,0.554,4828,1.529,2.826,0.565,4543,5.587,3.004,0.601
500,8,4,0.20,0.25,0.2,2,4894,1.878,2.744,0.549,4863,1.866,2.761,0.552,4802,1.843,2.801,0.560,4461,5.912,3.011,0.602
500,8,4,0.20,0.25,0.2,2,4861,1.613,2.756,0.551,4863,1.614,2.755,0.551,4744,1.574,2.796,0.559,4422,5.540,3.030,0.606
500,8,4,0.20,0.25,0.2,2,4835,1.735,2.761,0.552,4799,1.644,2.783,0.557,4643,1.538,2.881,0.576,4428,6.169,3.021,0.604
500,8,4,0.20,0.25,0.2,2,4728,1.641,2.817,0.563,4795,1.665,2.804,0.561,4840,1.397,2.752,0.550,4359,5.707,3.056,0.611
500,8,4,0.20,0.25,0.2,2,4768,1.383,2.791,0.558,4827,1.400,2.758,0.552,4686,1.359,2.841,0.568,4472,5.039,2.976,0.595
500,8,4,0.20,0.25,0.2,2,4802,1.556,2.775,0.555,4873,1.579,2.734,0.547,4791,1.362,2.781,0.556,4364,5.492,3.012,0.602
500,8,4,0.20,0.25,0.2,3,7172,1.391,2.864,0.573,7335,1.431,2.801,0.560,7280,1.421,2.822,0.564,6776,5.135,3.032,0.606
500,8,4,0.20,0.25,0.2,3,7262,1.879,2.770,0.554,7154,1.554,2.812,0.562,7137,1.550,2.819,0.564,6824,4.835,2.922,0.584
500,8,4,0.20,0.25,0.2,3,7202,1.435,2.787,0.557,7290,1.454,2.809,0.562,7176,1.617,2.787,0.557,6801,6.097,3.015,0.603
500,8,4,0.20,0.25,0.2,3,7167,1.377,2.900,0.580,7567,1.582,2.747,0.549,7450,1.557,2.790,0.558,6903,5.603,3.012,0.602
500,8,4,0.20,0.25,0.2,3,7171,1.465,2.770,0.554,7119,1.454,2.790,0.558,7018,1.433,2.830,0.566,6616,5.248,3.002,0.600
500,8,4,0.20,0.25,0.2,3,7352,1.752,2.754,0.551,7248,1.728,2.794,0.559,7136,1.701,2.838,0.568,6824,6.316,2.968,0.594
500,8,4,0.20,0.25,0.2,3,7150,1.387,2.822,0.564,7239,1.404,2.788,0.558,7095,1.377,2.925,0.585,6802,4.772,2.967,0.593
500,8,4,0.20,0.25,0.2,3,7027,1.550,2.905,0.581,7114,1.569,2.779,0.556,7001,1.544,2.824,0.565,6477,5.548,3.052,0.610
500,8,4,0.20,0.25,0.2,3,7334,1.627,2.737,0.547,7259,1.640,2.787,0.557,7158,1.588,2.826,0.565,6770,5.694,2.988,0.598
500,8,4,0.20,0.25,0.2,4,9348,1.439,2.819,0.564,9587,1.541,2.752,0.550,9455,1.467,2.790,0.558,8610,5.147,3.064,0.613
500,8,4,0.20,0.25,0.2,4,9503,1.629,2.842,0.568,9936,1.504,2.688,0.538,9517,1.632,2.806,0.561,8812,5.773,3.030,0.606
500,8,4,0.20,0.25,0.2,4,9468,1.421,2.816,0.563,9548,1.433,2.793,0.559,9448,1.418,2.817,0.563,8578,5.670,3.173,0.635
500,8,4,0.20,0.25,0.2,4,9915,1.519,2.650,0.530,9461,1.485,2.777,0.555,9405,1.603,2.793,0.559,8833,5.383,2.974,0.595
500,8,4,0.20,0.25,0.2,4,9641,1.643,2.802,0.560,9827,1.440,2.749,0.550,9582,1.405,2.819,0.564,8774,4.995,3.084,0.617
500,8,4,0.20,0.25,0.2,4,9732,1.425,2.775,0.555,9673,1.341,2.792,0.558,9450,1.310,2.858,0.572,8875,5.984,3.016,0.603
500,8,4,0.20,0.25,0.2,4,9661,1.301,2.764,0.553,9634,1.599,2.772,0.554,9487,1.574,2.815,0.563,9040,5.826,2.955,0.591
500,8,4,0.20,0.25,0.2,4,9710,1.290,2.752,0.550,9584,1.698,2.805,0.561,9540,1.001,2.801,0.560,8527,4.963,3.133,0.627
500,8,4,0.20,0.25,0.2,4,9987,1.542,2.745,0.549,9738,1.504,2.815,0.563,9736,1.503,2.816,0.563,8985,5.387,3.051,0.610
500,8,4,0.20,0.25,0.5,2,4958,1.838,2.760,0.552,4981,1.847,2.746,0.549,4881,1.809,2.803,0.561,4421,6.366,3.094,0.619
500,8,4,0.20,0.25,0.5,2,4780,1.434,2.760,0.552,4728,1.520,2.791,0.558,4720,1.517,2.859,0.572,4499,5.539,2.839,0.568
500,8,4,0.20,0.25,0.5,2,4713,1.374,2.895,0.579,4924,1.560,2.771,0.554,4831,1.530,2.763,0.553,4388,6.083,3.054,0.611
500,8,4,0.20,0.25,0.5,2,4854,1.509,2.766,0.553,4865,1.867,2.811,0.562,4787,1.773,2.806,0.561,4401,6.771,2.990,0.598
500,8,4,0.20,0.25,0.5,2,5020,1.688,2.669,0.534,4865,1.615,2.793,0.559,4721,1.723,2.838,0.568,4420,5.698,3.031,0.606
